layer,metric,count,mean,std,q10,median,q90
1,pearson,14951,0.966865789506772,0.01619880741023378,0.9448975324630737,0.969280481338501,0.9856818318367004
1,spearman,14951,0.9410003592845039,0.03542697098442641,0.8947563171386719,0.9482378363609314,0.9778355956077576
1,top16_overlap,14951,0.8203422847970036,0.10074192770687489,0.6875,0.8125,0.9375
1,top1_overlap,14951,0.6085880543107485,0.4880662193401689,0.0,1.0,1.0
1,top32_overlap,14951,0.8665766503912782,0.06196773389477798,0.78125,0.875,0.9375
1,top5_overlap,14951,0.7074844613437086,0.20848698564449433,0.4000000059604645,0.800000011920929,1.0
2,pearson,14951,0.9834777314354685,0.006789861125222812,0.9757086038589478,0.9840817451477051,0.9910833239555359
2,spearman,14951,0.9402736348815924,0.028048799456902643,0.9114701747894287,0.9458165168762207,0.9652894139289856
2,top16_overlap,14951,0.9227016587519229,0.056711454022807195,0.875,0.9375,1.0
2,top1_overlap,14951,0.7261721623971641,0.44592168926459597,0.0,1.0,1.0
2,top32_overlap,14951,0.8853671995184269,0.06304758432921469,0.8125,0.90625,0.9375
2,top5_overlap,14951,0.900782562226693,0.11634549064995602,0.800000011920929,1.0,1.0
3,pearson,14951,0.9986342060455119,0.0009564855477151186,0.9975307583808899,0.9988657236099243,0.9995018243789673
3,spearman,14951,0.9955151354729965,0.0016670643658715657,0.993308424949646,0.9957697987556458,0.9974119663238525
3,top16_overlap,14951,0.9449075312688114,0.04690855367625471,0.875,0.9375,1.0
3,top1_overlap,14951,0.9739816734666578,0.15918973967485037,1.0,1.0,1.0
3,top32_overlap,14951,0.9373077051702228,0.034640681542982325,0.90625,0.9375,0.96875
3,top5_overlap,14951,0.9670523730426893,0.07519176559336974,0.800000011920929,1.0,1.0
4,pearson,14951,0.9965490634948001,0.0047581611821730825,0.9910367727279663,0.9984426498413086,0.9995383024215698
4,spearman,14951,0.9948799614722605,0.001811405112144599,0.9925739765167236,0.9951679110527039,0.9968770742416382
4,top16_overlap,14951,0.9368813122868036,0.05019789920158099,0.875,0.9375,1.0
4,top1_overlap,14951,0.9836800214032506,0.12670294746118194,1.0,1.0,1.0
4,top32_overlap,14951,0.9383235235101332,0.03486076710559482,0.90625,0.9375,0.96875
4,top5_overlap,14951,0.9478563337782603,0.09520255325316242,0.800000011920929,1.0,1.0
5,pearson,14951,0.9949272740693341,0.00542816417483333,0.9875932931900024,0.996920108795166,0.9993885159492493
5,spearman,14951,0.9974313012597298,0.0012842007384102937,0.9957345128059387,0.9977247714996338,0.9987263679504395
5,top16_overlap,14951,0.9444560564510736,0.049390562245159156,0.875,0.9375,1.0
5,top1_overlap,14951,0.949903016520634,0.21814507953569354,1.0,1.0,1.0
5,top32_overlap,14951,0.9517716206273827,0.03148603669720934,0.90625,0.96875,1.0
5,top5_overlap,14951,0.9342652704255509,0.10413043080329809,0.800000011920929,1.0,1.0
6,pearson,14951,0.9931542916837229,0.005350602626705765,0.9862133860588074,0.9947716593742371,0.998007595539093
6,spearman,14951,0.997563008879046,0.0008922662997015096,0.9964131712913513,0.9976992011070251,0.9985555410385132
6,top16_overlap,14951,0.9407397498495084,0.05007359032772437,0.875,0.9375,1.0
6,top1_overlap,14951,0.8931175172229282,0.3089637804864524,0.0,1.0,1.0
6,top32_overlap,14951,0.9562675573540231,0.0301408788552743,0.90625,0.96875,1.0
6,top5_overlap,14951,0.9046619010873801,0.12189424195938021,0.800000011920929,1.0,1.0
7,pearson,14951,0.9907057623338256,0.005533242804212129,0.9839802384376526,0.9913564920425415,0.9972041249275208
7,spearman,14951,0.9961544211377557,0.0017848671240752938,0.9939696788787842,0.9965136051177979,0.9979411959648132
7,top16_overlap,14951,0.9338589392013912,0.05128365017479614,0.875,0.9375,1.0
7,top1_overlap,14951,0.8532539629456224,0.35385256486736516,0.0,1.0,1.0
7,top32_overlap,14951,0.9497044512072771,0.033542062183785165,0.90625,0.96875,1.0
7,top5_overlap,14951,0.8851314360669175,0.12755179156569332,0.800000011920929,1.0,1.0
8,pearson,14951,0.9913977479808713,0.005482064967219337,0.9845866560935974,0.992508053779602,0.9970361590385437
8,spearman,14951,0.9963567257086957,0.0018087644557970466,0.9940544366836548,0.9966875910758972,0.9983158111572266
8,top16_overlap,14951,0.916238880342452,0.06002832703044709,0.8125,0.9375,1.0
8,top1_overlap,14951,0.8506454417764698,0.35643761608643987,0.0,1.0,1.0
8,top32_overlap,14951,0.9337878737208214,0.0388126330121961,0.875,0.9375,0.96875
8,top5_overlap,14951,0.8786569530121037,0.13467693660565885,0.800000011920929,0.800000011920929,1.0
9,pearson,14951,0.9953310925835679,0.0035723295885724113,0.9908049702644348,0.9963124394416809,0.9985820651054382
9,spearman,14951,0.9975647085662287,0.0012604322929078053,0.9959619641304016,0.9977685213088989,0.9989481568336487
9,top16_overlap,14951,0.9404889305063207,0.05055645704232299,0.875,0.9375,1.0
9,top1_overlap,14951,0.87465721356431,0.33110719159243124,0.0,1.0,1.0
9,top32_overlap,14951,0.9504109256905893,0.032726289308313096,0.90625,0.96875,1.0
9,top5_overlap,14951,0.9214233208287481,0.10948224286050943,0.800000011920929,1.0,1.0
10,pearson,14951,0.9961945473944477,0.002745809664788626,0.9927993416786194,0.9969574809074402,0.9986123442649841
10,spearman,14951,0.9984491934872624,0.0006954948495739178,0.9975600838661194,0.9985658526420593,0.9992152452468872
10,top16_overlap,14951,0.9421443381713598,0.04940547822585653,0.875,0.9375,1.0
10,top1_overlap,14951,0.9109758544578958,0.28477859303782377,1.0,1.0,1.0
10,top32_overlap,14951,0.9544094040532406,0.030686313730454214,0.90625,0.96875,1.0
10,top5_overlap,14951,0.9228279090599028,0.10858377626126463,0.800000011920929,1.0,1.0
11,pearson,14951,0.9973535386066948,0.0023346093130507057,0.9944663047790527,0.9980123043060303,0.9994391202926636
11,spearman,14951,0.9983157264365854,0.0007603428319083739,0.9973573088645935,0.9984666705131531,0.9990971088409424
11,top16_overlap,14951,0.9493303123536887,0.046089161656314395,0.875,0.9375,1.0
11,top1_overlap,14951,0.9255568189418768,0.2624907500314453,1.0,1.0,1.0
11,top32_overlap,14951,0.9590600127081801,0.028374896114751635,0.9375,0.96875,1.0
11,top5_overlap,14951,0.9392816570002724,0.09875144164767483,0.800000011920929,1.0,1.0
12,pearson,14951,0.9956405974496496,0.0038052759392193216,0.9910672307014465,0.9966666102409363,0.9990008473396301
12,spearman,14951,0.9972339314040145,0.0018638810651188528,0.9953315854072571,0.9977190494537354,0.9987080097198486
12,top16_overlap,14951,0.9385367199518427,0.04971504705151134,0.875,0.9375,1.0
12,top1_overlap,14951,0.9151896194234499,0.27859931787965814,1.0,1.0,1.0
12,top32_overlap,14951,0.9496563774998328,0.032395878512232364,0.90625,0.96875,1.0
12,top5_overlap,14951,0.9303591774354116,0.10354235278651507,0.800000011920929,1.0,1.0
13,pearson,14951,0.9962692391783902,0.003578229199138025,0.9923682808876038,0.9972655177116394,0.9991655945777893
13,spearman,14951,0.9981162236945763,0.0008793030493275605,0.9970425963401794,0.9983198046684265,0.998977541923523
13,top16_overlap,14951,0.9486740017390141,0.046057368112090505,0.875,0.9375,1.0
13,top1_overlap,14951,0.9070296301250752,0.29039090929339445,1.0,1.0,1.0
13,top32_overlap,14951,0.9611961574476624,0.02831030153167249,0.9375,0.96875,1.0
13,top5_overlap,14951,0.9320313062893333,0.10272528494997324,0.800000011920929,1.0,1.0
14,pearson,14951,0.992955435056701,0.004554553298566931,0.9870898723602295,0.994022786617279,0.9974870085716248
14,spearman,14951,0.9970736808820231,0.0014419026012593623,0.995256781578064,0.9973858594894409,0.9985053539276123
14,top16_overlap,14951,0.9200764162932246,0.05637004699429998,0.875,0.9375,1.0
14,top1_overlap,14951,0.8776001605243796,0.3277470347264224,0.0,1.0,1.0
14,top32_overlap,14951,0.9363357802153702,0.037280595743634785,0.875,0.9375,0.96875
14,top5_overlap,14951,0.8968095840125904,0.12165607306129717,0.800000011920929,1.0,1.0
15,pearson,14951,0.992511924373913,0.007838946957080211,0.9844380617141724,0.994813859462738,0.9983925223350525
15,spearman,14951,0.9979620103006515,0.0011290571616399015,0.9966260194778442,0.9982221722602844,0.9990236759185791
15,top16_overlap,14951,0.93477024948164,0.05469614706947065,0.875,0.9375,1.0
15,top1_overlap,14951,0.865092635944084,0.3416245997866672,0.0,1.0,1.0
15,top32_overlap,14951,0.9493616647715872,0.034405589843002383,0.90625,0.96875,1.0
15,top5_overlap,14951,0.9062403907692796,0.11875430512821164,0.800000011920929,1.0,1.0
16,pearson,14951,0.9959702663067296,0.0037264758556273653,0.9919239282608032,0.9969424605369568,0.999095618724823
