model,feature_set,auroc,hall_aupr,input_dimensions,standardization_fit,class_weight,beta0,beta1,train_residual_mean,test_residual_mean_real,test_residual_mean_hall
llava_1_5_7b,C1_I,0.5735123128218989,0.24700041979041018,1,train_only,balanced,,,,,
llava_1_5_7b,C2_S,0.5522472368568028,0.2535596514097571,1,train_only,balanced,,,,,
llava_1_5_7b,C3_R,0.6721954610196703,0.2914674636986404,1,train_only,balanced,,,,,
llava_1_5_7b,C4_I_S,0.5966832442718712,0.2527575358673302,2,train_only,balanced,,,,,
llava_1_5_7b,C5_I_S_D,0.6233102388946153,0.28717623833407985,3,train_only,balanced,,,,,
llava_1_5_7b,C6_old_risk,0.7990830132310242,0.5028254698015737,17,train_only,balanced,,,,,
llava_1_5_7b,C7_old_risk_I,0.7989823090541736,0.5013934714752292,18,train_only,balanced,,,,,
llava_1_5_7b,C8_old_risk_S,0.7986032214918918,0.506223693426882,18,train_only,balanced,,,,,
llava_1_5_7b,C9_old_risk_I_S_D,0.8008233434596977,0.5074171502220042,20,train_only,balanced,,,,,
llava_1_5_7b,old_risk_I_S,0.7980788652607052,0.5025114668227741,19,train_only,balanced,,,,,
llava_1_5_7b,residualized_log_R_given_log_I,0.751067377460669,0.40644818165311336,,,,-0.2550057786014406,0.7001893866702187,9.893486984075439e-17,0.018924024247357497,-0.07427104151098649
