method,label,layer,metric,count,mean,std,q10,median,q90
ATTN,REAL,1,normalized_entropy,5,0.9930230259895325,0.0013697996132941525,0.9915621638298034,0.9926970601081848,0.9946367025375367
ATTN,REAL,1,top1_mass,5,0.00426314165815711,0.00010032024865106171,0.004148270934820175,0.0042571499943733215,0.004374359454959631
ATTN,REAL,1,top32_mass,5,0.10201782882213592,0.006826261904991639,0.09389375299215316,0.10435694456100464,0.10913911461830139
ATTN,REAL,10,normalized_entropy,5,0.7145351886749267,0.04556590475632179,0.6635859489440918,0.7330084443092346,0.7473567247390747
ATTN,REAL,10,top1_mass,5,0.1331933856010437,0.03758782585608758,0.10284276008605957,0.12723803520202637,0.17413142323493958
ATTN,REAL,10,top32_mass,5,0.6230524063110352,0.03626613259274799,0.5974528789520264,0.6051914691925049,0.6640456080436706
ATTN,REAL,11,normalized_entropy,5,0.7522708773612976,0.019437066588068187,0.7285763025283813,0.7631286382675171,0.7687852144241333
ATTN,REAL,11,top1_mass,5,0.08767480850219726,0.02518560045252133,0.06818633675575256,0.07949286699295044,0.11590542197227478
ATTN,REAL,11,top32_mass,5,0.5976209521293641,0.026231985189192206,0.5667904138565063,0.599821925163269,0.6257788062095642
ATTN,REAL,12,normalized_entropy,5,0.7428007364273072,0.01808502401406411,0.7233199119567871,0.7399373054504395,0.7631707668304444
ATTN,REAL,12,top1_mass,5,0.07938870415091515,0.01848399335982479,0.05972508266568184,0.0750424861907959,0.10100211501121521
ATTN,REAL,12,top32_mass,5,0.6207658767700195,0.03408108098995431,0.581376564502716,0.6273443698883057,0.6583323001861572
ATTN,REAL,13,normalized_entropy,5,0.7327734351158142,0.008204153502744125,0.7225632190704345,0.7381539940834045,0.7392754673957824
ATTN,REAL,13,top1_mass,5,0.11181716918945313,0.020918117736000236,0.09161021411418915,0.10462629795074463,0.13748247027397156
ATTN,REAL,13,top32_mass,5,0.6131962776184082,0.038098762973171954,0.5683087229728698,0.6167247891426086,0.6534997701644898
ATTN,REAL,14,normalized_entropy,5,0.7752110362052917,0.01972203716164009,0.759419584274292,0.7651585340499878,0.7990623116493225
ATTN,REAL,14,top1_mass,5,0.08722847253084183,0.027775272383652544,0.05868669301271438,0.08034473657608032,0.12088170945644379
ATTN,REAL,14,top32_mass,5,0.5472438871860504,0.05307787520776344,0.48751108050346376,0.5671716332435608,0.5913631439208984
ATTN,REAL,15,normalized_entropy,5,0.754674232006073,0.05130417580781442,0.6942754983901978,0.7617256045341492,0.8105471014976502
ATTN,REAL,15,top1_mass,5,0.07507233843207359,0.030575998775853996,0.04108501747250557,0.07269442826509476,0.11018737852573394
ATTN,REAL,15,top32_mass,5,0.5878446936607361,0.09540159067499046,0.4790987968444824,0.5865221619606018,0.6943647861480713
ATTN,REAL,16,normalized_entropy,5,0.7775234341621399,0.03981737239315583,0.7312867045402527,0.7856671214103699,0.8212283611297607
ATTN,REAL,16,top1_mass,5,0.06555511951446533,0.004699697633895811,0.06078209578990936,0.0656328871846199,0.07057867348194122
ATTN,REAL,16,top32_mass,5,0.5559538185596467,0.08675556787393099,0.45397389531135557,0.561508059501648,0.6494417071342469
ATTN,REAL,17,normalized_entropy,5,0.7879273653030395,0.035131416892835936,0.74697425365448,0.7973721623420715,0.8192961931228637
ATTN,REAL,17,top1_mass,5,0.06251360923051834,0.01190293305019634,0.04959793463349342,0.06002935767173767,0.0758295089006424
ATTN,REAL,17,top32_mass,5,0.5207939922809601,0.0735228164683957,0.45415603518486025,0.49932992458343506,0.6071499586105347
ATTN,REAL,18,normalized_entropy,5,0.7770550847053528,0.051734600102938934,0.7142787218093872,0.8009057641029358,0.8215445876121521
ATTN,REAL,18,top1_mass,5,0.04725742787122726,0.012772616520860142,0.036993900686502455,0.040855418890714645,0.06254869997501374
ATTN,REAL,18,top32_mass,5,0.5505657911300659,0.11054728125325833,0.4475255012512207,0.5070162415504456,0.6865265846252442
ATTN,REAL,19,normalized_entropy,5,0.7386658668518067,0.03101577605405937,0.7012097358703613,0.7509157657623291,0.766552722454071
ATTN,REAL,19,top1_mass,5,0.07811250239610672,0.019612611602679585,0.05481161624193191,0.0804993212223053,0.0987161636352539
ATTN,REAL,19,top32_mass,5,0.6206329941749573,0.06418649611539926,0.5689954876899719,0.5966406464576721,0.6943203568458557
ATTN,REAL,2,normalized_entropy,5,0.9556277394294739,0.007606596941823794,0.9475004553794861,0.9578397274017334,0.9614620923995971
ATTN,REAL,2,top1_mass,5,0.024680149182677268,0.0036934543698322803,0.021525809168815614,0.023983966559171677,0.028575871884822846
ATTN,REAL,2,top32_mass,5,0.2253285676240921,0.01883347728423086,0.21066837906837463,0.21903470158576965,0.2456786334514618
ATTN,REAL,20,normalized_entropy,5,0.7596146702766419,0.06397362498538732,0.6870790004730225,0.7950650453567505,0.8013231754302979
