method,layer,metric,count,mean,std,q10,median,q90
ATTN,1,bbox_mass,5,0.33698943853378294,0.259688883007637,0.08955523222684861,0.34790536761283875,0.6224272727966309
ATTN,1,patch_aupr,5,0.3562200054526329,0.30383783844615275,0.1034181535243988,0.3155968487262726,0.6886609673500061
ATTN,1,patch_auroc,5,0.3966217203469807,0.20420002371709428,0.23365384615384618,0.339795077746885,0.6261613192024778
ATTN,1,top1_pointing,5,0.6,0.48989794855663565,0.0,1.0,1.0
ATTN,1,top32_box_recall,5,0.020592828224407174,0.02424406243041697,0.0030769230769230774,0.011904761904761904,0.04694331983805669
ATTN,1,uniform_enrichment,5,0.8944634281896118,0.08905642470870395,0.8321049445910267,0.8654851076567563,0.9885600005800921
ATTN,10,bbox_mass,5,0.37951862812042236,0.22581767598464522,0.1634914219379425,0.3138737082481384,0.6536072969436646
ATTN,10,patch_aupr,5,0.5062299787998199,0.2188387343231973,0.26921297907829284,0.5550497770309448,0.7444208383560181
ATTN,10,patch_auroc,5,0.6389800228998884,0.06837966105887563,0.5569462025316456,0.6637244152046784,0.708341357030014
ATTN,10,top1_pointing,5,0.6,0.48989794855663565,0.0,1.0,1.0
ATTN,10,top32_box_recall,5,0.09982552535184115,0.041491036312475714,0.06672932330827068,0.08846153846153847,0.14615384615384616
ATTN,10,uniform_enrichment,5,1.2145174255613171,0.3169121080580962,0.8668931206360422,1.1990161310423708,1.5745754864098949
ATTN,11,bbox_mass,5,0.4027096018195152,0.2382525531394386,0.14723636955022812,0.37758907675743103,0.683923065662384
ATTN,11,patch_aupr,5,0.5078245013952255,0.2086628425229103,0.27592469155788424,0.538468599319458,0.7373485088348389
ATTN,11,patch_auroc,5,0.6460307242186175,0.08128802013359807,0.5640202044790652,0.6165570175438597,0.7456394280777179
ATTN,11,top1_pointing,5,0.8,0.4,0.4,1.0,1.0
ATTN,11,top32_box_recall,5,0.08946018893387314,0.04367035659745063,0.04763832658569501,0.08076923076923077,0.14
ATTN,11,uniform_enrichment,5,1.2343345031036779,0.2910511810730945,0.963373730456057,1.123624358166152,1.5878890916927038
ATTN,12,bbox_mass,5,0.40498708486557006,0.2321350371094126,0.15149352550506592,0.3972019553184509,0.6760073900222778
ATTN,12,patch_aupr,5,0.49217088222503663,0.2180629785652736,0.25093228816986085,0.5257996320724487,0.735972797870636
ATTN,12,patch_auroc,5,0.6409323567927206,0.0674083472692614,0.5738254625121714,0.607858187134503,0.7217985898745523
ATTN,12,top1_pointing,5,0.4,0.48989794855663565,0.0,0.0,1.0
ATTN,12,top32_box_recall,5,0.0762406015037594,0.018326316769093225,0.05721997300944669,0.06923076923076923,0.0980952380952381
ATTN,12,uniform_enrichment,5,1.2492544687127172,0.24062756858124978,0.9763679472564716,1.2858204042870836,1.5182625237721343
ATTN,13,bbox_mass,5,0.4027554512023926,0.2279981883918487,0.16787586212158204,0.33627164363861084,0.6800739288330078
ATTN,13,patch_aupr,5,0.49830195009708406,0.21038559201199364,0.27349698841571807,0.49568504095077515,0.7393077969551086
