feature,label,layer,n,mean,std,sem,ci95_low,ci95_high
old_aggregate_s,REAL,1,11976,1.2911958082335826,0.2328504252986767,0.002127752658612764,1.2870254130227017,1.2953662034444635
old_aggregate_s,HALL,1,3487,1.1789170129612998,0.19828442468773105,0.0033578603311287497,1.1723356067122874,1.1854984192103122
old_aggregate_s,REAL,2,11976,0.8539634139321212,0.13954355695467516,0.0012751283315104132,0.8514641624023608,0.8564626654618815
old_aggregate_s,HALL,2,3487,0.8470594365548226,0.14015160092367185,0.0023734062916284334,0.8424075602232309,0.8517113128864143
old_aggregate_s,REAL,3,11976,0.5092049611902826,0.061501211682184476,0.0005619889527657998,0.5081034628428616,0.5103064595377036
old_aggregate_s,HALL,3,3487,0.5150164794043275,0.05240366178964802,0.0008874331779032284,0.5132771103756372,0.5167558484330178
old_aggregate_s,REAL,4,11976,0.7114813601126572,0.08483984204043071,0.000775253896256634,0.7099618624759941,0.7130008577493202
old_aggregate_s,HALL,4,3487,0.6704624126864807,0.06649546495106744,0.001126071724043826,0.6682553121073548,0.6726695132656065
old_aggregate_s,REAL,5,11976,0.7375003951131979,0.09336062360306605,0.0008531155346886896,0.735828288665208,0.7391725015611877
old_aggregate_s,HALL,5,3487,0.6911978752899552,0.06395167982459729,0.001082993831362435,0.6890752073804849,0.6933205431994256
old_aggregate_s,REAL,6,11976,0.7819251879283247,0.10986587406304553,0.001003938065943437,0.7799574693190755,0.7838929065375738
old_aggregate_s,HALL,6,3487,0.7203243396020326,0.08969287150768165,0.0015189096959833364,0.7173472765979052,0.7233014026061599
old_aggregate_s,REAL,7,11976,0.7880444494545779,0.0918308742368618,0.000839136911816186,0.7863997411074182,0.7896891578017375
old_aggregate_s,HALL,7,3487,0.726770139207189,0.08639447064093508,0.0014630527145585402,0.7239025558866543,0.7296377225277237
old_aggregate_s,REAL,8,11976,0.8015519202168615,0.08798045990071177,0.0008039523965635506,0.7999761735195969,0.8031276669141261
old_aggregate_s,HALL,8,3487,0.7971725819922465,0.07970431256786635,0.0013497578027775632,0.7945270566988025,0.7998181072856905
old_aggregate_s,REAL,9,11976,0.7054188743472577,0.05682295893679896,0.0005192397728839579,0.7044011643924052,0.7064365843021102
old_aggregate_s,HALL,9,3487,0.7091994087129259,0.051254755984641166,0.0008679769587225659,0.7074981738738296,0.7109006435520221
old_aggregate_s,REAL,10,11976,0.7139458384914803,0.06515601866112962,0.0005953860369935485,0.712778881858973,0.7151127951239876
old_aggregate_s,HALL,10,3487,0.6858529970541293,0.05002979378097341,0.000847232757571589,0.684192420849289,0.6875135732589696
old_aggregate_s,REAL,11,11976,0.7478901360709028,0.06718326371219696,0.0006139107016641636,0.746686871095641,0.7490934010461646
old_aggregate_s,HALL,11,3487,0.7286567897382287,0.05177222624423285,0.000876740092084948,0.7269383791577422,0.7303752003187152
old_aggregate_s,REAL,12,11976,0.7159807007677689,0.1117532958621476,0.0010211850464710089,0.7139791780766856,0.7179822234588521
old_aggregate_s,HALL,12,3487,0.6914239953471557,0.1285854651583833,0.0021775388223005967,0.6871560192554466,0.6956919714388649
old_aggregate_s,REAL,13,11976,0.677284939233251,0.09305662667888062,0.0008503376558730682,0.6756182774277397,0.6789516010387622
old_aggregate_s,HALL,13,3487,0.659253924350052,0.07664728401103547,0.001297988356245007,0.6567098671718118,0.6617979815282923
old_aggregate_s,REAL,14,11976,0.5825000120626741,0.07678812825645039,0.0007016785296311363,0.5811247221445971,0.5838753019807511
old_aggregate_s,HALL,14,3487,0.5810851598319263,0.06566958048830578,0.0011120857305399472,0.578905471800068,0.5832648478637846
old_aggregate_s,REAL,15,11976,0.5882273399872667,0.08636483123587362,0.0007891890213945729,0.5866805295053333,0.5897741504692001
old_aggregate_s,HALL,15,3487,0.5673945156420955,0.11929701455915488,0.0020202429587756793,0.5634348394428952,0.5713541918412959
old_aggregate_s,REAL,16,11976,0.473542052859275,0.05871270469714234,0.0005365079894247489,0.47249049720000247,0.4745936085185475
old_aggregate_s,HALL,16,3487,0.450612948810538,0.04042149476301835,0.0006845204004470966,0.4492712888256617,0.45195460879541427
old_aggregate_s,REAL,17,11976,0.5762419114679437,0.07337413397953069,0.0006704819561660591,0.5749277668338582,0.5775560561020292
old_aggregate_s,HALL,17,3487,0.5433587216103627,0.05575873342939074,0.0009442498541748481,0.54150799189618,0.5452094513245453
old_aggregate_s,REAL,18,11976,0.47963077167351403,0.059700213938917626,0.0005455317024452292,0.4785615295367214,0.4807000138103067
old_aggregate_s,HALL,18,3487,0.4865730172383741,0.04987971230833651,0.0008446911932293645,0.48491742249964453,0.48822861197710365
old_aggregate_s,REAL,19,11976,0.4989767779553223,0.08140191654618681,0.0007438386428762415,0.49751885421528486,0.5004347016953598
old_aggregate_s,HALL,19,3487,0.4468905166120559,0.05510732486029184,0.0009332185339035797,0.4450614082856049,0.4487196249385069
old_aggregate_s,REAL,20,11976,0.3462156773798053,0.03914860240078988,0.0003577341236650431,0.3455145184974218,0.3469168362621888
old_aggregate_s,HALL,20,3487,0.3448140657252352,0.035952706763147504,0.0006088434229102978,0.343620732616331,0.3460073988341394
old_aggregate_s,REAL,21,11976,0.4263065494547188,0.07703785762076128,0.0007039605195315825,0.4249267868364369,0.4276863120730007
old_aggregate_s,HALL,21,3487,0.4228723686234398,0.05330336908820409,0.0009026693289635359,0.4211031367386713,0.4246416005082083
old_aggregate_s,REAL,22,11976,0.3112804624578637,0.045471074602702694,0.0004155079371307888,0.31046606690108736,0.3120948580146401
old_aggregate_s,HALL,22,3487,0.3040545895195705,0.03572707676224948,0.0006050224771616784,0.3028687454643336,0.30524043357480735
old_aggregate_s,REAL,23,11976,0.2933286017002308,0.08106088482640432,0.0007407223455900858,0.2918767859028742,0.2947804174975874
old_aggregate_s,HALL,23,3487,0.2739977603796939,0.04881084145775138,0.0008265903311272,0.2723776433306846,0.27561787742870325
old_aggregate_s,REAL,24,11976,0.26383995333700155,0.049496858496847596,0.00045229495340005194,0.26295345522833746,0.26472645144566564
old_aggregate_s,HALL,24,3487,0.2513914627488035,0.03992483613365434,0.0006761097029741076,0.2500662877309742,0.2527166377666327
old_aggregate_s,REAL,25,11976,0.26821694197226503,0.07235514803765247,0.0006611706137274987,0.26692104756935914,0.2695128363751709
old_aggregate_s,HALL,25,3487,0.2601241967826441,0.058443831674782246,0.0009897208229490354,0.258184343969664,0.2620640495956242
old_aggregate_s,REAL,26,11976,0.31009339185714047,0.13178468490950665,0.0012042289092707176,0.3077331031949699,0.31245368051931105
old_aggregate_s,HALL,26,3487,0.28500974106094645,0.08589693253495721,0.0014546271235323209,0.2821586718988231,0.2878608102230698
old_aggregate_s,REAL,27,11976,0.22849125372657755,0.0654752045611669,0.0005983027104182368,0.2273185804141578,0.2296639270389973
old_aggregate_s,HALL,27,3487,0.2310085279879339,0.05767949983065001,0.0009767771962205518,0.2290940446833416,0.23292301129252618
old_aggregate_s,REAL,28,11976,0.26395622598294743,0.05082116073458099,0.00046439623087691156,0.2630460093704287,0.26486644259546616
old_aggregate_s,HALL,28,3487,0.2758925726190145,0.045044223967478265,0.0007628043052048805,0.27439747618081295,0.27738766905721607
old_aggregate_s,REAL,29,11976,0.22934202665093548,0.08401825940546627,0.0007677463959650912,0.2278372437148439,0.23084680958702705
old_aggregate_s,HALL,29,3487,0.21084049494484622,0.030323072475553346,0.0005135080193210095,0.20983401922697703,0.2118469706627154
old_aggregate_s,REAL,30,11976,0.22349180633907686,0.05102192479019284,0.00046623078304719017,0.22257799400430436,0.22440561867384937
old_aggregate_s,HALL,30,3487,0.22337562661988708,0.03797755694897093,0.0006431333784938634,0.2221150851980391,0.22463616804173506
old_aggregate_s,REAL,31,11976,0.40985879790393726,0.08110294411403983,0.0007411066771238205,0.4084062288167746,0.41131136699109994
old_aggregate_s,HALL,31,3487,0.4469034272652832,0.07146020063987617,0.0012101473595872844,0.44453153844049215,0.44927531609007426
old_aggregate_s,REAL,32,11976,1.8666917127553988,0.28183811129770225,0.0025753948692293586,1.8616439388117092,1.8717394866990884
old_aggregate_s,HALL,32,3487,1.906425428845187,0.2561625736887457,0.004338001564489533,1.8979229457787874,1.9149279119115865
token_all_s,REAL,1,11976,1.2984649018299286,0.24312043718653897,0.0022215985043755712,1.2941105687613526,1.3028192348985046
token_all_s,HALL,1,3487,1.1660166838328407,0.19502947697148465,0.003302739209873288,1.159543314981489,1.1724900526841924
token_all_s,REAL,2,11976,0.7567502164176766,0.09867813208196707,0.0009017061386726191,0.7549828723858782,0.7585175604494749
token_all_s,HALL,2,3487,0.7599464892691515,0.09487497804064744,0.0016066664120548719,0.756797423101524,0.7630955554367791
token_all_s,REAL,3,11976,0.5641013954329984,0.056267631917474636,0.0005141652769269452,0.5630936314902216,0.5651091593757752
token_all_s,HALL,3,3487,0.5772025471332595,0.04719301155949151,0.000799193086757471,0.5756361286832148,0.5787689655833042
token_all_s,REAL,4,11976,0.7126546718662949,0.058803150865749096,0.0005373344731018456,0.7116014962990154,0.7137078474335745
token_all_s,HALL,4,3487,0.6969096917356705,0.048727312665818395,0.0008251758074328625,0.6952923471531021,0.698527036318239
token_all_s,REAL,5,11976,0.7420472985975888,0.06552264180337239,0.0005987361849033726,0.7408737756751782,0.7432208215199994
token_all_s,HALL,5,3487,0.7148883155912187,0.049623090970441035,0.0008403454226929371,0.7132412385627406,0.7165353926196968
token_all_s,REAL,6,11976,0.7299669754449415,0.0816469686943942,0.0007460778930694856,0.7285046627745253,0.7314292881153577
token_all_s,HALL,6,3487,0.6950866460184809,0.06514409928279587,0.0011031869352991497,0.6929243996252946,0.6972488924116672
token_all_s,REAL,7,11976,0.7313437186176568,0.0740683785364456,0.0006768258599824613,0.7300171399320912,0.7326702973032224
token_all_s,HALL,7,3487,0.685796653383401,0.06420647877958824,0.0010873087406384641,0.6836655282517496,0.6879277785150524
token_all_s,REAL,8,11976,0.7269646166590508,0.06658804063771168,0.0006084716414709979,0.7257720122417676,0.728157221076334
token_all_s,HALL,8,3487,0.7055656201763553,0.0545739110640723,0.0009241854036956819,0.7037542167851117,0.7073770235675988
token_all_s,REAL,9,11976,0.6464563750735942,0.041422691408661796,0.0003785144118101687,0.6457144868264463,0.6471982633207422
token_all_s,HALL,9,3487,0.6373610718051308,0.033452809846215605,0.0005665087579334772,0.6362507146395812,0.6384714289706804
token_all_s,REAL,10,11976,0.6551733893070447,0.045917398865337286,0.0004195863820604298,0.6543509999982062,0.6559957786158832
token_all_s,HALL,10,3487,0.6400340856198496,0.03909797561158849,0.0006621071803312228,0.6387363555464004,0.6413318156932989
token_all_s,REAL,11,11976,0.6622800062732173,0.04466118572656103,0.0004081072926733826,0.6614801159795775,0.6630798965668571
token_all_s,HALL,11,3487,0.6525959778317484,0.03613192957245551,0.0006118784830909274,0.6513966960048901,0.6537952596586066
token_all_s,REAL,12,11976,0.6334343450087941,0.07115919414214707,0.0006502421643700374,0.6321598703666289,0.6347088196509594
token_all_s,HALL,12,3487,0.6209995348593004,0.08218358332974841,0.0013917431728063079,0.6182717182406,0.6237273514780007
token_all_s,REAL,13,11976,0.6131239225671103,0.06052572669396387,0.0005530751155913093,0.6120398953405514,0.6142079497936693
token_all_s,HALL,13,3487,0.6140076389601964,0.05310620283017912,0.0008993304042976081,0.6122449513677731,0.6157703265526197
token_all_s,REAL,14,11976,0.536658444841882,0.04819403346156834,0.00044038993141451357,0.5357952805763095,0.5375216091074544
token_all_s,HALL,14,3487,0.5350812453064018,0.038615452952881775,0.0006539358693616713,0.5337995310024529,0.5363629596103506
token_all_s,REAL,15,11976,0.525399001082561,0.054388884792130325,0.0004969975642818648,0.5244248858565685,0.5263731163085534
token_all_s,HALL,15,3487,0.500873282299638,0.07118945349696304,0.0012055623746980973,0.49851038004522974,0.5032361845540463
token_all_s,REAL,16,11976,0.4573048682324713,0.032355481225317395,0.000295659589668165,0.4567253754367217,0.4578843610282209
token_all_s,HALL,16,3487,0.4569396877787945,0.026432912017406218,0.0004476298470706696,0.456062333278536,0.457817042279053
token_all_s,REAL,17,11976,0.48805304728921206,0.047659742094619914,0.00043550765612968153,0.4871994522831979,0.48890664229522623
token_all_s,HALL,17,3487,0.46402336760034935,0.03837994298043245,0.0006499476105999546,0.46274947028357344,0.46529726491712525
token_all_s,REAL,18,11976,0.43125612335497326,0.042151067854580455,0.0003851702077671072,0.43050118974774976,0.43201105696219677
token_all_s,HALL,18,3487,0.4257963176935287,0.03578016634027876,0.000605921526032217,0.42460871150250556,0.42698392388455186
