layer,r_cos_hallucination_mean,r_cos_hallucination_sem,r_cos_non_hallucination_mean,r_cos_non_hallucination_sem,r_cos_diff_h_minus_non
0,0.26633292,0.00089988,0.26605660,0.00054564,0.00027633
1,0.36829931,0.00112027,0.33659360,0.00070738,0.03170571
2,0.47190404,0.00152970,0.47565585,0.00084020,-0.00375181
3,0.51222563,0.00156286,0.51315343,0.00086284,-0.00092781
4,0.45422992,0.00132226,0.44561768,0.00080456,0.00861225
5,0.45585552,0.00158422,0.43454695,0.00089498,0.02130857
6,0.43578598,0.00152247,0.39853606,0.00083740,0.03724992
7,0.43659684,0.00163823,0.38902110,0.00096107,0.04757574
8,0.45330045,0.00145372,0.40984553,0.00087393,0.04345492
9,0.41977859,0.00137672,0.38482791,0.00074093,0.03495067
10,0.41552091,0.00106865,0.40170982,0.00068313,0.01381108
11,0.36887720,0.00107955,0.35739371,0.00062710,0.01148349
12,0.41261250,0.00093278,0.40428305,0.00054126,0.00832945
13,0.33598036,0.00106228,0.33305520,0.00062677,0.00292516
14,0.43465614,0.00107835,0.40373671,0.00066454,0.03091943
15,0.37058255,0.00093933,0.36216536,0.00057807,0.00841719
16,0.36358145,0.00092047,0.36095560,0.00058107,0.00262585
17,0.35232487,0.00093569,0.34365538,0.00061016,0.00866950
18,0.36726260,0.00096271,0.35024136,0.00064527,0.01702124
19,0.36418784,0.00087647,0.33210558,0.00066052,0.03208226
20,0.30924699,0.00098166,0.26282722,0.00061417,0.04641977
21,0.30331445,0.00101635,0.26477221,0.00060992,0.03854224
22,0.30834141,0.00111892,0.27766535,0.00063676,0.03067607
23,0.30745345,0.00114380,0.27663109,0.00063821,0.03082237
24,0.28918320,0.00106099,0.26089996,0.00063673,0.02828324
25,0.36786965,0.00120463,0.32658967,0.00072285,0.04127997
26,0.32087630,0.00100449,0.31486893,0.00060477,0.00600737
27,0.41942477,0.00111388,0.39392713,0.00059449,0.02549765
28,0.39697239,0.00102976,0.42149675,0.00055897,-0.02452436
29,0.31268805,0.00107791,0.32553753,0.00059120,-0.01284948
30,0.38388911,0.00114882,0.34831011,0.00067049,0.03557900
31,0.37057155,0.00133580,0.37332690,0.00078169,-0.00275534
