model,left,right,metric,difference,ci95_low,ci95_high,valid_replicates
qwen2_5_vl_7b,logS_plus_kappa,logS,AUROC,0.029830647855472625,0.005266489724585933,0.055906111043522506,2000
qwen2_5_vl_7b,logS_plus_kappa,logS,HALL_AUPR,0.051098816354564924,-0.018110185339271615,0.10822000296505202,2000
qwen2_5_vl_7b,logS_plus_kappa,kappa,AUROC,0.021707398555752544,2.820596711901908e-05,0.04372587948511466,2000
qwen2_5_vl_7b,logS_plus_kappa,kappa,HALL_AUPR,0.04165912229149049,-0.030593723266994742,0.1165297989363207,2000
qwen2_5_vl_7b,F_plus_kappa,logS_plus_kappa,AUROC,0.03353121064939746,0.013308806511302122,0.054359012287210004,2000
qwen2_5_vl_7b,F_plus_kappa,logS_plus_kappa,HALL_AUPR,0.05246811406161589,-0.001582663251077942,0.11170414872246691,2000
llava_1_5_7b,logS_plus_kappa,logS,AUROC,0.014452563312498223,0.004928821442501794,0.0238550395167472,2000
llava_1_5_7b,logS_plus_kappa,logS,HALL_AUPR,-0.005880334193854919,-0.03305255253078899,0.027345706308991663,2000
llava_1_5_7b,logS_plus_kappa,kappa,AUROC,0.020204243331279126,0.010937552759681066,0.02974047640438861,2000
llava_1_5_7b,logS_plus_kappa,kappa,HALL_AUPR,0.04889595848594808,0.018508134026345772,0.0814052846897013,2000
llava_1_5_7b,F_plus_kappa,logS_plus_kappa,AUROC,0.012223135187304668,0.0053017181663810005,0.01963584125263009,2000
llava_1_5_7b,F_plus_kappa,logS_plus_kappa,HALL_AUPR,0.03954363333677291,0.007739098911662756,0.0680903085571032,2000
qwen3_vl_8b,logS_plus_kappa,logS,AUROC,0.028667768595041387,0.017530144702328283,0.04072849321443175,2000
qwen3_vl_8b,logS_plus_kappa,logS,HALL_AUPR,0.05517276723012288,0.022147268857534718,0.08985040403105118,2000
qwen3_vl_8b,logS_plus_kappa,kappa,AUROC,0.03433884297520651,0.020070257073598063,0.049247236033097476,2000
qwen3_vl_8b,logS_plus_kappa,kappa,HALL_AUPR,0.10270690906035496,0.06002145666386173,0.14543306968589687,2000
qwen3_vl_8b,F_plus_kappa,logS_plus_kappa,AUROC,0.009249586776859609,-1.0581659997083133e-05,0.01896686998515156,2000
qwen3_vl_8b,F_plus_kappa,logS_plus_kappa,HALL_AUPR,0.03829980581441972,0.00701448517471488,0.07307163106179551,2000
internvl_2_5_8b,logS_plus_kappa,logS,AUROC,0.023337189126662605,0.006484605694650938,0.04149456262137511,2000
internvl_2_5_8b,logS_plus_kappa,logS,HALL_AUPR,0.007191621536703718,-0.033086598917338936,0.04861809620079728,2000
internvl_2_5_8b,logS_plus_kappa,kappa,AUROC,0.020518604202814594,0.004012920672223791,0.03783651153477534,2000
internvl_2_5_8b,logS_plus_kappa,kappa,HALL_AUPR,0.05636471201206256,0.0034918821601932605,0.11024860525310526,2000
internvl_2_5_8b,F_plus_kappa,logS_plus_kappa,AUROC,0.007522652785810879,-0.0052703680910276465,0.019918521912769202,2000
internvl_2_5_8b,F_plus_kappa,logS_plus_kappa,HALL_AUPR,0.025093615116132728,-0.024378577932783425,0.07476785847979904,2000
