model,head,regime,seed,AUROC,HALL_AUPR,test_mentions,test_hall_prevalence,best_epoch
qwen2_5_vl_7b,svar_native,joint_split_training,43,0.8653243274053808,0.3802553441756405,902,0.09534368070953436,7
qwen2_5_vl_7b,svar_native,joint_split_training,44,0.8688846468502864,0.4238867104075963,867,0.10957324106113034,20
qwen2_5_vl_7b,svar_native,joint_split_training,45,0.8853315064322145,0.46003267431470257,842,0.10332541567695962,10
qwen2_5_vl_7b,metatoken_lr,joint_split_training,43,0.8381497948016414,0.4048685336099233,902,0.09534368070953436,
qwen2_5_vl_7b,metatoken_lr,joint_split_training,44,0.8078129260976274,0.4131467205724282,867,0.10957324106113034,
qwen2_5_vl_7b,metatoken_lr,joint_split_training,45,0.8453223719266194,0.44923006010365396,842,0.10332541567695962,
qwen2_5_vl_7b,metatoken_gb,joint_split_training,43,0.8297281121751027,0.357642589798791,902,0.09534368070953436,
qwen2_5_vl_7b,metatoken_gb,joint_split_training,44,0.8184074175074993,0.40737281097783007,867,0.10957324106113034,
qwen2_5_vl_7b,metatoken_gb,joint_split_training,45,0.8348785871964679,0.4156713855121929,842,0.10332541567695962,
llava_1_5_7b,svar_native,joint_split_training,43,0.9078429623462478,0.7258716759759865,1532,0.2206266318537859,16
llava_1_5_7b,svar_native,joint_split_training,44,0.9127888784023175,0.7662308067227038,1489,0.23304231027535258,18
llava_1_5_7b,svar_native,joint_split_training,45,0.8945812573902739,0.6831858491097792,1524,0.2211286089238845,9
llava_1_5_7b,metatoken_lr,joint_split_training,43,0.8867996293102594,0.6884657497983016,1532,0.2206266318537859,
llava_1_5_7b,metatoken_lr,joint_split_training,44,0.8865545052160879,0.7195267423836735,1489,0.23304231027535258,
llava_1_5_7b,metatoken_lr,joint_split_training,45,0.8893427562190797,0.6819013134298855,1524,0.2211286089238845,
llava_1_5_7b,metatoken_gb,joint_split_training,43,0.8954176702050687,0.7145733218770779,1532,0.2206266318537859,
llava_1_5_7b,metatoken_gb,joint_split_training,44,0.8917756400874142,0.7229168603436967,1489,0.23304231027535258,
llava_1_5_7b,metatoken_gb,joint_split_training,45,0.8977248580692416,0.7110706830426954,1524,0.2211286089238845,
qwen3_vl_8b,svar_native,joint_split_training,43,0.8699003852695151,0.585357830115223,1461,0.16084873374401096,16
qwen3_vl_8b,svar_native,joint_split_training,44,0.868453742533994,0.6052731970740197,1478,0.17456021650879566,21
qwen3_vl_8b,svar_native,joint_split_training,45,0.8595417994133648,0.5581772472337314,1449,0.17322291235334714,20
qwen3_vl_8b,metatoken_lr,joint_split_training,43,0.8359793134566658,0.46119073291207363,1461,0.16084873374401096,
qwen3_vl_8b,metatoken_lr,joint_split_training,44,0.8293795272588639,0.4950749848590672,1478,0.17456021650879566,
qwen3_vl_8b,metatoken_lr,joint_split_training,45,0.8329037772116874,0.4746853760753303,1449,0.17322291235334714,
qwen3_vl_8b,metatoken_gb,joint_split_training,43,0.8502551108951442,0.5324896019523135,1461,0.16084873374401096,
qwen3_vl_8b,metatoken_gb,joint_split_training,44,0.837036154530436,0.560794658400045,1478,0.17456021650879566,
qwen3_vl_8b,metatoken_gb,joint_split_training,45,0.8478024463082561,0.5429677582686879,1449,0.17322291235334714,
internvl_2_5_8b,svar_native,joint_split_training,43,0.862934833731078,0.4996229918183867,1150,0.15391304347826087,16
internvl_2_5_8b,svar_native,joint_split_training,44,0.8687032195887652,0.5365098887142632,1156,0.15311418685121106,11
internvl_2_5_8b,svar_native,joint_split_training,45,0.8754993757802746,0.5866357865336332,1168,0.1523972602739726,12
internvl_2_5_8b,metatoken_lr,joint_split_training,43,0.8338268852230565,0.5037799619478156,1150,0.15391304347826087,
internvl_2_5_8b,metatoken_lr,joint_split_training,44,0.8117703410028682,0.42332605236867515,1156,0.15311418685121106,
internvl_2_5_8b,metatoken_lr,joint_split_training,45,0.8474123255022132,0.4991121221044482,1168,0.1523972602739726,
internvl_2_5_8b,metatoken_gb,joint_split_training,43,0.8495624807659925,0.4945043999306479,1150,0.15391304347826087,
internvl_2_5_8b,metatoken_gb,joint_split_training,44,0.8411038590052111,0.5219618328784582,1156,0.15311418685121106,
internvl_2_5_8b,metatoken_gb,joint_split_training,45,0.8498638066053796,0.5103721180262959,1168,0.1523972602739726,
