model,group,batch_size,seed,best_epoch,validation_AUROC,validation_HALL_AUPR,test_AUROC,test_HALL_AUPR
internvl_2_5_8b,visual,32,43,34,0.8406417112299465,0.5240867715780113,0.8593840370156158,0.5312428541253456
internvl_2_5_8b,visual,32,44,18,0.8408001584472173,0.5219679216361559,0.854895893580104,0.5315599298490904
internvl_2_5_8b,visual,32,45,19,0.8404733610615962,0.5237749424740066,0.8546529786003471,0.5333101739501749
internvl_2_5_8b,visual,64,43,18,0.8408595761536939,0.5202993637831248,0.8566888374783113,0.523906683605035
internvl_2_5_8b,visual,64,44,27,0.839126559714795,0.5177661974696601,0.8572151532677847,0.5345045075846955
internvl_2_5_8b,visual,64,45,15,0.8375742721330958,0.5162970653594173,0.8518074031231926,0.5222544318588267
internvl_2_5_8b,visual,128,43,32,0.8403545256486432,0.5163953383181902,0.8572267206477735,0.5285917908698603
internvl_2_5_8b,visual,128,44,26,0.8388690829867301,0.5199693130029692,0.8549595141700406,0.5306818095972494
internvl_2_5_8b,visual,128,45,20,0.8376955832838184,0.5180514816647743,0.8512753036437246,0.5205622399959905
internvl_2_5_8b,visual,256,43,40,0.8388096652802535,0.5173425000509619,0.8538027761711974,0.5255499656032101
internvl_2_5_8b,visual,256,44,48,0.8393394731630026,0.519341717664448,0.8549826489300173,0.5318395383582358
internvl_2_5_8b,visual,256,45,31,0.8373440285204992,0.5172558783754412,0.8505349913244651,0.5203825149126049
internvl_2_5_8b,visual,512,43,76,0.8398593780946721,0.5175412734819588,0.8562377096587623,0.5334104304584895
internvl_2_5_8b,visual,512,44,84,0.8398049118637355,0.5210408941807743,0.8544852515905149,0.5301220749459586
internvl_2_5_8b,visual,512,45,65,0.8383392751039811,0.5181207755504851,0.852727009832273,0.5279467049142554
internvl_2_5_8b,vp_generation,32,43,44,0.8645523866112101,0.5963306570085424,0.8864054366685945,0.5888334804476959
internvl_2_5_8b,vp_generation,32,44,44,0.8646959794018618,0.5926301308469634,0.8859253903990745,0.5904489413899637
internvl_2_5_8b,vp_generation,32,45,32,0.8632154882154881,0.5955274232891918,0.8875563909774437,0.5885181007076539
internvl_2_5_8b,vp_generation,64,43,53,0.8588482867894633,0.5904543579275784,0.8839010989010989,0.582203925670753
internvl_2_5_8b,vp_generation,64,44,51,0.8611705288175877,0.5883855661072754,0.8839415847310584,0.5804922294834203
internvl_2_5_8b,vp_generation,64,45,53,0.8602446028916617,0.588873803269648,0.887006940427993,0.5938355936486901
internvl_2_5_8b,vp_generation,128,43,49,0.8606060606060606,0.59083203322226,0.8847397339502603,0.5809955625204257
internvl_2_5_8b,vp_generation,128,44,29,0.8569419687066746,0.5848472241721814,0.8814141122035858,0.5746187912504345
internvl_2_5_8b,vp_generation,128,45,37,0.8556446821152703,0.5845666793753606,0.8831839213418161,0.5799293700017378
internvl_2_5_8b,vp_generation,256,43,65,0.8567686670627848,0.5883818972082611,0.882322151532678,0.5793299209147548
internvl_2_5_8b,vp_generation,256,44,77,0.8610764507823332,0.5910996447900401,0.8845604395604395,0.5828933782100363
internvl_2_5_8b,vp_generation,256,45,40,0.8550703109526638,0.5834396069933229,0.8796269519953731,0.5706913362155865
internvl_2_5_8b,vp_generation,512,43,83,0.8563576945929887,0.5869137454463813,0.8807547715442452,0.5743989806377664
internvl_2_5_8b,vp_generation,512,44,93,0.8590909090909091,0.586590749596158,0.885052053209948,0.5848568184799474
internvl_2_5_8b,vp_generation,512,45,59,0.8523321449792036,0.5815508530904635,0.8784933487565066,0.5697100453164338
