model,group,batch_size,seed,best_epoch,validation_AUROC,validation_HALL_AUPR,test_AUROC,test_HALL_AUPR
llava_1_5_7b,visual,32,43,38,0.8977834679619167,0.7241398899577272,0.9004044761373751,0.693747037575635
llava_1_5_7b,visual,32,44,32,0.8986699927846118,0.7222484819437107,0.8989885651123437,0.6869758083663683
llava_1_5_7b,visual,32,45,31,0.8988349787937983,0.7230057079952343,0.8975188543592452,0.6867952047175973
llava_1_5_7b,visual,64,43,36,0.8982256304665365,0.7187328993668063,0.9001917226672926,0.6890162455252044
llava_1_5_7b,visual,64,44,40,0.8990659592066592,0.7245401788863088,0.899981414639395,0.6885914605109527
llava_1_5_7b,visual,64,45,38,0.8981970328916108,0.7229418700656897,0.8980421789868045,0.6847471046517206
llava_1_5_7b,visual,128,43,53,0.8973347060169299,0.720832363048328,0.8997173068834305,0.6912600042342396
llava_1_5_7b,visual,128,44,36,0.8986655931577002,0.7196806250326033,0.8988687384452856,0.686481745344422
llava_1_5_7b,visual,128,45,29,0.8991473523045244,0.7237950760443891,0.8997075251146911,0.6868894305477462
llava_1_5_7b,visual,256,43,33,0.8981860338243317,0.7245420497347712,0.8967216402069822,0.6777342026544909
llava_1_5_7b,visual,256,44,44,0.8987447864421098,0.7206038434975701,0.8966849585742094,0.6808232311591408
llava_1_5_7b,visual,256,45,59,0.8985182056561603,0.7241852172735225,0.8987929297375552,0.6867522823659263
llava_1_5_7b,visual,512,43,46,0.8975810851239814,0.7220709124632763,0.8953399653725387,0.6808796686630766
llava_1_5_7b,visual,512,44,60,0.8984500114390299,0.721460164144419,0.8976900353121852,0.6851353097763271
llava_1_5_7b,visual,512,45,67,0.8970839272829665,0.7204602348758918,0.8983845408926842,0.6869597143248305
llava_1_5_7b,vp_generation,32,43,45,0.9076298329901623,0.7393727143374973,0.8991842004871322,0.7126184393243435
llava_1_5_7b,vp_generation,32,44,51,0.9094754764795945,0.7418050621059084,0.8968732576224434,0.7043941158886207
llava_1_5_7b,vp_generation,32,45,35,0.9082127835559545,0.7403088221231395,0.8990325830716709,0.7149488154370844
llava_1_5_7b,vp_generation,64,43,26,0.9078718124703026,0.7407898704349081,0.8972596374876505,0.7096532095865545
llava_1_5_7b,vp_generation,64,44,29,0.90838876863242,0.7367476661335401,0.8993553814400719,0.7173691239811852
llava_1_5_7b,vp_generation,64,45,32,0.9079796033296377,0.7390892720515766,0.9007517289276247,0.7142427668231838
llava_1_5_7b,vp_generation,128,43,53,0.9099418369322281,0.7401511274600479,0.9005732116481303,0.7160979553199558
llava_1_5_7b,vp_generation,128,44,34,0.9084437639688153,0.7371786305976346,0.9004900666138453,0.7151476682749637
llava_1_5_7b,vp_generation,128,45,45,0.909554669764004,0.7369481980110686,0.8991279553168805,0.7129004714507187
llava_1_5_7b,vp_generation,256,43,33,0.9074120514580363,0.7397758462229771,0.8992551183104929,0.7157982413684918
llava_1_5_7b,vp_generation,256,44,55,0.908571353149253,0.736684688845894,0.9012921716504778,0.7179977633465837
llava_1_5_7b,vp_generation,256,45,59,0.9087451384122626,0.740417098602723,0.9002430769531746,0.7166420012859495
llava_1_5_7b,vp_generation,512,43,72,0.908740738785351,0.7360514954066029,0.8996317164069607,0.71847642327075
llava_1_5_7b,vp_generation,512,44,50,0.90799940165074,0.7422244841093913,0.9001134685173773,0.7197069534577479
llava_1_5_7b,vp_generation,512,45,38,0.9051748411734685,0.7331503396441662,0.8983429683755417,0.7147308023087814
