model,group,batch_size,seed,best_epoch,validation_AUROC,validation_HALL_AUPR,test_AUROC,test_HALL_AUPR
qwen2_5_vl_7b,visual,32,43,26,0.888391234356338,0.5159291929974372,0.8868861305990285,0.4354909228629037
qwen2_5_vl_7b,visual,32,44,20,0.8834709456301605,0.5135233458927001,0.8908333975792151,0.43163232098806387
qwen2_5_vl_7b,visual,32,45,15,0.8816144778522096,0.5017114278363757,0.8806414308842804,0.4096724733944843
qwen2_5_vl_7b,visual,64,43,16,0.8828867424832529,0.508213622498462,0.8838640043173234,0.42029378489884156
qwen2_5_vl_7b,visual,64,44,22,0.8822765747520382,0.5184487955693138,0.8917739572893377,0.4542312469606204
qwen2_5_vl_7b,visual,64,45,25,0.8867424832528432,0.5297273950379668,0.8822758461182638,0.4375700128773529
qwen2_5_vl_7b,visual,128,43,20,0.8820558757854287,0.5018226446203018,0.8868707115873873,0.41012242942398547
qwen2_5_vl_7b,visual,128,44,26,0.886560731162694,0.49527891310540667,0.8901549610669954,0.4542139084899711
qwen2_5_vl_7b,visual,128,45,23,0.8828867424832529,0.5042937223975655,0.8873024439133452,0.4230027312755759
qwen2_5_vl_7b,visual,256,43,30,0.8864179259490055,0.5159728886502662,0.8795775190810269,0.4233058192133956
qwen2_5_vl_7b,visual,256,44,31,0.885048294126811,0.5128217099254597,0.8815357335594789,0.43157893726884444
qwen2_5_vl_7b,visual,256,45,21,0.8823934153814198,0.49813111307029206,0.877665561637499,0.411876158228692
qwen2_5_vl_7b,visual,512,43,53,0.8830035831126344,0.5212864512915485,0.8841107085035849,0.43996229256106956
qwen2_5_vl_7b,visual,512,44,46,0.8824453445500338,0.4952380832456238,0.8854521625163827,0.44047515239013546
qwen2_5_vl_7b,visual,512,45,39,0.8837046268889235,0.5168217759803805,0.8878266903091512,0.4308235622023358
qwen2_5_vl_7b,vp_generation,32,43,10,0.8522290595627564,0.456757233791223,0.8660087888366355,0.5035703501687366
qwen2_5_vl_7b,vp_generation,32,44,13,0.8553253362413669,0.4677581445731273,0.8636650990671497,0.4832029357602603
qwen2_5_vl_7b,vp_generation,32,45,10,0.8519759048657631,0.45663705681922845,0.8708041014570967,0.4820097549021373
qwen2_5_vl_7b,vp_generation,64,43,15,0.8580516175936024,0.46777319246585647,0.8662554930228972,0.4651495685315374
qwen2_5_vl_7b,vp_generation,64,44,21,0.85685724671548,0.47149307184698763,0.8575437514455323,0.4570533777664263
qwen2_5_vl_7b,vp_generation,64,45,21,0.8581165290543697,0.4726224419978877,0.8694009713977333,0.4523158040373732
qwen2_5_vl_7b,vp_generation,128,43,25,0.8599729968323208,0.4768744491161712,0.8640351553465422,0.4660684751609126
qwen2_5_vl_7b,vp_generation,128,44,26,0.8522355507088332,0.46516107739990936,0.8698943797702567,0.4738096188953356
qwen2_5_vl_7b,vp_generation,128,45,29,0.8594017759775666,0.4734117798208126,0.8728394109937553,0.48072441475043837
qwen2_5_vl_7b,vp_generation,256,43,24,0.8530404528223503,0.46426061916561256,0.8677665561637499,0.4706286273592921
qwen2_5_vl_7b,vp_generation,256,44,35,0.8555979643765903,0.46656261541688776,0.8723151645979493,0.4739496151738769
qwen2_5_vl_7b,vp_generation,256,45,25,0.8537934257672535,0.4478141564649689,0.870773263433814,0.468166523175911
qwen2_5_vl_7b,vp_generation,512,43,47,0.8570649633899361,0.4642338707678166,0.8716367280857298,0.47440963344893233
qwen2_5_vl_7b,vp_generation,512,44,64,0.8590123072129614,0.47819355194639074,0.8725618687842108,0.48855307465456527
qwen2_5_vl_7b,vp_generation,512,45,43,0.8517552058991535,0.453097036811106,0.8716675661090125,0.4699528710708829
