layer,AE_V_train_mean,AE_V_z_over_layers,logS_V_train_mean,logS_V_z_over_layers,AE_VP_train_mean,AE_VP_z_over_layers,logS_VP_train_mean,logS_VP_z_over_layers,AE_G_train_mean,AE_G_z_over_layers,logS_G_train_mean,logS_G_z_over_layers
0,0.44933846350747353,-1.6146122172604933,0.7099356750218211,-1.359095222295833,0.35010669642444053,-3.4615463915113716,1.1850009614768173,-1.6071177454926127,0.49104671048683307,-1.5661713226440832,1.8883293517923834,-0.513969613772347
1,0.44172938055233496,-1.6957212105276436,0.2967496795254454,-1.9492450194120852,0.28281187051484125,-3.904816091982511,0.7491919835332259,-2.2568901497770484,0.516661107899233,-1.252831191770791,1.7497302958593615,-0.7214445017892682
2,0.4433153815826492,-1.6788152380671146,0.1354126932189237,-2.179681168686115,0.9912874468348604,0.7618986555727699,0.7222428572765163,-2.2970701356135343,0.5224929326240709,-1.1814906603856494,0.6900192873723651,-2.307771488910937
3,0.44287843540816146,-1.6834728642927166,0.3071140034470249,-1.934441749876729,0.9854494850188978,0.7234441154124317,1.0952509880180323,-1.7409310880124338,0.5335518941744021,-1.0462067259751544,1.3124920547447063,-1.375965230673722
4,0.4598552153439226,-1.5025089376768759,0.7397090756864875,-1.3165701450830747,0.9663072834536195,0.5973548085525305,1.6044268848723657,-0.9817717694874558,0.5205983944280134,-1.2046664875089435,1.5468115103120208,-1.0252023594784958
5,0.49396349059719347,-1.13893189637213,1.2659341198094085,-0.5649677035396349,0.9547735202045466,0.5213821358898576,1.8462141258652007,-0.6212774133442246,0.5350923482880813,-1.0273623984739784,1.8558507473465222,-0.562588233682769
6,0.5083016520987749,-0.9860943137683403,1.1253007282819747,-0.7658330968063666,0.9446147165926978,0.4544662954325452,1.9387815934453954,-0.4832633085134384,0.5313419849427302,-1.0732404772175297,1.9583796455321676,-0.4091083161871918
7,0.5281348870103866,-0.7746820152829669,1.6960746316077562,0.04939807491401167,0.9113386616986312,0.23527757347093575,2.3059702090145198,0.06419909276619953,0.5651859141017079,-0.6592287391624786,1.9900610062404338,-0.3616831247172898
8,0.5276450678169105,-0.7799032412703832,1.1859565255998625,-0.6791989735029547,0.934578166273358,0.38835573501897475,2.128206415912647,-0.20083906175634278,0.5718422188487331,-0.5778023691805833,2.1306736304272365,-0.1511940397770542
9,0.5674744102572373,-0.3553425042047085,1.9965686580409727,0.4785909581848194,0.8735390928939166,-0.013707446038772914,2.478068624332938,0.32079041317140705,0.5646284401073566,-0.6660483012835827,1.9204772923528628,-0.4658459788539147
10,0.5430438423234915,-0.615760058032621,1.5205976607754277,-0.20123408557551667,0.8918394959043321,0.10683695022469743,2.389889222150877,0.18931872473909975,0.5612432160950033,-0.7074596418663089,2.346708711224798,0.17219816440838304
11,0.5578652448327741,-0.45777136958977854,1.9084277734061907,0.35270013479818835,0.8678685081119659,-0.051059476953722246,2.5095647347331886,0.36774975640693736,0.5564500688870951,-0.7660940633301465,2.2041757489908322,-0.04116555714901953
12,0.5681826283626527,-0.3477932557758931,2.270579381425019,0.8699579807251338,0.8319357629467377,-0.2877477657070549,2.6759106638106642,0.6157643677387619,0.5698564823905169,-0.6020938218226087,2.3025740502129284,0.10613109209349285
13,0.5809356746633034,-0.21185220313740188,1.502696599624614,-0.226802008306361,0.8731049184804025,-0.0165673443984057,2.2764942561367425,0.020251717335014466,0.5619836252943035,-0.6984022390442461,2.5601957339446257,0.4917760708644477
14,0.5968170546314614,-0.042564688662285834,1.8874182007121592,0.3226923533195669,0.8746139782594704,-0.006627197184724407,2.5008968642002536,0.35482633499697175,0.5848516398628884,-0.41865852450876645,2.740724207267346,0.7620169071699805
15,0.618651925141457,0.19018403751480636,2.561948082081085,1.2861172442346152,0.8250096139412053,-0.3333701735757534,2.9116071475978393,0.9671776673785022,0.5941641842106253,-0.3047384576923345,2.098619293406412,-0.1991775555310582
16,0.6144336519509039,0.14521936912720382,2.273101373612372,0.8735601192146228,0.8379492689822625,-0.24813691921003983,2.7303704340134023,0.6969615380870772,0.5921474240623347,-0.32940942217497027,2.534877916177114,0.4538767405206267
17,0.6456437749562932,0.4779035666363831,1.8922562456351528,0.32960248885384125,0.9149202219307689,0.25886924058441846,2.438857893174481,0.26232890285832894,0.6299702668986383,0.1332762437618778,2.7253158620792455,0.7389514925399406
18,0.6347929999013018,0.3622397677177085,2.401429265944097,1.0568496799678693,0.8495082898722081,-0.17199787496154414,2.8360589511690937,0.8545385623639821,0.6217320010631698,0.03249779274100695,2.8549370809668138,0.9329870701438111
19,0.6558862005750313,0.5870826668574541,2.7326968698791156,1.529996183925681,0.8617890124688095,-0.09110499570397061,3.079717977478144,1.2178236697463465,0.6293418550350235,0.12558890088134292,2.6237072764263654,0.5868492304576031
20,0.662341446952414,0.6558923431414203,2.2800157621143775,0.8834358773867732,0.8770427444787277,0.00937103834040843,2.6573989855808398,0.588164253286118,0.6573446255155808,0.4681459255859297,2.4767711794587384,0.3668942671371166
21,0.6804059423008919,0.8484507684119298,1.9655792693176308,0.4343290962941075,0.9295228056817783,0.35505617379842186,2.3390545822277993,0.11352646740743212,0.6813601546416941,0.761927150192245,2.5204057248321567,0.43221269484267144
22,0.690717856248169,0.9583705792291185,1.319952769189482,-0.4878133582336021,0.9575205768942578,0.5394769445109736,1.9229637779490885,-0.5068469897263878,0.6511064516497614,0.39183453773419225,1.7997445967544954,-0.6465759436478833
