model,group,range,layer_start,layer_end_exclusive,selected_layers,input_dim,batch_size,seed,best_epoch,validation_AUROC,validation_HALL_AUPR,test_AUROC,test_HALL_AUPR
llava_1_5_7b,visual,segment_1,0,8,8,16,128,43,97,0.8341065677630537,0.5827388205681632,0.8315383787696491,0.5509358689273122
llava_1_5_7b,visual,segment_1,0,8,8,16,128,44,77,0.8341824613272795,0.5855289726601343,0.8313623069323395,0.548771592683122
llava_1_5_7b,visual,segment_1,0,8,8,16,128,45,117,0.8333003361314961,0.5828452071168624,0.8300173137306688,0.5469495757761287
llava_1_5_7b,visual,segment_2,8,17,9,18,128,43,97,0.8574586875032997,0.6517901743531488,0.8526205358452914,0.5890372295920651
llava_1_5_7b,visual,segment_2,8,17,9,18,128,44,65,0.8583254140048924,0.6534848574114144,0.852899316254365,0.5889624090110686
llava_1_5_7b,visual,segment_2,8,17,9,18,128,45,113,0.8579866427326962,0.653521172620744,0.8529971339417592,0.5866539595128933
llava_1_5_7b,visual,segment_3,17,27,10,20,128,43,51,0.8534748253348116,0.6435959024471252,0.8549168060568713,0.6077223751808158
llava_1_5_7b,visual,segment_3,17,27,10,20,128,44,51,0.8538751913837707,0.6463986433801653,0.8576703739570188,0.6101184018606992
llava_1_5_7b,visual,segment_3,17,27,10,20,128,45,63,0.8558044277845238,0.6517546315656311,0.856481889055179,0.607824050210326
llava_1_5_7b,visual,segment_4,27,32,5,10,128,43,70,0.8607694067543072,0.6352485533949546,0.8526034177499975,0.5961483243603121
llava_1_5_7b,visual,segment_4,27,32,5,10,128,44,86,0.8600830649560918,0.6321902827761202,0.8524297913548728,0.5948663679648254
llava_1_5_7b,visual,segment_4,27,32,5,10,128,45,100,0.861391953962304,0.6367431540679047,0.8536158308145279,0.5977841077188812
llava_1_5_7b,visual,all,0,32,32,64,128,43,53,0.8973347060169299,0.720832363048328,0.8997173068834305,0.6912600042342396
llava_1_5_7b,visual,all,0,32,32,64,128,44,36,0.8986655931577002,0.7196806250326033,0.8988687384452856,0.686481745344422
llava_1_5_7b,visual,all,0,32,32,64,128,45,29,0.8991473523045244,0.7237950760443891,0.8997075251146911,0.6868894305477462
llava_1_5_7b,vp_generation,segment_1,0,8,8,32,128,43,55,0.8600852647695475,0.6466413114984446,0.8578440003521437,0.5998918267670316
llava_1_5_7b,vp_generation,segment_1,0,8,8,32,128,44,67,0.8605010295126974,0.6472144931609283,0.858433351918694,0.60203415467115
llava_1_5_7b,vp_generation,segment_1,0,8,8,32,128,45,67,0.860371240518804,0.6467580485589138,0.8579124727333197,0.6035448948632465
llava_1_5_7b,vp_generation,segment_2,8,17,9,36,128,43,72,0.8730311669570421,0.6657615928955676,0.8663883753460302,0.6368517693235666
llava_1_5_7b,vp_generation,segment_2,8,17,9,36,128,44,76,0.8719070622811187,0.6630047997565841,0.8671611350764445,0.6380930778695656
llava_1_5_7b,vp_generation,segment_2,8,17,9,36,128,45,65,0.871986255565528,0.6664336260946015,0.8667576371159433,0.6330304074169976
llava_1_5_7b,vp_generation,segment_3,17,27,10,40,128,43,25,0.87621539693434,0.6636174538254775,0.879503281783412,0.6669595100792065
llava_1_5_7b,vp_generation,segment_3,17,27,10,40,128,44,34,0.877041426887,0.6653926755651554,0.8807504572976885,0.6750934278488149
llava_1_5_7b,vp_generation,segment_3,17,27,10,40,128,45,45,0.876212097214156,0.663968608484534,0.8801488785202141,0.6764432304294004
llava_1_5_7b,vp_generation,segment_4,27,32,5,20,128,43,48,0.8849079598050086,0.6914951879004536,0.8808262660054191,0.6489523124818303
llava_1_5_7b,vp_generation,segment_4,27,32,5,20,128,44,34,0.8849981521566973,0.694456850619101,0.8780898162005654,0.6441385243352851
llava_1_5_7b,vp_generation,segment_4,27,32,5,20,128,45,26,0.8845163930098727,0.6936913279051278,0.8790288659995501,0.6441879923516636
llava_1_5_7b,vp_generation,all,0,32,32,128,128,43,53,0.9099418369322281,0.7401511274600479,0.9005732116481303,0.7160979553199558
llava_1_5_7b,vp_generation,all,0,32,32,128,128,44,34,0.9084437639688153,0.7371786305976346,0.9004900666138453,0.7151476682749637
llava_1_5_7b,vp_generation,all,0,32,32,128,128,45,45,0.909554669764004,0.7369481980110686,0.8991279553168805,0.7129004714507187
