layer,AE_V_train_mean,AE_V_z_over_layers,logS_V_train_mean,logS_V_z_over_layers,AE_VP_train_mean,AE_VP_z_over_layers,logS_VP_train_mean,logS_VP_z_over_layers,AE_G_train_mean,AE_G_z_over_layers,logS_G_train_mean,logS_G_z_over_layers
0,0.535624928834087,-1.3335365344400578,0.8963477154783295,-1.3063234591539428,0.48443486346911485,-0.8618091742681991,1.2815956208133503,-1.3309026594641888,0.5224527418739224,-1.2380229415410218,3.5444442103807936,0.6427831951506926
1,0.5013783092414147,-1.7248798650768042,0.1414958709954213,-2.025817925545104,0.4303135585461882,-1.5301455656565173,0.6321680861296142,-1.8989424247627564,0.5112917484332233,-1.3438710171003867,1.8974499092167663,-1.7734807417979523
2,0.5231403441505015,-1.4762005114924457,0.41623309297415123,-1.763949437880765,0.39940769883810157,-1.9117976854542833,0.804922081599279,-1.7478383618764068,0.4973804723844372,-1.4758020863338495,1.6722654827076218,-2.103843153223394
3,0.5404721439896092,-1.2781463865703724,0.2925080385426427,-1.8818791914715456,0.3492375446869356,-2.531341871030301,0.88337555536744,-1.6792168599442074,0.4737167361115516,-1.7002230537269092,1.6384964871855376,-2.1533847976658334
4,0.5328420781387825,-1.365336755095946,0.39159906868104766,-1.7874296006350532,0.34028423914288664,-2.641904983409579,1.029854195027985,-1.5510952641536169,0.4727121689584073,-1.7097501178270216,1.8450972102324583,-1.850286070431031
5,0.5413223650358666,-1.2684307317122494,0.6808300589934738,-1.5117462350056297,0.3667995966348257,-2.314470558689587,1.2511695571471444,-1.3575156580527499,0.5030666654493968,-1.421875650807938,2.397063881113544,-1.0405096429686123
6,0.5475049928917527,-1.1977805418252543,0.8076732441950882,-1.3908444043761925,0.4101593552329302,-1.7790269910558396,1.33451378801858,-1.2846163200746408,0.5468742828523712,-1.0064151434988922,2.6384998976771703,-0.6863049323081554
7,0.5499376798856506,-1.1699817154910956,0.6535848961879218,-1.537715230137316,0.5682831240883788,0.17362121689236426,1.4841024529968145,-1.153774454573907,0.5702111165157328,-0.7850944388465378,2.579213980905474,-0.773281810469267
8,0.5894624677317057,-0.71832364522434,1.8133518111709805,-0.4322719782824103,0.572229260630483,0.22235150268704887,2.427228035213133,-0.3288435642781513,0.5796668311326604,-0.6954188019457375,2.8619039365614505,-0.3585544828116098
9,0.5976914006329239,-0.6242898968587617,2.1690360720135886,-0.09324802367580332,0.5750466904455298,0.2571435476730263,2.643989878853652,-0.13924681912750422,0.5960303592119349,-0.5402311866357198,2.998880480313128,-0.15759963880205247
10,0.5917581493727122,-0.6920904078958495,1.9851918398362849,-0.2684809633530104,0.5702151459540021,0.19747948349537536,2.722101755899371,-0.07092410422184693,0.6060106206950094,-0.44558087820434755,3.190737682742966,0.1238692399593591
11,0.612407908809662,-0.45612126025382543,2.005896842353412,-0.2487457863821006,0.5747297587206205,0.253229802325533,2.5536785319953195,-0.21824013790969518,0.6124016080135312,-0.3849703499226055,2.9967032781066716,-0.16079375742844235
12,0.6007236523989908,-0.5896397176709831,1.9060530582382815,-0.3439128720816793,0.5741781340522033,0.2464178667889502,2.5450446272186182,-0.22579202165505552,0.6167717098550741,-0.34352539501034945,2.910866629829806,-0.2867225463461397
13,0.6472191116092536,-0.05832631847281705,2.426082523319843,0.1517583317726967,0.5917259919871146,0.46311389925740193,2.7295730697349905,-0.06438911281634081,0.6263173048963282,-0.2529973546030008,2.654431571766027,-0.6629319737442324
