model,group,range,layer_start,layer_end_exclusive,selected_layers,input_dim,batch_size,seed,best_epoch,validation_AUROC,validation_HALL_AUPR,test_AUROC,test_HALL_AUPR
qwen3_vl_8b,visual,segment_1,0,8,8,16,128,43,88,0.7653090757538046,0.4055860931518381,0.7906247933884298,0.4204404442968088
qwen3_vl_8b,visual,segment_1,0,8,8,16,128,44,79,0.7656650671173961,0.40579526667499155,0.7884429752066116,0.41265306858757267
qwen3_vl_8b,visual,segment_1,0,8,8,16,128,45,90,0.7714072367545165,0.4124441467158143,0.7869983471074381,0.41146544988112094
qwen3_vl_8b,visual,segment_2,8,23,15,30,128,43,118,0.8427907407514601,0.5611996782287022,0.8511834710743802,0.5516613323321763
qwen3_vl_8b,visual,segment_2,8,23,15,30,128,44,105,0.8455171136336008,0.5620081952759916,0.853596694214876,0.5584715635283045
qwen3_vl_8b,visual,segment_2,8,23,15,30,128,45,93,0.8447385634156648,0.5615974590087938,0.8513355371900826,0.5561848229066803
qwen3_vl_8b,visual,segment_3,23,33,10,20,128,43,146,0.8465445683821785,0.5338172195914004,0.8493454545454545,0.5617026993231633
qwen3_vl_8b,visual,segment_3,23,33,10,20,128,44,133,0.8449990449012197,0.5311645361357601,0.8488760330578512,0.5595136040736003
qwen3_vl_8b,visual,segment_3,23,33,10,20,128,45,117,0.8453868728908235,0.5308954250591376,0.8477685950413223,0.5594397918934688
qwen3_vl_8b,visual,segment_4,33,36,3,6,128,43,125,0.7099538658346695,0.33376612524530835,0.7049652892561984,0.3101515676581005
qwen3_vl_8b,visual,segment_4,33,36,3,6,128,44,89,0.70909138269361,0.3322321450410784,0.7035636363636363,0.31107614932183814
qwen3_vl_8b,visual,segment_4,33,36,3,6,128,45,112,0.7093258160306095,0.33250144419236854,0.7059669421487603,0.31327187060766426
qwen3_vl_8b,visual,all,0,36,36,72,128,43,49,0.889865533668679,0.6378010834693955,0.8985090909090909,0.6804139227358598
qwen3_vl_8b,visual,all,0,36,36,72,128,44,50,0.8900333995149257,0.6488659554436568,0.9011603305785124,0.6878231752130655
qwen3_vl_8b,visual,all,0,36,36,72,128,45,61,0.8921259341155494,0.6493258357527445,0.8994280991735536,0.6785011600977052
qwen3_vl_8b,vp_generation,segment_1,0,8,8,32,128,43,58,0.7958678953674816,0.486099059846413,0.8188727272727272,0.5209799014046513
qwen3_vl_8b,vp_generation,segment_1,0,8,8,32,128,44,72,0.8007750771314621,0.494671354832343,0.8224826446280992,0.520476268185682
qwen3_vl_8b,vp_generation,segment_1,0,8,8,32,128,45,76,0.7980805408753335,0.4841965207782761,0.8178677685950413,0.5153620591537461
qwen3_vl_8b,vp_generation,segment_2,8,23,15,60,128,43,98,0.8678794491684851,0.5915177005329094,0.8907537190082646,0.6057410525251349
qwen3_vl_8b,vp_generation,segment_2,8,23,15,60,128,44,96,0.8649895517981905,0.5951192919140459,0.888495867768595,0.6009633677939992
qwen3_vl_8b,vp_generation,segment_2,8,23,15,60,128,45,111,0.8641849534316989,0.5887826408879162,0.8858578512396693,0.5975092732801467
qwen3_vl_8b,vp_generation,segment_3,23,33,10,40,128,43,95,0.8636147884022066,0.5878604325687752,0.8904760330578512,0.6454558049063432
qwen3_vl_8b,vp_generation,segment_3,23,33,10,40,128,44,42,0.8611315315732503,0.5823994084257448,0.886492561983471,0.6336375463092258
qwen3_vl_8b,vp_generation,segment_3,23,33,10,40,128,45,99,0.8612993974194968,0.5805144846387201,0.888595041322314,0.6439953573670748
qwen3_vl_8b,vp_generation,segment_4,33,36,3,12,128,43,123,0.7959503811712405,0.5184819579079177,0.8028462809917355,0.5272373221498958
qwen3_vl_8b,vp_generation,segment_4,33,36,3,12,128,44,78,0.7987722639314181,0.5219094826934976,0.808505785123967,0.5298052986202032
qwen3_vl_8b,vp_generation,segment_4,33,36,3,12,128,45,143,0.8007085096407093,0.5268424965332911,0.8117652892561984,0.5360614903579428
qwen3_vl_8b,vp_generation,all,0,36,36,144,128,43,26,0.899407838756172,0.6708986440993158,0.9260462809917355,0.712292395249102
qwen3_vl_8b,vp_generation,all,0,36,36,144,128,44,38,0.902906973378792,0.6772474617318139,0.9310909090909091,0.7222976066333465
qwen3_vl_8b,vp_generation,all,0,36,36,144,128,45,45,0.904258582864949,0.6720158852471898,0.9328793388429752,0.7275433699152266
