model,scope,metric,label,layer,total,valid,undefined,mean,q25,median,q75
internvl_2_5_8b,all,ovir,REAL,1,9986,9986,0,0.9655618774300037,0.9524261352167614,0.9646683143958537,0.9830879898362119
internvl_2_5_8b,all,ovir,REAL,2,9986,9986,0,0.9367045894403982,0.929132168349108,0.9393154897762819,0.9483169110345581
internvl_2_5_8b,all,ovir,REAL,3,9986,9986,0,0.9542638534826999,0.9472546490769114,0.9580649335055789,0.9659434467360346
internvl_2_5_8b,all,ovir,REAL,4,9986,9986,0,0.9056588883122157,0.8930056323864926,0.9084780052196506,0.9222443229868253
internvl_2_5_8b,all,ovir,REAL,5,9986,9986,0,0.8937727137003348,0.8800980663617622,0.8939261905556122,0.9091652931220623
internvl_2_5_8b,all,ovir,REAL,6,9986,9986,0,0.8834987759833147,0.8657074809400895,0.8842517544517422,0.9026670862438284
internvl_2_5_8b,all,ovir,REAL,7,9986,9986,0,0.864483593200511,0.8260572888548062,0.8595481217408334,0.900764922377663
internvl_2_5_8b,all,ovir,REAL,8,9986,9986,0,0.8009445416437989,0.7566479549202806,0.7966042326395656,0.8428317024433408
internvl_2_5_8b,all,ovir,REAL,9,9986,9986,0,0.8013212057787297,0.7562246155590826,0.8022962341050512,0.8383739553802846
internvl_2_5_8b,all,ovir,REAL,10,9986,9986,0,0.8631461832402594,0.8386939369971973,0.8586540412660861,0.8849698745805299
internvl_2_5_8b,all,ovir,REAL,11,9986,9986,0,0.8401273781290485,0.8103468066617052,0.8369132217604028,0.8658899760297145
internvl_2_5_8b,all,ovir,REAL,12,9986,9986,0,0.854915419860629,0.8333684816527005,0.853050775907672,0.8742338225217547
internvl_2_5_8b,all,ovir,REAL,13,9986,9986,0,0.8514415755162427,0.8213172150024572,0.8516805635523994,0.8799560918260257
internvl_2_5_8b,all,ovir,REAL,14,9986,9986,0,0.8524055498015217,0.8282878343681259,0.8513181608179838,0.8753504850376412
internvl_2_5_8b,all,ovir,REAL,15,9986,9986,0,0.8411919572244042,0.8182647757804051,0.8406981476261048,0.8625522265435348
internvl_2_5_8b,all,ovir,REAL,16,9986,9986,0,0.8788835057195084,0.8614359839910262,0.8785839497321986,0.8956254558308581
internvl_2_5_8b,all,ovir,REAL,17,9986,9986,0,0.9025692008909061,0.8887741541970453,0.9026776385717923,0.9176581297871995
internvl_2_5_8b,all,ovir,REAL,18,9986,9986,0,0.9266988005302469,0.9153716562458987,0.9270698632746759,0.9386513468558783
internvl_2_5_8b,all,ovir,REAL,19,9986,9986,0,0.9463354539497335,0.9393154248924641,0.9464999300173299,0.954007211609653
internvl_2_5_8b,all,ovir,REAL,20,9986,9986,0,0.9590286974059662,0.9502534945503505,0.9586321107055898,0.9676825846793509
internvl_2_5_8b,all,ovir,REAL,21,9986,9986,0,0.9563634543032793,0.9498105090523239,0.9569754707565361,0.9636188490510246
internvl_2_5_8b,all,ovir,REAL,22,9986,9986,0,0.9670266317088551,0.9607483599356291,0.9675212797983787,0.9741471562009726
internvl_2_5_8b,all,ovir,REAL,23,9986,9986,0,0.9824540351482546,0.9787021388487924,0.982888989831195,0.9868600532190872
internvl_2_5_8b,all,ovir,REAL,24,9986,9986,0,0.9860259452515555,0.9825929441718072,0.9875370399169344,0.9911181074688908
internvl_2_5_8b,all,ovir,REAL,25,9986,9986,0,0.9877119797189009,0.9859147591152412,0.9906438777326481,0.9938338513862027
internvl_2_5_8b,all,ovir,REAL,26,9986,9986,0,0.9926879566037096,0.9910206415320274,0.9940290357798105,0.9962289659791566
internvl_2_5_8b,all,ovir,REAL,27,9986,9986,0,0.9916122334670324,0.9911154473658425,0.9945510594168923,0.996697368077205
internvl_2_5_8b,all,ovir,REAL,28,9986,9986,0,0.993632259023878,0.9927604083756005,0.9964530762635179,0.9980653087894936
internvl_2_5_8b,all,ovir,REAL,29,9986,9986,0,0.9849244594691108,0.9806264202460325,0.9866472336539441,0.9912655519361919
internvl_2_5_8b,all,ovir,REAL,30,9986,9986,0,0.9696770930548253,0.9606469397581191,0.974089537773918,0.983527074925427
