model,scope,metric,layer,mixed_images,valid,mean_H_minus_R,median_H_minus_R,fraction_H_gt_R,ci95_low,ci95_high
llava_1_5_7b,all,ovir,1,1966,1966,-0.009532497099601554,-0.009877273536583964,0.43438453713123093,-0.01238090889517824,-0.006918123123457043
llava_1_5_7b,all,ovir,2,1966,1966,0.0026203379385386434,0.0023421656006462066,0.5279755849440488,0.0011215571473876286,0.004078353238258044
llava_1_5_7b,all,ovir,3,1966,1966,0.001855036840523932,0.002821495700182086,0.5508646998982706,0.0007951659104408072,0.0029503156695140074
llava_1_5_7b,all,ovir,4,1966,1966,0.011408854835989522,0.012029339933532335,0.6459816887080366,0.009710715815034012,0.013031000263359679
llava_1_5_7b,all,ovir,5,1966,1966,0.0010297140987168497,-0.0010427846646516858,0.4811800610376399,-4.285921242537442e-06,0.001996420843165709
llava_1_5_7b,all,ovir,6,1966,1966,-0.00881132710817902,-0.010109652220570975,0.35300101729399797,-0.009977128879313398,-0.007597291459817605
llava_1_5_7b,all,ovir,7,1966,1966,-0.013755423699683692,-0.016604037147197048,0.31129196337741605,-0.015274798948184556,-0.01221914605828323
llava_1_5_7b,all,ovir,8,1966,1966,-0.009074646333163131,-0.011380651945681275,0.36826042726347913,-0.010638450669740725,-0.007477069447212375
llava_1_5_7b,all,ovir,9,1966,1966,-0.022011050063446076,-0.02405249456563663,0.28891149542217703,-0.02415725269760105,-0.019999797380096728
llava_1_5_7b,all,ovir,10,1966,1966,-0.003584421402684183,-0.0057946957844786096,0.39623601220752797,-0.004738427571914299,-0.0024473105700609623
llava_1_5_7b,all,ovir,11,1966,1966,-0.010907187723756831,-0.011505653899406054,0.34486266531027465,-0.01220363363502234,-0.009526858756217421
llava_1_5_7b,all,ovir,12,1966,1966,0.02686840653284585,0.024240308976224756,0.7375381485249237,0.02498303022369044,0.028762527929571673
llava_1_5_7b,all,ovir,13,1966,1966,0.0021767041958930685,0.0009814537667535705,0.5116988809766022,0.0009068911182604429,0.003556966505489501
llava_1_5_7b,all,ovir,14,1966,1966,0.0004450290646209575,-0.0011166278258131213,0.47914547304170907,-0.0006520248055034355,0.0015625260096238372
llava_1_5_7b,all,ovir,15,1966,1966,0.01731481048878072,0.015002602812628552,0.7034587995930824,0.01590828479942988,0.018696212036221804
llava_1_5_7b,all,ovir,16,1966,1966,0.0076491225170265496,0.0067082230360649975,0.6042726347914548,0.0064179480420676555,0.008872848285521973
llava_1_5_7b,all,ovir,17,1966,1966,-0.002843362641156263,-0.005219796814334154,0.40132248219735506,-0.003761294605263056,-0.001940938485552394
llava_1_5_7b,all,ovir,18,1966,1966,-0.0007171705019057222,-0.0019256933231214801,0.45116988809766023,-0.0014627911045475492,9.416620146117793e-05
llava_1_5_7b,all,ovir,19,1966,1966,0.009059105288559638,0.00793835320213998,0.7151576805696847,0.00835306146117306,0.009748116837453734
llava_1_5_7b,all,ovir,20,1966,1966,-0.00011466461216805175,-0.0005698499897646148,0.4735503560528993,-0.0005611407773929523,0.00032247417810026235
llava_1_5_7b,all,ovir,21,1966,1966,0.002467984892031782,0.002087919186530174,0.603763987792472,0.0020516966575692395,0.0028697906115096043
llava_1_5_7b,all,ovir,22,1966,1966,0.003209555526328781,0.002755192176966348,0.7238046795523907,0.0029320834203947154,0.003505103315579911
llava_1_5_7b,all,ovir,23,1966,1966,0.002564671637110672,0.0017388635549959175,0.6892166836215666,0.002119896738504642,0.0030465908154601092
llava_1_5_7b,all,ovir,24,1966,1966,0.001177675116791006,0.0013679690801269295,0.7044760935910478,0.0008509588640829549,0.0014879551581125795
llava_1_5_7b,all,ovir,25,1966,1966,0.001841169377848962,0.0014505309178312609,0.645473041709054,0.0014170595363679431,0.002282086687963206
llava_1_5_7b,all,ovir,26,1966,1966,0.0027277601093662596,0.0015196614002002673,0.615971515768057,0.001822271339013817,0.0036284950363689433
llava_1_5_7b,all,ovir,27,1966,1966,-0.00036691216679637294,0.00024508683671603526,0.5198372329603256,-0.0008548733396035211,0.00010221685278405779
llava_1_5_7b,all,ovir,28,1966,1966,-0.00024989996285328233,-0.00023316926911781666,0.47863682604272634,-0.0004621304446533361,-3.8045594627622754e-05
llava_1_5_7b,all,ovir,29,1966,1966,0.002062342959565675,0.00015611267151532937,0.5116988809766022,0.0014354166892051837,0.0027509542140018886
llava_1_5_7b,all,ovir,30,1966,1966,0.0018918538468429074,0.0016249342203127348,0.5966429298067142,0.0012966029699114964,0.0025131715521388193
llava_1_5_7b,all,ovir,31,1966,1966,0.0006288299581160263,0.00038476677363208367,0.5284842319430315,0.0003727978445413065,0.0008843212631263896
llava_1_5_7b,all,ovir,32,1966,1966,-0.011755693048160746,-0.00984511438917246,0.4501525940996948,-0.015315675454998184,-0.007983520630579556
llava_1_5_7b,train,ovir,1,1567,1567,-0.00893728509523443,-0.009873608103839526,0.43650287172941926,-0.011947869378794456,-0.005716207782142659
llava_1_5_7b,train,ovir,2,1567,1567,0.002945965840604604,0.0030544076676770615,0.5373324824505424,0.0013186069983688647,0.004565620733999534
llava_1_5_7b,train,ovir,3,1567,1567,0.0019116542659653904,0.0026635356082314043,0.5469049138481175,0.0007086559065373515,0.0030658614130778137
llava_1_5_7b,train,ovir,4,1567,1567,0.011550878171069544,0.01225990103173158,0.6502871729419273,0.009788637949888745,0.013356087298359721
llava_1_5_7b,train,ovir,5,1567,1567,0.0010804116824139837,-0.0008993190704300602,0.4837268666241225,-1.849678287704755e-05,0.0021988110276733456
llava_1_5_7b,train,ovir,6,1567,1567,-0.008627093704912632,-0.010091444469946365,0.35545628589661776,-0.009996930695775577,-0.007209981795158699
llava_1_5_7b,train,ovir,7,1567,1567,-0.013697135372755092,-0.016899467344606567,0.3178047223994895,-0.015421265727199856,-0.01199990612986564
llava_1_5_7b,train,ovir,8,1567,1567,-0.008636346871815068,-0.01131911953202469,0.37332482450542437,-0.010461905676488008,-0.006767250266661271
llava_1_5_7b,train,ovir,9,1567,1567,-0.02189767307635882,-0.023374556506089883,0.28972559029993616,-0.024356845493644058,-0.01941422705156068
llava_1_5_7b,train,ovir,10,1567,1567,-0.0033913416056734454,-0.005777351854949875,0.400765794511806,-0.004673881155895092,-0.0020468611681114307
llava_1_5_7b,train,ovir,11,1567,1567,-0.010656702981957514,-0.011258212720311689,0.34779834077855776,-0.012183274996768629,-0.009197188558848705
llava_1_5_7b,train,ovir,12,1567,1567,0.026469614643310123,0.024220692391971888,0.7389917038927888,0.024454808321883462,0.028655162372954693
llava_1_5_7b,train,ovir,13,1567,1567,0.0019854689169827135,0.000254979536880362,0.5015954052329291,0.0005556078095715918,0.003463092041279022
llava_1_5_7b,train,ovir,14,1567,1567,0.0004974516050639256,-0.0008175588505831,0.48755583918315254,-0.0008002803928713972,0.001780173606788974
llava_1_5_7b,train,ovir,15,1567,1567,0.017116498085841075,0.014565820214761493,0.7077217613273772,0.015656145771384727,0.018670764580960068
llava_1_5_7b,train,ovir,16,1567,1567,0.008037490321393193,0.007058656769984517,0.606892150606254,0.00675434275050775,0.009367739430338928
llava_1_5_7b,train,ovir,17,1567,1567,-0.0024349629962088252,-0.00468733784380837,0.4097000638162093,-0.0035345753227316503,-0.0014905288931363991
llava_1_5_7b,train,ovir,18,1567,1567,-0.0005913227217912938,-0.002058320166430261,0.4505424377791959,-0.0014654769726746605,0.0002704463003773971
llava_1_5_7b,train,ovir,19,1567,1567,0.008940281489007364,0.007690080116471654,0.7128270580727505,0.008162863214188583,0.0096931690871292
llava_1_5_7b,train,ovir,20,1567,1567,5.184071404310088e-05,-0.0004926931997312201,0.4773452456924059,-0.0004318819455332102,0.0005344368497607749
llava_1_5_7b,train,ovir,21,1567,1567,0.0025215885919880805,0.002151759578549406,0.601148691767709,0.0020722866866768764,0.0029238682505888765
llava_1_5_7b,train,ovir,22,1567,1567,0.0030685330860134924,0.0026589363570682645,0.7153797064454371,0.002760850316120902,0.003383707511863466
llava_1_5_7b,train,ovir,23,1567,1567,0.0025656083597673986,0.0016884925279582186,0.6853860880663688,0.0020402934626224402,0.003131694585777692
llava_1_5_7b,train,ovir,24,1567,1567,0.0013251036026295246,0.0014466225563046775,0.7109125717932355,0.0010025826657998594,0.0016596061516597432
llava_1_5_7b,train,ovir,25,1567,1567,0.0019702682293076075,0.0014305158969077914,0.6490108487555839,0.0015058451412833097,0.0024400596807008577
llava_1_5_7b,train,ovir,26,1567,1567,0.0026673598777986213,0.0015077171625933472,0.6158264199106573,0.0016359406211730774,0.0036570383437213748
llava_1_5_7b,train,ovir,27,1567,1567,-0.0004047596831188338,0.0001977540537092537,0.5175494575622208,-0.0009651114701546515,0.00016019049958804202
llava_1_5_7b,train,ovir,28,1567,1567,-0.00033002898001588025,-0.00030796419789080876,0.4716017868538609,-0.0005703616190948244,-9.660300084594896e-05
llava_1_5_7b,train,ovir,29,1567,1567,0.001989030978997373,0.0001900487861177247,0.5124441608168475,0.0012988741060777948,0.0026831631334509496
llava_1_5_7b,train,ovir,30,1567,1567,0.0018582223090572762,0.0015395316962423244,0.5902999361837907,0.0011383685558593582,0.0025283349778765425
llava_1_5_7b,train,ovir,31,1567,1567,0.0006700093661274473,0.00040398032552757535,0.5341416719846841,0.0003703118561211838,0.000980978010122602
llava_1_5_7b,train,ovir,32,1567,1567,-0.01220250732483969,-0.010303833323371814,0.4467134652201659,-0.016195581518281682,-0.008229195209834665
llava_1_5_7b,validation,ovir,1,212,212,-0.012322831232151516,-0.008111077011342172,0.4339622641509434,-0.020400709371233963,-0.004591824574911432
llava_1_5_7b,validation,ovir,2,212,212,0.0017373506514053202,0.0005373996440166118,0.5094339622641509,-0.0025864508504308587,0.00609938388190054
llava_1_5_7b,validation,ovir,3,212,212,0.0024352399002574025,0.005167944052571705,0.5849056603773585,-0.00021587951369357922,0.0052239836622253585
llava_1_5_7b,validation,ovir,4,212,212,0.01372560800170594,0.012709009396611681,0.6320754716981132,0.008873335067010598,0.018806509031447777
llava_1_5_7b,validation,ovir,5,212,212,2.8549226545080744e-05,-0.0009890612148694133,0.47641509433962265,-0.0027240875417750545,0.0028365948105019915
llava_1_5_7b,validation,ovir,6,212,212,-0.007824434218428539,-0.007946643243553986,0.3632075471698113,-0.011565351363813982,-0.003924966267212086
llava_1_5_7b,validation,ovir,7,212,212,-0.014552992920630099,-0.016741151042531932,0.29245283018867924,-0.018840251087604398,-0.009858334688701993
llava_1_5_7b,validation,ovir,8,212,212,-0.010544655239611072,-0.012077814896033823,0.3584905660377358,-0.014984526870884035,-0.005821415709006666
llava_1_5_7b,validation,ovir,9,212,212,-0.022166240968458595,-0.02454693620378179,0.2641509433962264,-0.028123894593818324,-0.01565235093455361
llava_1_5_7b,validation,ovir,10,212,212,-0.005091379488238147,-0.006430557287632976,0.3490566037735849,-0.008483078838440137,-0.0016142924122331654
llava_1_5_7b,validation,ovir,11,212,212,-0.01335904001870878,-0.014527058683407701,0.2971698113207547,-0.01757398660275315,-0.00909121329367176
llava_1_5_7b,validation,ovir,12,212,212,0.026719800899282293,0.02388313339009346,0.7216981132075472,0.020555422861520223,0.03275749275054489
llava_1_5_7b,validation,ovir,13,212,212,0.002253320523607405,0.004824905972320381,0.5707547169811321,-0.0013979838730847829,0.006015252985634082
llava_1_5_7b,validation,ovir,14,212,212,-0.0012637402585566708,-0.004085077596038766,0.419811320754717,-0.0045171749823432845,0.0017388536716141814
llava_1_5_7b,validation,ovir,15,212,212,0.018511500995071112,0.015879494546025108,0.6981132075471698,0.013931704135829455,0.02335904440226512
llava_1_5_7b,validation,ovir,16,212,212,0.007011112844433248,0.005292546844224477,0.6084905660377359,0.003354371185159825,0.01067272052879976
llava_1_5_7b,validation,ovir,17,212,212,-0.004847089670294311,-0.00738577051824868,0.35377358490566035,-0.007575857799070522,-0.0021439049037402388
llava_1_5_7b,validation,ovir,18,212,212,-0.00196361485543743,-0.0027492332533995967,0.4481132075471698,-0.004291274154654315,0.0002486906333001419
llava_1_5_7b,validation,ovir,19,212,212,0.00919363348739567,0.008998285940242878,0.7452830188679245,0.007111677776160883,0.011322596272922097
llava_1_5_7b,validation,ovir,20,212,212,-0.0012062033795007254,-0.0011849216115421557,0.4481132075471698,-0.0026050401831953776,0.00018931513588333853
llava_1_5_7b,validation,ovir,21,212,212,0.0019286168336470088,0.001335591173258377,0.5990566037735849,0.0006748180313711247,0.0031699297128845814
llava_1_5_7b,validation,ovir,22,212,212,0.00339253139381685,0.002867096621679166,0.7641509433962265,0.002647325469426235,0.004208621651237505
llava_1_5_7b,validation,ovir,23,212,212,0.0025826941262095016,0.0017888073880406585,0.6886792452830188,0.001625974345166443,0.0035997405487784894
llava_1_5_7b,validation,ovir,24,212,212,0.00032056398735575233,0.0010175437290331768,0.6556603773584906,-0.001218856917539409,0.0014449618364652946
llava_1_5_7b,validation,ovir,25,212,212,0.0013368576040478637,0.0014398254104839303,0.6273584905660378,6.448792966424448e-05,0.00261135688084183
llava_1_5_7b,validation,ovir,26,212,212,0.00348097564679396,0.0016542768486941806,0.6320754716981132,0.000970830168252691,0.006253984234193175
llava_1_5_7b,validation,ovir,27,212,212,-0.0005496146298862324,0.0003117419397617449,0.5235849056603774,-0.0017763063325260627,0.000813027225282069
llava_1_5_7b,validation,ovir,28,212,212,-6.747749625548247e-05,1.1043769843066542e-06,0.5,-0.0007616429779883215,0.0005946841536719192
llava_1_5_7b,validation,ovir,29,212,212,0.002373984361335442,8.999262794312513e-05,0.5047169811320755,0.0003729884097413759,0.00453773654228263
