model,scope,metric,label,layer,total,valid,undefined,mean,q25,median,q75
llava_1_5_7b,all,ovir,REAL,1,11954,11954,0,0.8115484396817566,0.7613023027268672,0.8289296402566331,0.8644740620183777
llava_1_5_7b,all,ovir,REAL,2,11954,11954,0,0.9309613971071183,0.8961958517519868,0.9373382130865169,0.9627277606291718
llava_1_5_7b,all,ovir,REAL,3,11954,11954,0,0.9393119953825647,0.9234359106647249,0.9402929223785446,0.9568582232370252
llava_1_5_7b,all,ovir,REAL,4,11954,11954,0,0.9185882605463696,0.8941081894653132,0.9170765046244476,0.9447339730776677
llava_1_5_7b,all,ovir,REAL,5,11954,11954,0,0.8765424590691061,0.8617980623845453,0.8739882746285499,0.8891418258255357
llava_1_5_7b,all,ovir,REAL,6,11954,11954,0,0.8343964865886474,0.8148118037703634,0.8341340204714354,0.8524258432574205
llava_1_5_7b,all,ovir,REAL,7,11954,11954,0,0.7936116491737041,0.7692592142661765,0.793039095538783,0.8163239669661533
llava_1_5_7b,all,ovir,REAL,8,11954,11954,0,0.7951644461078083,0.7674095260233348,0.7929733527665968,0.8182727831072466
llava_1_5_7b,all,ovir,REAL,9,11954,11954,0,0.8160547615170225,0.7766771215221603,0.8034578473813022,0.8487507233614373
llava_1_5_7b,all,ovir,REAL,10,11954,11954,0,0.7890252110931602,0.7699297272500941,0.7845635754717566,0.802431790786694
llava_1_5_7b,all,ovir,REAL,11,11954,11954,0,0.7896143540319721,0.766430170585616,0.7860860692547591,0.8097231615831856
llava_1_5_7b,all,ovir,REAL,12,11954,11954,0,0.8340815325936332,0.8013143493037167,0.8302835163582698,0.8607197401892719
llava_1_5_7b,all,ovir,REAL,13,11954,11954,0,0.8071441159294253,0.7852058720240047,0.8066821216710257,0.8274351501133955
llava_1_5_7b,all,ovir,REAL,14,11954,11954,0,0.7785742044356108,0.7587633781496089,0.7766175192809686,0.7960565449446739
llava_1_5_7b,all,ovir,REAL,15,11954,11954,0,0.88138801316493,0.860227225270115,0.880546945660631,0.9007515893114858
llava_1_5_7b,all,ovir,REAL,16,11954,11954,0,0.8499337253599516,0.8326600940781811,0.8485435225140237,0.8655514244819357
llava_1_5_7b,all,ovir,REAL,17,11954,11954,0,0.8777336686284862,0.8650274791151211,0.8772933640767644,0.8896818959803574
llava_1_5_7b,all,ovir,REAL,18,11954,11954,0,0.9126664385969172,0.9017232425506813,0.9122744996410712,0.9229531860628353
llava_1_5_7b,all,ovir,REAL,19,11954,11954,0,0.9503655509889066,0.9411788030089856,0.951226947844131,0.9611367181967089
llava_1_5_7b,all,ovir,REAL,20,11954,11954,0,0.9630367006379777,0.957533190811001,0.9633856051258098,0.9691894801059469
llava_1_5_7b,all,ovir,REAL,21,11954,11954,0,0.9693119966759266,0.9638979530141463,0.9694092665293979,0.9749726867543528
llava_1_5_7b,all,ovir,REAL,22,11954,11954,0,0.9804884008076642,0.9775475837618951,0.9814288632432797,0.9850626914707962
llava_1_5_7b,all,ovir,REAL,23,11954,11954,0,0.9878874555011936,0.9864846495718471,0.9901060726086495,0.992735796021477
llava_1_5_7b,all,ovir,REAL,24,11954,11954,0,0.9915552468903813,0.9905770421071236,0.992954466645787,0.9948466175258639
llava_1_5_7b,all,ovir,REAL,25,11954,11954,0,0.9886137056254678,0.9873162200005359,0.9909745670204122,0.9935323076168203
llava_1_5_7b,all,ovir,REAL,26,11954,11954,0,0.9848479536853814,0.9854243565283318,0.9912520770352026,0.9945167991487562
llava_1_5_7b,all,ovir,REAL,27,11954,11954,0,0.9888191885882202,0.9879731165059321,0.9920313223154696,0.9944227440410406
llava_1_5_7b,all,ovir,REAL,28,11954,11954,0,0.9904160399855582,0.987242500334094,0.9915963574452451,0.9949384281274309
llava_1_5_7b,all,ovir,REAL,29,11954,11954,0,0.9831437561479492,0.980887057128456,0.9865780058017131,0.9913420244170223
llava_1_5_7b,all,ovir,REAL,30,11954,11954,0,0.9819735393232756,0.9793957612802979,0.9851643357232666,0.9898825006856671
llava_1_5_7b,all,ovir,REAL,31,11954,11954,0,0.986387842013459,0.9830635643926056,0.9872690843929293,0.9907934995928867
llava_1_5_7b,all,ovir,REAL,32,11954,11954,0,0.724285338501139,0.6519258232967885,0.7171561495183882,0.7824437568292194
llava_1_5_7b,all,ovir,HALL,1,3464,3464,0,0.8032741031155066,0.7527015262185944,0.7870598181921545,0.8607488413649952
llava_1_5_7b,all,ovir,HALL,2,3464,3464,0,0.9337720042741265,0.9166088412157861,0.9280739781180547,0.961267444933659
llava_1_5_7b,all,ovir,HALL,3,3464,3464,0,0.9406958288673698,0.9223136002402327,0.9399900838538601,0.9640993815886699
llava_1_5_7b,all,ovir,HALL,4,3464,3464,0,0.9299312135470703,0.9023311893302577,0.9353572805401396,0.9619997626052235
llava_1_5_7b,all,ovir,HALL,5,3464,3464,0,0.8753363442086853,0.8592634243199291,0.8729411214465219,0.8885856309730995
llava_1_5_7b,all,ovir,HALL,6,3464,3464,0,0.8250291676480922,0.8050672775309883,0.8229104438883105,0.8429263732627098
llava_1_5_7b,all,ovir,HALL,7,3464,3464,0,0.7783014968845557,0.7549826056968331,0.7732896959754612,0.796653359349343
llava_1_5_7b,all,ovir,HALL,8,3464,3464,0,0.7826058081779987,0.7595662304679398,0.7776197900036262,0.798566387922562
llava_1_5_7b,all,ovir,HALL,9,3464,3464,0,0.7914286320420236,0.7676608505466076,0.7809312843324157,0.8014353043713762
llava_1_5_7b,all,ovir,HALL,10,3464,3464,0,0.7836705865969998,0.7688288118432258,0.7793427161508355,0.7910157651215689
llava_1_5_7b,all,ovir,HALL,11,3464,3464,0,0.7771508195016232,0.7590749227649984,0.7738998273180488,0.7912602591416796
llava_1_5_7b,all,ovir,HALL,12,3464,3464,0,0.858296018575127,0.8302013052600534,0.8551896857604957,0.8829115271148578
llava_1_5_7b,all,ovir,HALL,13,3464,3464,0,0.8065372588566291,0.7881974872953457,0.8047426126931245,0.8228627246306892
llava_1_5_7b,all,ovir,HALL,14,3464,3464,0,0.7753009195166352,0.758289687704776,0.7739626558808808,0.789802597530023
llava_1_5_7b,all,ovir,HALL,15,3464,3464,0,0.8964476969664925,0.8778125463694562,0.8952581995099477,0.9133261881800679
llava_1_5_7b,all,ovir,HALL,16,3464,3464,0,0.8543630428756145,0.8379423924240899,0.8545530574630159,0.8697306160995362
