model,scope,metric,label,layer,total,valid,undefined,mean,q25,median,q75
qwen2_5_vl_7b,all,ovir,REAL,1,7801,7801,0,0.9734257582812723,0.9670138242013622,0.9762729477850426,0.9837677600580425
qwen2_5_vl_7b,all,ovir,REAL,2,7801,7801,0,0.9737109866946065,0.9693550203263713,0.9762752842014962,0.9823335446807973
qwen2_5_vl_7b,all,ovir,REAL,3,7801,7801,0,0.9290984267110051,0.9112196854096561,0.9277548527327717,0.9452918678439435
qwen2_5_vl_7b,all,ovir,REAL,4,7801,7801,0,0.9124294520872529,0.8888753938276555,0.9061409165425508,0.9304813054971232
qwen2_5_vl_7b,all,ovir,REAL,5,7801,7801,0,0.8892644375882969,0.8693684247791745,0.8846353360640954,0.9066858985359455
qwen2_5_vl_7b,all,ovir,REAL,6,7801,7801,0,0.848118217900236,0.8155070032204577,0.8415972000627935,0.8753075738371466
qwen2_5_vl_7b,all,ovir,REAL,7,7801,7801,0,0.8161012645156089,0.7827714497351794,0.8105886687602422,0.8488144940823416
qwen2_5_vl_7b,all,ovir,REAL,8,7801,7801,0,0.7233040681891375,0.6786703056678491,0.7118584395087267,0.7565301864333163
qwen2_5_vl_7b,all,ovir,REAL,9,7801,7801,0,0.8382631126678847,0.7996458532369431,0.8306256620776228,0.8717707045656964
qwen2_5_vl_7b,all,ovir,REAL,10,7801,7801,0,0.6214733794834321,0.5561099830203476,0.6004056847960012,0.679152577702843
qwen2_5_vl_7b,all,ovir,REAL,11,7801,7801,0,0.723892814907884,0.6796888415553604,0.715436007476515,0.7606770788109836
qwen2_5_vl_7b,all,ovir,REAL,12,7801,7801,0,0.7887213368457489,0.7605103780472316,0.783195386703807,0.812449893089705
qwen2_5_vl_7b,all,ovir,REAL,13,7801,7801,0,0.7907626411585381,0.7515802467144334,0.7895109700381618,0.8235267557858209
qwen2_5_vl_7b,all,ovir,REAL,14,7801,7801,0,0.6875667964629684,0.6570090232637832,0.686996022291895,0.7179464912549552
qwen2_5_vl_7b,all,ovir,REAL,15,7801,7801,0,0.8392329082379351,0.8113570691882416,0.8363119946291235,0.8650660625623733
qwen2_5_vl_7b,all,ovir,REAL,16,7801,7801,0,0.8414508568852879,0.8130903053370641,0.8336757069017424,0.8668798730119119
qwen2_5_vl_7b,all,ovir,REAL,17,7801,7801,0,0.8600071666422529,0.842523614855573,0.8603736778974345,0.8790468823399581
qwen2_5_vl_7b,all,ovir,REAL,18,7801,7801,0,0.8610007577959218,0.8406135579510303,0.8598099717256971,0.8791931187003745
qwen2_5_vl_7b,all,ovir,REAL,19,7801,7801,0,0.8983403340449458,0.8832281182614856,0.89801557400672,0.9131308967341911
qwen2_5_vl_7b,all,ovir,REAL,20,7801,7801,0,0.9432379602830652,0.9339446731270294,0.9453984875002491,0.9547198694918805
qwen2_5_vl_7b,all,ovir,REAL,21,7801,7801,0,0.9587841290038225,0.9516558778256335,0.9598335994508401,0.9670153336871127
qwen2_5_vl_7b,all,ovir,REAL,22,7801,7801,0,0.9742709248057686,0.9693842520362246,0.9747267492745586,0.9800074945650739
qwen2_5_vl_7b,all,ovir,REAL,23,7801,7801,0,0.9831308532817878,0.9786020964210396,0.9838056424879889,0.9883166731893759
qwen2_5_vl_7b,all,ovir,REAL,24,7801,7801,0,0.9841856017362397,0.9801147116716462,0.9846119349902391,0.9887218609247047
qwen2_5_vl_7b,all,ovir,REAL,25,7801,7801,0,0.9869229637068059,0.983346539430703,0.9879036546966463,0.9916763990595341
qwen2_5_vl_7b,all,ovir,REAL,26,7801,7801,0,0.9866500148847992,0.9826156689731426,0.9886966195688927,0.9927324940214626
qwen2_5_vl_7b,all,ovir,REAL,27,7801,7801,0,0.9748559305886091,0.9682526498895703,0.9764300528253147,0.983170641223042
qwen2_5_vl_7b,all,ovir,REAL,28,7801,7801,0,0.903791799051148,0.8624176883562675,0.9286563326081492,0.9630274358032708
qwen2_5_vl_7b,all,ovir,HALL,1,916,916,0,0.9749007585031702,0.9708482939208327,0.979202673972828,0.9856374752820534
qwen2_5_vl_7b,all,ovir,HALL,2,916,916,0,0.9764093154326171,0.9721693198838961,0.9789651784516034,0.9847156555903419
