model,scope,metric,layer,mixed_images,valid,mean_H_minus_R,median_H_minus_R,fraction_H_gt_R,ci95_low,ci95_high
qwen3_vl_8b,all,ovir,1,1731,1731,-0.004026533595285967,0.0018216364708700805,0.5522819179664934,-0.005980839521053797,-0.002111405067497327
qwen3_vl_8b,all,ovir,2,1731,1731,-0.004170215974271936,-0.0012897061262364673,0.4737146158290006,-0.005823897698885685,-0.002640651191554345
qwen3_vl_8b,all,ovir,3,1731,1731,-0.01097989117393025,-0.007996422432236083,0.391103408434431,-0.01272186392687114,-0.009300718402129735
qwen3_vl_8b,all,ovir,4,1731,1731,-0.006362976750802107,-0.007508646749064818,0.3876372039283651,-0.007671536017074854,-0.005037775762168669
qwen3_vl_8b,all,ovir,5,1731,1731,-0.011994072674459857,-0.009700807463160488,0.38186019641825536,-0.013886828758792302,-0.010061253224180467
qwen3_vl_8b,all,ovir,6,1731,1731,-0.009349740544918193,-0.00824653116444718,0.3731946851530907,-0.010769467108301468,-0.007989328319536453
qwen3_vl_8b,all,ovir,7,1731,1731,-0.0027088820793378546,-0.001036978236507613,0.48931253610629694,-0.004584075257441072,-0.000865966609882107
qwen3_vl_8b,all,ovir,8,1731,1731,0.0030044772609952933,0.003195678696696569,0.5465049104563836,0.0016362050457041839,0.004406412148169817
qwen3_vl_8b,all,ovir,9,1731,1731,0.0008518085871818798,4.791305857865247e-05,0.5008665511265165,-0.0008856723837103426,0.002675215780339067
qwen3_vl_8b,all,ovir,10,1731,1731,-0.004591946068066534,-0.0027141084180458686,0.49162333911034084,-0.009356294660219278,0.00019881010645865648
qwen3_vl_8b,all,ovir,11,1731,1731,-0.01517903772111119,-0.018002825735711325,0.4038128249566724,-0.018859092616655436,-0.011414624096661826
qwen3_vl_8b,all,ovir,12,1731,1731,-0.004171656976030046,-0.0033070725682652347,0.48353552859618715,-0.008089678228062745,-1.2121187561067678e-05
qwen3_vl_8b,all,ovir,13,1731,1731,0.006048630850243832,0.007812188659671815,0.5470826112073945,0.0032890372740101616,0.008950463426771213
qwen3_vl_8b,all,ovir,14,1731,1731,0.0009207520432847693,-0.0006696999789421731,0.49451184286539573,-0.0014208140147250223,0.0034553130491561117
qwen3_vl_8b,all,ovir,15,1731,1731,-0.007781940912599263,-0.008025068338749608,0.42287694974003465,-0.01007316549156488,-0.005460831840354972
qwen3_vl_8b,all,ovir,16,1731,1731,-0.00016258949298116645,-0.0010200463059278908,0.4898902368573079,-0.003123256027622184,0.002899086880923925
qwen3_vl_8b,all,ovir,17,1731,1731,-0.0028705007495723905,-0.003346325245454751,0.4621606008087811,-0.0047196051900290845,-0.0009845146935141878
qwen3_vl_8b,all,ovir,18,1731,1731,0.00023443026265948438,0.0006037548723882846,0.5066435586366262,-0.0013751965381300993,0.0018005308924307635
qwen3_vl_8b,all,ovir,19,1731,1731,0.006941308784583978,0.006464456282349373,0.6013864818024264,0.005595244717943523,0.008213223319343065
qwen3_vl_8b,all,ovir,20,1731,1731,-0.002878311208261848,-0.003987267730728439,0.45291738879260546,-0.0042632583446776656,-0.0015037150287397836
qwen3_vl_8b,all,ovir,21,1731,1731,-0.0029176705970087734,-0.0007893403311753922,0.4852686308492201,-0.004253275072390442,-0.0016557508073128317
qwen3_vl_8b,all,ovir,22,1731,1731,0.0002599486112904335,-0.00039332745088882515,0.4898902368573079,-0.0006660964136533024,0.00116907301942403
qwen3_vl_8b,all,ovir,23,1731,1731,0.0009414343368948656,0.0013815940849469799,0.5389948006932409,2.4433338785147164e-05,0.0018552213887764457
qwen3_vl_8b,all,ovir,24,1731,1731,0.0034866019918218093,0.0032526341981958806,0.5956094742923166,0.002755480253876338,0.004209849796106315
qwen3_vl_8b,all,ovir,25,1731,1731,0.004817458086264964,0.004871378259338921,0.7175043327556326,0.004398613688295964,0.0052508891474879645
qwen3_vl_8b,all,ovir,26,1731,1731,-0.0017126104889532297,-1.3796183865877332e-05,0.49971114962449453,-0.0023692454862133346,-0.0010723954472584714
qwen3_vl_8b,all,ovir,27,1731,1731,0.0031485932712924675,0.003115771682519086,0.729636048526863,0.002882250010214735,0.003401103792235397
qwen3_vl_8b,all,ovir,28,1731,1731,-0.0014562535950106723,-0.0003372441525436587,0.48353552859618715,-0.0019528095360086138,-0.0009399904632521392
qwen3_vl_8b,all,ovir,29,1731,1731,-0.0013086341475587536,-0.00023550447404685482,0.4846909300982091,-0.0016587906302352633,-0.0009671592079155625
qwen3_vl_8b,all,ovir,30,1731,1731,0.0013255826535390398,0.0016252676497849894,0.6129404968226458,0.0009304355721344743,0.0016986972091292863
qwen3_vl_8b,all,ovir,31,1731,1731,0.0011856789949850181,0.0013291668407968693,0.6556903523974581,0.0009757265868285694,0.0013799160029810053
qwen3_vl_8b,all,ovir,32,1731,1731,0.0032799887759104402,0.0025738000833614993,0.7463893703061814,0.0030215245555555983,0.0035590947949920623
qwen3_vl_8b,all,ovir,33,1731,1731,0.001777140507938473,0.001645027496627871,0.6747544771808204,0.0014710160572466143,0.002080426001143341
qwen3_vl_8b,all,ovir,34,1731,1731,0.001385779584997654,0.001561004029148716,0.6204506065857885,0.0009267221253873887,0.0018634364943618073
qwen3_vl_8b,all,ovir,35,1731,1731,-0.001186017195987129,0.0028975278207855615,0.5805892547660312,-0.002252449608523625,-0.00016606073844545378
qwen3_vl_8b,all,ovir,36,1731,1731,-0.02093975080852591,-0.02960352357448881,0.4246100519930676,-0.029781910628990875,-0.011776482746046039
qwen3_vl_8b,train,ovir,1,1386,1386,-0.0041153486941683335,0.0018370013773213456,0.5526695526695526,-0.0062465212434285634,-0.0019117358031743214
qwen3_vl_8b,train,ovir,2,1386,1386,-0.004116386858316446,-0.0012475903095395813,0.4733044733044733,-0.005931293391491378,-0.0024132916309725404
qwen3_vl_8b,train,ovir,3,1386,1386,-0.010821625718990383,-0.007885588559056134,0.3924963924963925,-0.012655961544286285,-0.009027607944999887
qwen3_vl_8b,train,ovir,4,1386,1386,-0.006367483289311712,-0.006962401103432103,0.3924963924963925,-0.007715495873019051,-0.00493694101626628
qwen3_vl_8b,train,ovir,5,1386,1386,-0.011595029980027328,-0.009632487706071391,0.3888888888888889,-0.01376181595427234,-0.009429985833969597
qwen3_vl_8b,train,ovir,6,1386,1386,-0.009364764560293982,-0.008342040019799102,0.37445887445887444,-0.010826172646482153,-0.007894159695624068
qwen3_vl_8b,train,ovir,7,1386,1386,-0.0034691056197783685,-0.001649028480051662,0.4797979797979798,-0.005488944492217946,-0.001492886686827205
