model,scope,metric,label,layer,total,valid,undefined,mean,q25,median,q75
qwen3_vl_8b,all,ovir,REAL,1,12278,12278,0,0.9715112767130938,0.9600873332074812,0.9854985544867774,0.9901800817208952
qwen3_vl_8b,all,ovir,REAL,2,12278,12278,0,0.9682441784231217,0.9617749656499335,0.9768075878538711,0.9860959609357208
qwen3_vl_8b,all,ovir,REAL,3,12278,12278,0,0.9503984142902828,0.9373004713512331,0.9559422656152659,0.9711682795294718
qwen3_vl_8b,all,ovir,REAL,4,12278,12278,0,0.9480060687257305,0.9284446531469615,0.9454759541908606,0.9692004302553032
qwen3_vl_8b,all,ovir,REAL,5,12278,12278,0,0.9311857750372299,0.9180785419731855,0.9375014844737031,0.9513705481220466
qwen3_vl_8b,all,ovir,REAL,6,12278,12278,0,0.9224597092378353,0.9057664186760352,0.9234048898316118,0.9389533360006161
qwen3_vl_8b,all,ovir,REAL,7,12278,12278,0,0.8788133746322749,0.8544064208858404,0.878525394367244,0.9024789061345704
qwen3_vl_8b,all,ovir,REAL,8,12278,12278,0,0.8632885031948042,0.8434240195195792,0.86033437478688,0.8787562716040282
qwen3_vl_8b,all,ovir,REAL,9,12278,12278,0,0.867583629025169,0.846314069399137,0.8673598146051723,0.8905167692129893
qwen3_vl_8b,all,ovir,REAL,10,12278,12278,0,0.7606056773817089,0.6758855787322247,0.7545433036648688,0.8440901721111136
qwen3_vl_8b,all,ovir,REAL,11,12278,12278,0,0.682390426173679,0.6306929786495207,0.6667791771861966,0.7243055134318817
qwen3_vl_8b,all,ovir,REAL,12,12278,12278,0,0.7553444514038262,0.6884386606413329,0.7531848676153883,0.8148595774412734
qwen3_vl_8b,all,ovir,REAL,13,12278,12278,0,0.7877983251515919,0.7417499466309437,0.7752578753610686,0.8237505006109377
qwen3_vl_8b,all,ovir,REAL,14,12278,12278,0,0.853517359388463,0.8164672686187983,0.851626952334866,0.8883107769208867
qwen3_vl_8b,all,ovir,REAL,15,12278,12278,0,0.7984050354345889,0.7657331071164821,0.7923555413610548,0.8267142877239105
qwen3_vl_8b,all,ovir,REAL,16,12278,12278,0,0.8303402852290348,0.7931683759563337,0.825780503072845,0.8658357002615081
qwen3_vl_8b,all,ovir,REAL,17,12278,12278,0,0.758114844722104,0.7348575150913086,0.7571699158595824,0.7797803570392045
qwen3_vl_8b,all,ovir,REAL,18,12278,12278,0,0.8427651186512832,0.8243954120866732,0.8410171541484328,0.859510494148821
qwen3_vl_8b,all,ovir,REAL,19,12278,12278,0,0.8597178764266126,0.8446779827665579,0.8594232931817569,0.8743957621098812
qwen3_vl_8b,all,ovir,REAL,20,12278,12278,0,0.8686644348188063,0.8512146712974409,0.8689025909414199,0.8850868796872448
qwen3_vl_8b,all,ovir,REAL,21,12278,12278,0,0.9133756164380049,0.9011290472664117,0.9140498239567296,0.9266758017517628
qwen3_vl_8b,all,ovir,REAL,22,12278,12278,0,0.9349364690193922,0.9244867464640902,0.9356938423040986,0.9462158533232259
qwen3_vl_8b,all,ovir,REAL,23,12278,12278,0,0.93451818881412,0.9238523119676493,0.9353446222130897,0.9465830419095743
qwen3_vl_8b,all,ovir,REAL,24,12278,12278,0,0.9539379325085883,0.9461631065122386,0.9537742967026726,0.9615524754743894
qwen3_vl_8b,all,ovir,REAL,25,12278,12278,0,0.9752219819861022,0.9692042171372157,0.9755929989063195,0.9812579683389728
qwen3_vl_8b,all,ovir,REAL,26,12278,12278,0,0.9837664396139686,0.9804387526070224,0.984591453126611,0.9883139403522682
qwen3_vl_8b,all,ovir,REAL,27,12278,12278,0,0.9859555284791778,0.9826405797617994,0.9864115004715797,0.9898240092996486
qwen3_vl_8b,all,ovir,REAL,28,12278,12278,0,0.9825729601527372,0.9784013044908277,0.9837724500343261,0.9880371371871636
qwen3_vl_8b,all,ovir,REAL,29,12278,12278,0,0.9911134060722392,0.9887508215456159,0.991712047192678,0.994306123783264
qwen3_vl_8b,all,ovir,REAL,30,12278,12278,0,0.988715450959274,0.985949423335957,0.9901916603614287,0.9933753679521486
qwen3_vl_8b,all,ovir,REAL,31,12278,12278,0,0.9931403616281039,0.9910376850585709,0.9936469481356351,0.996021365656472
qwen3_vl_8b,all,ovir,REAL,32,12278,12278,0,0.9919490957093631,0.9897216549347797,0.9946983164573489,0.9970183326222628
qwen3_vl_8b,all,ovir,REAL,33,12278,12278,0,0.9927128767578384,0.9913416545221988,0.9948299892918435,0.9967376151476657
qwen3_vl_8b,all,ovir,REAL,34,12278,12278,0,0.9881171594775097,0.9873766157829603,0.9916180572561333,0.9941853835406689
qwen3_vl_8b,all,ovir,REAL,35,12278,12278,0,0.9787722190995863,0.9730567047104745,0.9840329517398678,0.9906749501803548
