model,family,scale,group,label,layer,n,mean,median,q25,q75
minigpt4_7b,attention,raw,prompt,0,1,1676,0.29369675047553384,0.26186490058898926,0.20578281953930855,0.3604666590690613
minigpt4_7b,attention,raw,prompt,0,2,1676,0.2968189057878492,0.2805444598197937,0.23023412004113197,0.34891197830438614
minigpt4_7b,attention,raw,prompt,0,3,1676,0.3642866640909617,0.35027846693992615,0.30784112960100174,0.4094075784087181
minigpt4_7b,attention,raw,prompt,0,4,1676,0.723232303108122,0.7249727845191956,0.7081028670072556,0.7391603589057922
minigpt4_7b,attention,raw,prompt,0,5,1676,0.7572461358473808,0.7573907971382141,0.7407820671796799,0.7741335332393646
minigpt4_7b,attention,raw,prompt,0,6,1676,0.7765598541441282,0.7788569331169128,0.7624750137329102,0.7913921624422073
minigpt4_7b,attention,raw,prompt,0,7,1676,0.7210630282652976,0.7240176498889923,0.6984759271144867,0.7438514232635498
minigpt4_7b,attention,raw,prompt,0,8,1676,0.7370877042590576,0.73865607380867,0.7151048630475998,0.7619474530220032
minigpt4_7b,attention,raw,prompt,0,9,1676,0.6690408943447691,0.6699170172214508,0.6508837193250656,0.6892590969800949
minigpt4_7b,attention,raw,prompt,0,10,1676,0.6451364868189384,0.6436037421226501,0.6145016402006149,0.6729981154203415
minigpt4_7b,attention,raw,prompt,0,11,1676,0.6216693877426992,0.6180310845375061,0.5932712256908417,0.6465597003698349
minigpt4_7b,attention,raw,prompt,0,12,1676,0.5753259452010965,0.5730258822441101,0.5452296733856201,0.6037633419036865
minigpt4_7b,attention,raw,prompt,0,13,1676,0.5493587009199764,0.5453770160675049,0.5098033249378204,0.5855852514505386
minigpt4_7b,attention,raw,prompt,0,14,1676,0.6374153196633858,0.6352540552616119,0.5921530425548553,0.6803430914878845
minigpt4_7b,attention,raw,prompt,0,15,1676,0.6049661280538415,0.6055168211460114,0.5609139949083328,0.6482171714305878
minigpt4_7b,attention,raw,prompt,0,16,1676,0.557062494566304,0.5583209693431854,0.5041813105344772,0.6073899120092392
minigpt4_7b,attention,raw,prompt,0,17,1676,0.5986520319039043,0.5929991900920868,0.5620495080947876,0.6333343833684921
minigpt4_7b,attention,raw,prompt,0,18,1676,0.6375763045183799,0.6374050974845886,0.6036544591188431,0.671587735414505
minigpt4_7b,attention,raw,prompt,0,19,1676,0.7193892803354309,0.721947193145752,0.6809204965829849,0.761397510766983
minigpt4_7b,attention,raw,prompt,0,20,1676,0.6409383903753217,0.6422220468521118,0.5893058776855469,0.692897692322731
minigpt4_7b,attention,raw,prompt,0,21,1676,0.6894012003212385,0.6900997161865234,0.6636879146099091,0.715402141213417
minigpt4_7b,attention,raw,prompt,0,22,1676,0.7489099030989735,0.7548358738422394,0.7128761559724808,0.7872982025146484
minigpt4_7b,attention,raw,prompt,0,23,1676,0.8454981969762816,0.8482733070850372,0.8254545778036118,0.8671384304761887
minigpt4_7b,attention,raw,prompt,0,24,1676,0.7146125816004373,0.7136446237564087,0.67437344789505,0.7591995149850845
minigpt4_7b,attention,raw,prompt,0,25,1676,0.815796743571616,0.8201306760311127,0.7849715650081635,0.8501398414373398
minigpt4_7b,attention,raw,prompt,0,26,1676,0.8201904425259706,0.8220347166061401,0.7987825125455856,0.8431326150894165
minigpt4_7b,attention,raw,prompt,0,27,1676,0.8474211108855245,0.8477324545383453,0.8295909017324448,0.8670469969511032
minigpt4_7b,attention,raw,prompt,0,28,1676,0.8759947227834233,0.8788236081600189,0.8609857708215714,0.8948273211717606
minigpt4_7b,attention,raw,prompt,0,29,1676,0.8048176270040521,0.8061998784542084,0.7840283066034317,0.829173818230629
