model,split,metric,region,label,n,layer,mean,median,q25,q75
llava_1_5_7b,train,raw_attention,BOS,0,2778,1,0.001964932668999728,0.0019356701523065567,0.0017816051840782166,0.0021173199638724327
llava_1_5_7b,train,raw_attention,BOS,0,2778,2,0.006191393251204293,0.006096080876886845,0.005328610073775053,0.006911457050591707
llava_1_5_7b,train,raw_attention,BOS,0,2778,3,0.689559616572227,0.6915512084960938,0.6608352661132812,0.7196540832519531
llava_1_5_7b,train,raw_attention,BOS,0,2778,4,0.8088594200458348,0.8105545043945312,0.7872381210327148,0.8315200805664062
llava_1_5_7b,train,raw_attention,BOS,0,2778,5,0.8116587924819957,0.8168106079101562,0.7936687469482422,0.833709716796875
llava_1_5_7b,train,raw_attention,BOS,0,2778,6,0.7668217969850467,0.7686716914176941,0.7516244649887085,0.782279834151268
llava_1_5_7b,train,raw_attention,BOS,0,2778,7,0.765658763263447,0.7650165557861328,0.7443046569824219,0.7862224578857422
llava_1_5_7b,train,raw_attention,BOS,0,2778,8,0.7614579657327365,0.7632732391357422,0.7402153015136719,0.7826876640319824
llava_1_5_7b,train,raw_attention,BOS,0,2778,9,0.7019230963687746,0.7049603462219238,0.6826732158660889,0.7271223068237305
llava_1_5_7b,train,raw_attention,BOS,0,2778,10,0.6952543411433396,0.6951637268066406,0.6723151206970215,0.7183337211608887
llava_1_5_7b,train,raw_attention,BOS,0,2778,11,0.5598024685791364,0.5576076507568359,0.5355250835418701,0.5797867774963379
llava_1_5_7b,train,raw_attention,BOS,0,2778,12,0.5629409259175808,0.553563117980957,0.525610089302063,0.5907020568847656
llava_1_5_7b,train,raw_attention,BOS,0,2778,13,0.5975063667184076,0.5937271118164062,0.569300651550293,0.6207389831542969
llava_1_5_7b,train,raw_attention,BOS,0,2778,14,0.5844038410354983,0.5795345306396484,0.5515456199645996,0.6141452789306641
llava_1_5_7b,train,raw_attention,BOS,0,2778,15,0.5136520618946969,0.5099914073944092,0.4747523069381714,0.5461223125457764
