model,split,metric,region,label,n,layer,mean,median,q25,q75
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,1,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,2,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,3,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,4,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,5,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,6,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,7,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,8,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,9,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,10,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,11,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,12,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,13,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,14,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,15,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,16,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,17,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,18,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,19,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,20,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,21,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,22,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,23,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,24,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,25,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,26,0.0,0.0,0.0,0.0
