model,group,seed,rule,threshold,AUROC,HALL_AUPR,HALL_F1
minigpt4_7b,attention_ratio,43,fixed_0.5,0.5,0.8810677697824919,0.5683634120928641,0.4412296564195298
minigpt4_7b,attention_ratio,43,train_f1,0.4956526458263397,0.8810677697824919,0.5683634120928641,0.43302752293577984
minigpt4_7b,attention_ratio,44,fixed_0.5,0.5,0.8803785657547368,0.5602498656138962,0.4547069271758437
minigpt4_7b,attention_ratio,44,train_f1,0.4842492938041687,0.8803785657547368,0.5602498656138962,0.3930635838150289
minigpt4_7b,attention_ratio,45,fixed_0.5,0.5,0.8886095892811252,0.5846733953316641,0.46181172291296624
minigpt4_7b,attention_ratio,45,train_f1,0.5031031966209412,0.8886095892811252,0.5846733953316641,0.46996466431095407
minigpt4_7b,gated_ratio,43,fixed_0.5,0.5,0.8860571980935916,0.6034536794085679,0.5475040257648953
minigpt4_7b,gated_ratio,43,train_f1,0.4846353828907013,0.8860571980935916,0.6034536794085679,0.5042301184433164
minigpt4_7b,gated_ratio,44,fixed_0.5,0.5,0.8871486811672079,0.609039942799763,0.558641975308642
minigpt4_7b,gated_ratio,44,train_f1,0.4415877163410187,0.8871486811672079,0.609039942799763,0.45588235294117646
minigpt4_7b,gated_ratio,45,fixed_0.5,0.5,0.8926630434782609,0.6249784005888972,0.5606557377049181
minigpt4_7b,gated_ratio,45,train_f1,0.453097403049469,0.8926630434782609,0.6249784005888972,0.4652014652014652
minigpt4_7b,F_reference,43,fixed_0.5,0.5,0.9107254456463332,0.656687112947611,0.6125356125356125
minigpt4_7b,F_reference,43,train_f1,0.4897807538509369,0.9107254456463332,0.656687112947611,0.615606936416185
minigpt4_7b,F_reference,44,fixed_0.5,0.5,0.9071304873490177,0.666516300409659,0.628140703517588
minigpt4_7b,F_reference,44,train_f1,0.4041617214679718,0.9071304873490177,0.666516300409659,0.5723076923076923
minigpt4_7b,F_reference,45,fixed_0.5,0.5,0.9093397367006986,0.6413618416011074,0.6091794158553546
minigpt4_7b,F_reference,45,train_f1,0.47692158818244934,0.9093397367006986,0.6413618416011074,0.5927007299270073
shikra_7b,attention_ratio,43,fixed_0.5,0.5,0.8393279125774689,0.5675482360504153,0.543859649122807
shikra_7b,attention_ratio,43,train_f1,0.4571315050125122,0.8393279125774689,0.5675482360504153,0.391425908667288
shikra_7b,attention_ratio,44,fixed_0.5,0.5,0.8426234156926569,0.5682196094570025,0.5315712187958884
shikra_7b,attention_ratio,44,train_f1,0.4661376178264618,0.8426234156926569,0.5682196094570025,0.455026455026455
shikra_7b,attention_ratio,45,fixed_0.5,0.5,0.8419602053229439,0.568610352851634,0.5092879256965944
shikra_7b,attention_ratio,45,train_f1,0.46778810024261475,0.8419602053229439,0.568610352851634,0.43112701252236135
shikra_7b,gated_ratio,43,fixed_0.5,0.5,0.833989865364699,0.5620149498973346,0.5416666666666666
shikra_7b,gated_ratio,43,train_f1,0.4690591096878052,0.833989865364699,0.5620149498973346,0.4918032786885246
shikra_7b,gated_ratio,44,fixed_0.5,0.5,0.8324047874439019,0.5496624232741689,0.5191176470588236
shikra_7b,gated_ratio,44,train_f1,0.456400990486145,0.8324047874439019,0.5496624232741689,0.4175257731958763
shikra_7b,gated_ratio,45,fixed_0.5,0.5,0.8319776306488467,0.5532687983088053,0.5103857566765578
shikra_7b,gated_ratio,45,train_f1,0.4859820306301117,0.8319776306488467,0.5532687983088053,0.48606811145510836
shikra_7b,F_reference,43,fixed_0.5,0.5,0.8598635461360161,0.5999832884049234,0.5735003295978905
shikra_7b,F_reference,43,train_f1,0.4350002706050873,0.8598635461360161,0.5999832884049234,0.5474293989862419
shikra_7b,F_reference,44,fixed_0.5,0.5,0.8611434753661784,0.5984306531713041,0.5012087026591459
shikra_7b,F_reference,44,train_f1,0.569760799407959,0.8611434753661784,0.5984306531713041,0.5732574679943101
shikra_7b,F_reference,45,fixed_0.5,0.5,0.8669341084315563,0.6160061373684396,0.5848670756646217
shikra_7b,F_reference,45,train_f1,0.4557592570781708,0.8669341084315563,0.6160061373684396,0.5590608950843727
qwen2_5_vl_7b,attention_ratio,43,fixed_0.5,0.5,0.7879612088885126,0.2618617632482371,0.0
qwen2_5_vl_7b,attention_ratio,43,train_f1,0.6303858757019043,0.7879612088885126,0.2618617632482371,0.05825242718446602
qwen2_5_vl_7b,attention_ratio,44,fixed_0.5,0.5,0.7735997488243781,0.2465563165101931,0.0
qwen2_5_vl_7b,attention_ratio,44,train_f1,0.6032797694206238,0.7735997488243781,0.2465563165101931,0.06862745098039216
qwen2_5_vl_7b,attention_ratio,45,fixed_0.5,0.5,0.7871780489439688,0.26116831235555515,0.0
qwen2_5_vl_7b,attention_ratio,45,train_f1,0.5796841382980347,0.7871780489439688,0.26116831235555515,0.058823529411764705
qwen2_5_vl_7b,gated_ratio,43,fixed_0.5,0.5,0.8114348407398393,0.3082192087875589,0.010869565217391304
qwen2_5_vl_7b,gated_ratio,43,train_f1,0.5725997686386108,0.8114348407398393,0.3082192087875589,0.0970873786407767
qwen2_5_vl_7b,gated_ratio,44,fixed_0.5,0.5,0.8144792868305659,0.28579639798488965,0.0
qwen2_5_vl_7b,gated_ratio,44,train_f1,0.5907835364341736,0.8144792868305659,0.28579639798488965,0.15126050420168066
qwen2_5_vl_7b,gated_ratio,45,fixed_0.5,0.5,0.810930372847633,0.3014393298696168,0.0
qwen2_5_vl_7b,gated_ratio,45,train_f1,0.5550208687782288,0.810930372847633,0.3014393298696168,0.0707070707070707
