model,scope,label,layer,n_mentions,mean,median,q25,q75,source
qwen2_5_vl_7b,all,REAL,1,7801,0.6684583820925051,0.673953652381897,0.6528409123420715,0.6900973320007324,a_m
qwen2_5_vl_7b,all,REAL,2,7801,0.3536980411606314,0.35278627276420593,0.34356361627578735,0.36234143376350403,a_m
qwen2_5_vl_7b,all,REAL,3,7801,0.40529697959262,0.4055495858192444,0.38443559408187866,0.4240802228450775,a_m
qwen2_5_vl_7b,all,REAL,4,7801,0.3486405388886555,0.3469489812850952,0.3348727524280548,0.3601283133029938,a_m
qwen2_5_vl_7b,all,REAL,5,7801,0.5262444408379094,0.5113787055015564,0.47089844942092896,0.5630084276199341,a_m
qwen2_5_vl_7b,all,REAL,6,7801,0.5318503421998119,0.5215824246406555,0.4456900358200073,0.6089375615119934,a_m
qwen2_5_vl_7b,all,REAL,7,7801,0.6106076924224157,0.6068117022514343,0.5612601041793823,0.6506581902503967,a_m
qwen2_5_vl_7b,all,REAL,8,7801,0.6589483098179358,0.6746094822883606,0.5750837326049805,0.7532472610473633,a_m
qwen2_5_vl_7b,all,REAL,9,7801,0.6105324076988837,0.616956353187561,0.5111641883850098,0.7043713927268982,a_m
qwen2_5_vl_7b,all,REAL,10,7801,0.6049654889475029,0.6154937148094177,0.4672744572162628,0.723181426525116,a_m
qwen2_5_vl_7b,all,REAL,11,7801,0.5842787940339268,0.5779522061347961,0.5161311626434326,0.6486586332321167,a_m
qwen2_5_vl_7b,all,REAL,12,7801,0.7556149279890939,0.7868014574050903,0.6449835896492004,0.8796432018280029,a_m
qwen2_5_vl_7b,all,REAL,13,7801,0.6263309914536116,0.6225156188011169,0.5542159080505371,0.691859781742096,a_m
qwen2_5_vl_7b,all,REAL,14,7801,0.5650290035312107,0.5515081286430359,0.4993950128555298,0.611906886100769,a_m
qwen2_5_vl_7b,all,REAL,15,7801,0.5895790990163632,0.5823643803596497,0.5312245488166809,0.6352555155754089,a_m
qwen2_5_vl_7b,all,REAL,16,7801,0.5920122429172652,0.5852053761482239,0.5423629879951477,0.6348669528961182,a_m
qwen2_5_vl_7b,all,REAL,17,7801,0.6222237563793391,0.6011611819267273,0.5101040601730347,0.7167539000511169,a_m
qwen2_5_vl_7b,all,REAL,18,7801,0.6152382524574954,0.5972353219985962,0.5386859178543091,0.6837673783302307,a_m
qwen2_5_vl_7b,all,REAL,19,7801,0.5426273170709152,0.5384811162948608,0.5190917253494263,0.560843825340271,a_m
qwen2_5_vl_7b,all,REAL,20,7801,0.572455999656696,0.5643116235733032,0.5293581485748291,0.6092020273208618,a_m
qwen2_5_vl_7b,all,REAL,21,7801,0.6257606785032417,0.5982016324996948,0.5004585981369019,0.7408248782157898,a_m
qwen2_5_vl_7b,all,REAL,22,7801,0.6379962341783292,0.6251387596130371,0.49887529015541077,0.7622583508491516,a_m
qwen2_5_vl_7b,all,REAL,23,7801,0.630280886807666,0.6191660761833191,0.5411975383758545,0.7109332084655762,a_m
qwen2_5_vl_7b,all,REAL,24,7801,0.7332307496272269,0.7451089024543762,0.6510328054428101,0.8180975914001465,a_m
qwen2_5_vl_7b,all,REAL,25,7801,0.6761458038733626,0.6804559826850891,0.6233388185501099,0.7314665913581848,a_m
qwen2_5_vl_7b,all,REAL,26,7801,0.78025041764141,0.8013235926628113,0.6846745610237122,0.8822115659713745,a_m
qwen2_5_vl_7b,all,REAL,27,7801,0.68024508568541,0.6872461438179016,0.6572629809379578,0.7100804448127747,a_m
qwen2_5_vl_7b,all,REAL,28,7801,0.7448321178301437,0.7513376474380493,0.6919899582862854,0.812312662601471,a_m
qwen2_5_vl_7b,all,HALL,1,916,0.6655027487327438,0.672686368227005,0.6470927745103836,0.6885365396738052,a_m
qwen2_5_vl_7b,all,HALL,2,916,0.3545293533060228,0.35254333913326263,0.3457387909293175,0.3622201383113861,a_m
qwen2_5_vl_7b,all,HALL,3,916,0.4184988454374684,0.41900210082530975,0.40270809829235077,0.4347127825021744,a_m
qwen2_5_vl_7b,all,HALL,4,916,0.3584316166597683,0.3574427366256714,0.34384025633335114,0.3706607520580292,a_m
qwen2_5_vl_7b,all,HALL,5,916,0.5725802186730127,0.563047468662262,0.5260389596223831,0.6101903021335602,a_m
qwen2_5_vl_7b,all,HALL,6,916,0.6144458772899282,0.6220826804637909,0.5577761977910995,0.6712011843919754,a_m
qwen2_5_vl_7b,all,HALL,7,916,0.6447498551427537,0.642932653427124,0.6089944392442703,0.6767553091049194,a_m
qwen2_5_vl_7b,all,HALL,8,916,0.749478813342132,0.7574956119060516,0.6976190358400345,0.8128569275140762,a_m
qwen2_5_vl_7b,all,HALL,9,916,0.710873339992163,0.7229723036289215,0.6588106453418732,0.7695869952440262,a_m
qwen2_5_vl_7b,all,HALL,10,916,0.6798523729870413,0.6900469362735748,0.6044695228338242,0.7618852108716965,a_m
qwen2_5_vl_7b,all,HALL,11,916,0.6641720852542132,0.66115602850914,0.6056205630302429,0.7223413437604904,a_m
qwen2_5_vl_7b,all,HALL,12,916,0.862770072009626,0.8877759277820587,0.8274122625589371,0.9227411597967148,a_m
qwen2_5_vl_7b,all,HALL,13,916,0.7045528790445827,0.70274817943573,0.6431688070297241,0.761739656329155,a_m
qwen2_5_vl_7b,all,HALL,14,916,0.6341446708708871,0.6237220168113708,0.5800211131572723,0.6817829310894012,a_m
qwen2_5_vl_7b,all,HALL,15,916,0.6637116039098611,0.6545546352863312,0.6072492003440857,0.7169556468725204,a_m
