model,scope,source,real_mentions,hall_mentions,positive_layers,layers,mean_layer_difference
qwen2_5_vl_7b,all,a_m,7801,916,27,28,0.07033195690359466
qwen2_5_vl_7b,all,e_m,7801,916,26,28,0.059140262173782855
qwen2_5_vl_7b,test,a_m,763,85,27,28,0.0745304097817795
qwen2_5_vl_7b,test,e_m,763,85,26,28,0.06319613167876888
llava_1_5_7b,all,a_m,11976,3487,32,32,0.07031717343537382
llava_1_5_7b,all,e_m,11976,3487,32,32,0.07061975436502069
llava_1_5_7b,test,a_m,1228,333,32,32,0.0665374653520351
llava_1_5_7b,test,e_m,1228,333,32,32,0.06686893753424308
qwen3_vl_8b,all,a_m,12280,2593,35,36,0.06144558809625675
qwen3_vl_8b,all,e_m,12280,2593,33,36,0.0445965541680341
qwen3_vl_8b,test,a_m,1250,242,35,36,0.060116353631982894
qwen3_vl_8b,test,e_m,1250,242,34,36,0.04433634674829063
internvl_2_5_8b,all,a_m,9993,1766,31,32,0.07928065141768362
internvl_2_5_8b,all,e_m,9993,1766,31,32,0.07080351065577886
internvl_2_5_8b,test,a_m,988,175,31,32,0.08607077996213121
internvl_2_5_8b,test,e_m,988,175,31,32,0.07633483698195145
