model,source_mode,label,layer,log10_np_lower,log10_np_upper,count,probability_mass
qwen2_5_vl_7b,hmid_cos,hall,1,-12,-11.95,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11.95,-11.9,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11.9,-11.85,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11.85,-11.8,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11.8,-11.75,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11.75,-11.7,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11.7,-11.65,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11.65,-11.6,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11.6,-11.55,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11.55,-11.5,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11.5,-11.45,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11.45,-11.4,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11.4,-11.35,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11.35,-11.3,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11.3,-11.25,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11.25,-11.2,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11.2,-11.15,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11.15,-11.1,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11.1,-11.05,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11.05,-11,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-11,-10.95,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10.95,-10.9,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10.9,-10.85,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10.85,-10.8,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10.8,-10.75,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10.75,-10.7,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10.7,-10.65,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10.65,-10.6,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10.6,-10.55,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10.55,-10.5,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10.5,-10.45,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10.45,-10.4,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10.4,-10.35,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10.35,-10.3,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10.3,-10.25,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10.25,-10.2,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10.2,-10.15,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10.15,-10.1,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10.1,-10.05,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10.05,-10,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-10,-9.95,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9.95,-9.9,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9.9,-9.85,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9.85,-9.8,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9.8,-9.75,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9.75,-9.7,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9.7,-9.65,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9.65,-9.6,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9.6,-9.55,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9.55,-9.5,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9.5,-9.45,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9.45,-9.4,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9.4,-9.35,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9.35,-9.3,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9.3,-9.25,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9.25,-9.2,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9.2,-9.15,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9.15,-9.1,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9.1,-9.05,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9.05,-9,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-9,-8.95,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8.95,-8.9,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8.9,-8.85,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8.85,-8.8,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8.8,-8.75,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8.75,-8.7,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8.7,-8.65,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8.65,-8.6,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8.6,-8.55,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8.55,-8.5,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8.5,-8.45,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8.45,-8.4,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8.4,-8.35,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8.35,-8.3,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8.3,-8.25,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8.25,-8.2,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8.2,-8.15,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8.15,-8.1,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8.1,-8.05,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8.05,-8,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-8,-7.95,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7.95,-7.9,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7.9,-7.85,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7.85,-7.8,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7.8,-7.75,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7.75,-7.7,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7.7,-7.65,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7.65,-7.6,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7.6,-7.55,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7.55,-7.5,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7.5,-7.45,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7.45,-7.4,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7.4,-7.35,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7.35,-7.3,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7.3,-7.25,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7.25,-7.2,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7.2,-7.15,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7.15,-7.1,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7.1,-7.05,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7.05,-7,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-7,-6.95,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6.95,-6.9,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6.9,-6.85,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6.85,-6.8,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6.8,-6.75,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6.75,-6.7,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6.7,-6.65,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6.65,-6.6,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6.6,-6.55,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6.55,-6.5,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6.5,-6.45,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6.45,-6.4,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6.4,-6.35,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6.35,-6.3,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6.3,-6.25,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6.25,-6.2,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6.2,-6.15,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6.15,-6.1,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6.1,-6.05,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6.05,-6,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-6,-5.95,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-5.95,-5.9,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-5.9,-5.85,0,0
