model,case_id,layer,control,spearman,js,top32_overlap,gross_relative_error,kappa_difference,candidate_completeness_relative_error
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,native_vs_fp32_gauss_k64,0.9999995985016081,1.5356520777788562e-09,1.0,3.495716954649673e-05,0.0011365413665771484,2.909843715315219e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,fp32_trapezoid_vs_gauss_k64,1.0,8.067502908581256e-15,1.0,5.280354620167723e-07,2.980232238769531e-07,3.340223429404432e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:108645:35:7,7,native_vs_fp32_gauss_k64,0.9999981268541218,8.0354924439852e-09,1.0,0.0005601017222144298,0.0036187171936035156,1.25643082355964e-05
qwen2_5_vl_7b,qwen2_5_vl_7b:108645:35:7,7,fp32_trapezoid_vs_gauss_k64,1.0,2.6878135638304135e-16,1.0,0.0,0.0,1.2563463315018453e-05
qwen2_5_vl_7b,qwen2_5_vl_7b:113058:76:7,7,native_vs_fp32_gauss_k64,0.9999995985016081,2.1429790641645437e-09,1.0,0.00013165381488117536,0.0007549524307250977,5.034829882788472e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:113058:76:7,7,fp32_trapezoid_vs_gauss_k64,1.0,6.190886962266872e-16,1.0,0.0,0.0,5.106907792651327e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,native_vs_fp32_gauss_k64,0.9999994155362164,2.16869714386898e-09,1.0,0.0012490049985547068,0.00043898820877075195,5.676592536474345e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,fp32_trapezoid_vs_gauss_k64,1.0,3.0288545588076133e-15,1.0,2.0252405732645967e-07,1.1920928955078125e-07,5.755761321779573e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,native_vs_fp32_gauss_k64,0.9999990634270611,5.2200965858520525e-09,1.0,1.5664093624485874e-05,0.0007327795028686523,1.555884227855131e-05
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,fp32_trapezoid_vs_gauss_k64,1.0,3.3919827389571936e-16,1.0,9.914138602631906e-08,5.960464477539063e-08,1.5557234291918576e-05
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,native_vs_fp32_gauss_k64,1.0,4.621888932305148e-09,1.0,0.0004967215412519353,0.012570798397064209,2.251035584777128e-05
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,fp32_trapezoid_vs_gauss_k64,1.0,2.632119206258943e-16,1.0,0.0,0.0,2.251069417980034e-05
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,native_vs_fp32_gauss_k64,0.9999981932572362,4.727260878304904e-09,1.0,0.0006796820077688714,0.001698523759841919,9.314459930465091e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,fp32_trapezoid_vs_gauss_k64,1.0,3.130059229942027e-16,1.0,1.1787596007022578e-07,2.9802322387695312e-08,9.321778634330258e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,native_vs_fp32_gauss_k64,0.9999971105030326,1.6316511367396586e-07,1.0,0.0004458743984875399,0.007433116436004639,1.1262373845966067e-05
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,fp32_trapezoid_vs_gauss_k64,1.0,7.595642260272958e-16,1.0,0.0,0.0,1.1143953088321723e-05
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,native_vs_fp32_gauss_k64,0.9999988310724327,9.277776501586567e-09,1.0,0.0014835980512062663,0.002559155225753784,3.7325314679037547e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,fp32_trapezoid_vs_gauss_k64,1.0,2.7700256836829633e-14,1.0,9.352904348034291e-07,3.8743019104003906e-07,6.90258502800134e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,native_vs_fp32_gauss_k64,0.9999985002583307,3.532897557028407e-09,1.0,0.0002689319910000164,0.007969915866851807,1.567172512295656e-05
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,fp32_trapezoid_vs_gauss_k64,1.0,3.117076344333708e-16,1.0,8.923321806483668e-08,5.960464477539063e-08,1.566750870551914e-05
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,native_vs_fp32_gauss_k64,0.9999997077681082,2.3926383121667374e-09,1.0,0.0011392179978095282,0.0014230608940124512,7.807479960320052e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,fp32_trapezoid_vs_gauss_k64,1.0,1.4827562307618767e-16,1.0,0.0,0.0,7.816695870133117e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,native_vs_fp32_gauss_k64,0.9999984598274358,1.5871048351040456e-08,1.0,0.0027200849218018837,0.008014112710952759,3.878565166814951e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,fp32_trapezoid_vs_gauss_k64,1.0,2.4336871481807478e-14,1.0,0.0,0.0,4.558336968329968e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,native_vs_fp32_gauss_k64,0.9999999189382861,3.2846098610661693e-09,1.0,0.000673453242378686,0.000491797924041748,1.836752971939859e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,fp32_trapezoid_vs_gauss_k64,1.0,4.892263899107834e-15,1.0,5.724179900834308e-07,2.682209014892578e-07,2.944924517578329e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:215024:7:7,7,native_vs_fp32_gauss_k64,0.9999995985016081,2.146289817921736e-09,1.0,0.0019290648210370414,0.0004845261573791504,2.808092176564969e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:215024:7:7,7,fp32_trapezoid_vs_gauss_k64,1.0,5.648382451353981e-15,1.0,6.746486092718607e-07,4.172325134277344e-07,4.062017069372814e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:222118:83:14,14,native_vs_fp32_gauss_k64,0.9999994155362164,1.7813271067776644e-09,1.0,0.0003088758731754352,0.0005532801151275635,2.217329665654688e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:222118:83:14,14,fp32_trapezoid_vs_gauss_k64,1.0,3.1307470124233913e-15,1.0,4.925153670950975e-07,2.086162567138672e-07,2.968540002257214e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:238691:24:21,21,native_vs_fp32_gauss_k64,0.9999993977524122,4.486922090225434e-09,1.0,0.00102835797181275,1.099705696105957e-05,3.096570480920491e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:238691:24:21,21,fp32_trapezoid_vs_gauss_k64,1.0,8.394716591655788e-15,1.0,4.936855154150834e-07,2.086162567138672e-07,3.724160251294961e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:239395:59:21,21,native_vs_fp32_gauss_k64,0.9999993977524122,3.1723614508102404e-09,1.0,0.0003352983924871779,0.0026178061962127686,9.778595085663255e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:239395:59:21,21,fp32_trapezoid_vs_gauss_k64,1.0,1.0664324075357427e-16,1.0,0.0,0.0,9.77342642727308e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:240295:5:28,28,native_vs_fp32_gauss_k64,0.9999930662749958,9.014894287680284e-08,1.0,0.004821809840332375,0.006559312343597412,3.5320329061505618e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:240295:5:28,28,fp32_trapezoid_vs_gauss_k64,1.0,3.0078490350707683e-15,1.0,4.0890218214738526e-07,2.980232238769531e-07,3.4731137930066325e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:256973:53:28,28,native_vs_fp32_gauss_k64,0.9999979925080401,3.756183031959241e-08,1.0,0.003989431900359646,0.0209808349609375,5.6642911658855155e-06
