feature_set,dimensions,ensemble_auroc,mean_real_aupr,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,mean_seed_auroc,std_seed_auroc,ensemble_real_aupr,ensemble_hall_aupr,seed43_auroc,seed44_auroc,seed45_auroc
AE,28,0.7877036833211626,0.9651977461224904,0.32693271214846087,0.5056238066686228,0.12204007285974498,0.19466606898650388,0.7792864777910656,0.004601191713951709,0.9666490235260049,0.3352341096127483,0.7815407084422525,0.7728730328398015,0.7834456920911429
AE+I,56,0.8443734191281526,0.9775208743249717,0.34806009290902723,0.36176521890807606,0.10382513661202186,0.16040992048778477,0.8414936012539966,0.0021721040319464665,0.9781437739332924,0.35452234266900734,0.8428000437440689,0.838432692341613,0.8432480676763081
AE+S,56,0.8670427245499476,0.9814808918594208,0.3928010214734654,0.4507577203496583,0.12021857923497266,0.18746286197251125,0.8644839316981049,0.0009212638275014325,0.9818575974750803,0.39633327593228596,0.8632257017571712,0.8648202436262422,0.8654058497109012
AE+I+S,84,0.8616417431305938,0.9798377035234574,0.3880389859429205,0.4345104333868379,0.16393442622950818,0.23593107628918605,0.8581551526867912,0.0030888477553855697,0.9804102595933457,0.3939537796236896,0.858731351444789,0.8541170577174767,0.8616170488981081
AE+N,56,0.8678999671919483,0.9809140788451544,0.4074432468184019,0.4953713781546716,0.18579234972677597,0.26896658312447785,0.8627670945824382,0.0030991872476689624,0.9817162940363584,0.41300951310354017,0.8642946092490483,0.8655610706008107,0.8584456038974555
AE+S+kappa,84,0.8693745656460893,0.9818286894962999,0.4099157758539341,0.4672561051871397,0.17850637522768667,0.25758552010872915,0.8670768261090944,0.0003160874007257931,0.9821840614013104,0.4118804706319382,0.8671062240049106,0.8674484155122113,0.8666758388101614
AE+S+N,84,0.8799613358874224,0.9827341073788168,0.4440189647459966,0.5106382978723404,0.27140255009107467,0.3519670029993165,0.8751971128914476,0.002383111589278667,0.9835628223716087,0.45025329823318466,0.8749872119153199,0.8782151008759398,0.8723890258830833
U,112,0.8811748810267157,0.9833343031669574,0.42159812436138294,0.4961696541310639,0.214936247723133,0.2949732066739739,0.8765341291931689,0.004698510952728902,0.984075367324228,0.43159072176893254,0.8826124381321283,0.8711701891225434,0.875819760324835
H_OT,196,0.8912360168908551,0.9848057159520852,0.4355584907329242,0.5069347740436073,0.30054644808743164,0.3760270350261763,0.8854705015633803,0.0028568937471128908,0.985694185990428,0.4490732323755327,0.8892569505445078,0.8823566764385272,0.8847978777071053
H_JS,196,0.8824095926509965,0.9838823330636535,0.4237983952019297,0.5040690807478466,0.23679417122040078,0.3172563069372556,0.8799284102441084,0.0021352585225698287,0.984296836763581,0.42997739894538733,0.8804763870221224,0.8822261497811034,0.8770826939290993
