feature_set,seed,threshold_rule,decision_threshold,auroc,real_aupr,real_precision,real_recall,real_f1,hall_aupr,hall_precision,hall_recall,hall_f1
AE,43,fixed_0.5,0.5,0.7815407084422525,0.9655222437242501,0.9020527859237537,0.9928986442866365,0.9452980946527351,0.3254413316798685,0.5925925925925926,0.08743169398907104,0.1523809523809524
AE,43,train_f1,0.5960018634796143,0.7815407084422525,0.9655222437242501,0.9060083283759667,0.9832149774047773,0.9430340557275542,0.3254413316798685,0.49019607843137253,0.1366120218579235,0.21367521367521367
AE,44,fixed_0.5,0.5,0.7728730328398015,0.9636088058593563,0.9025249559600704,0.9922530664945126,0.9452644526445264,0.3275883772442815,0.5862068965517241,0.09289617486338798,0.16037735849056603
AE,44,train_f1,0.6072036623954773,0.7728730328398015,0.9636088058593563,0.9070875521143538,0.9832149774047773,0.9436183395291202,0.3275883772442815,0.5094339622641509,0.14754098360655737,0.2288135593220339
AE,45,fixed_0.5,0.5,0.7834456920911429,0.9664621887838649,0.9038348082595871,0.9890251775338929,0.9445129469790382,0.3277684275212326,0.5405405405405406,0.1092896174863388,0.18181818181818182
AE,45,train_f1,0.45113512873649597,0.7834456920911429,0.9664621887838649,0.9013505578391074,0.9909619109102646,0.9440344403444034,0.3277684275212326,0.5172413793103449,0.08196721311475409,0.14150943396226415
AE+I,43,fixed_0.5,0.5,0.8428000437440689,0.9778088575162759,0.8980186480186481,0.9948353776630084,0.9439509954058193,0.35289447641692573,0.5,0.04371584699453552,0.08040201005025126
AE+I,43,train_f1,0.5392019748687744,0.8428000437440689,0.9778088575162759,0.9019607843137255,0.9799870884441575,0.9393564356435643,0.35289447641692573,0.3673469387755102,0.09836065573770492,0.15517241379310345
AE+I,44,fixed_0.5,0.5,0.838432692341613,0.9768045556681029,0.8984238178633975,0.9935442220787605,0.9435928877988964,0.3390084717493071,0.47368421052631576,0.04918032786885246,0.0891089108910891
AE+I,44,train_f1,0.5365249514579773,0.838432692341613,0.9768045556681029,0.9,0.9819238218205294,0.9391787588761964,0.3390084717493071,0.3333333333333333,0.07650273224043716,0.12444444444444444
AE+I,45,fixed_0.5,0.5,0.8432480676763081,0.9779492097905363,0.8973760932944607,0.9935442220787605,0.9430147058823529,0.3522773305608489,0.4117647058823529,0.03825136612021858,0.07
AE+I,45,train_f1,0.5399441123008728,0.8432480676763081,0.9779492097905363,0.9052189562087583,0.974176888315042,0.9384328358208955,0.3522773305608489,0.38461538461538464,0.1366120218579235,0.20161290322580644
