model,label,layer,n_mentions,mean,q25,median,q75,raw_d_js_union_topk_real_auroc
qwen2_5_vl_7b,HALL,1,916,0.0005693394923582673,0.0002548442571423948,0.00041658658301457763,0.0006798335234634578,0.4991022593117331
qwen2_5_vl_7b,HALL,2,916,0.005706365220248699,0.002025049412623048,0.003667653538286686,0.007205004338175058,0.5879638933313331
qwen2_5_vl_7b,HALL,3,916,0.004228988662362099,0.002084253588691354,0.003213525051251054,0.005295559298247099,0.5143488770054674
qwen2_5_vl_7b,HALL,4,916,0.003247801447287202,0.0016052534338086843,0.0024130498059093952,0.003589433152228594,0.495693783520084
qwen2_5_vl_7b,HALL,5,916,0.0018234747694805264,0.0008553793886676431,0.0013195783831179142,0.002167800907045603,0.45000542982676617
qwen2_5_vl_7b,HALL,6,916,0.0015039157588034868,0.000847353134304285,0.0012388864997774363,0.00186582887545228,0.49280897813459146
qwen2_5_vl_7b,HALL,7,916,0.0004067735280841589,0.0001845749357016757,0.000288090028334409,0.000489325902890414,0.5078035567044646
qwen2_5_vl_7b,HALL,8,916,0.0004903203225694597,0.00019857702136505395,0.00030660329503007233,0.0005343902739696205,0.5094258573948363
qwen2_5_vl_7b,HALL,9,916,0.001125425798818469,0.0006003283197060227,0.0009194242302328348,0.001423074398189783,0.44535306189050894
qwen2_5_vl_7b,HALL,10,916,0.0034150509163737297,0.0008695309516042471,0.002152553293853998,0.004862179048359394,0.39957913244802895
qwen2_5_vl_7b,HALL,11,916,0.0018174791475757957,0.0007170748431235552,0.0011928060557693243,0.001983807422220707,0.48421067951762986
qwen2_5_vl_7b,HALL,12,916,0.0006034632096998394,0.0003120086039416492,0.00048160069854930043,0.000771194405388087,0.6001635105565348
qwen2_5_vl_7b,HALL,13,916,0.0006680659134872258,0.0003808046749327332,0.0005470433970913291,0.0008207890205085278,0.6007242661197283
qwen2_5_vl_7b,HALL,14,916,0.0006531558465212584,0.00031609978759661317,0.0004966537235304713,0.0007881637429818511,0.5869707108426923
qwen2_5_vl_7b,HALL,15,916,0.0008853113395161927,0.0004194079665467143,0.0006751135224476457,0.001111181452870369,0.5999058736731211
qwen2_5_vl_7b,HALL,16,916,0.001036776346154511,0.0006183403311297297,0.0008517456008121371,0.0012135180877521634,0.49019832302319316
qwen2_5_vl_7b,HALL,17,916,0.0007921381620690227,0.00045527482870966196,0.0006734338821843266,0.000977782648988068,0.5763021508271529
qwen2_5_vl_7b,HALL,18,916,0.0009133245912380517,0.0005578911514021456,0.000778533227276057,0.0011345800012350082,0.5119374321621515
qwen2_5_vl_7b,HALL,19,916,0.0008149910718202591,0.0004902211367152631,0.0006994239520281553,0.0009904177859425545,0.5006037883397549
qwen2_5_vl_7b,HALL,20,916,0.0017374553717672825,0.0009811233030632138,0.0014927824959158897,0.002182132564485073,0.614959088774309
qwen2_5_vl_7b,HALL,21,916,0.0010636666556820273,0.0005774131277576089,0.0008785950485616922,0.0013354928232729435,0.6795503767572066
qwen2_5_vl_7b,HALL,22,916,0.0022036966402083635,0.0012818884570151567,0.0018457432743161917,0.0026429176796227694,0.48459139713920896
qwen2_5_vl_7b,HALL,23,916,0.0025572250597178936,0.0011587298940867186,0.0017637632554396987,0.0027605837676674128,0.5087394321296844
qwen2_5_vl_7b,HALL,24,916,0.006917640101164579,0.0033305303659290075,0.005647109821438789,0.008975411765277386,0.5648010640221357
qwen2_5_vl_7b,HALL,25,916,0.0031818042043596506,0.0015095002017915249,0.002628506161272526,0.004201538860797882,0.5237412178149817
qwen2_5_vl_7b,HALL,26,916,0.0007028533727861941,0.00023210991639643908,0.0003990784171037376,0.0007360168965533376,0.6899908980429673
qwen2_5_vl_7b,HALL,27,916,0.0014775973977521062,0.0006017537671141326,0.0010396293364465237,0.0018167633097618818,0.555888591150278
qwen2_5_vl_7b,HALL,28,916,0.0074656447395682335,0.003437274368479848,0.005861710757017136,0.00996426772326231,0.513999087005417
qwen2_5_vl_7b,REAL,1,7801,0.0005976879619993269,0.00026070320745930076,0.0004115907067898661,0.0006474996916949749,0.4991022593117331
qwen2_5_vl_7b,REAL,2,7801,0.006795196793973446,0.00280802883207798,0.0050191073678433895,0.008883769623935223,0.5879638933313331
qwen2_5_vl_7b,REAL,3,7801,0.004527617711573839,0.00206291233189404,0.0033215684816241264,0.005783441010862589,0.5143488770054674
qwen2_5_vl_7b,REAL,4,7801,0.003166814800351858,0.001658923807553947,0.0023478965740650892,0.003486388362944126,0.495693783520084
qwen2_5_vl_7b,REAL,5,7801,0.0017251020763069391,0.0007210261537693441,0.0011846419656649232,0.0019585133995860815,0.45000542982676617
qwen2_5_vl_7b,REAL,6,7801,0.0014483302365988493,0.000869750278070569,0.0012159650214016438,0.0017152588116005063,0.49280897813459146
qwen2_5_vl_7b,REAL,7,7801,0.0004344206827227026,0.00018767837900668383,0.00029119368991814554,0.0005004606209695339,0.5078035567044646
qwen2_5_vl_7b,REAL,8,7801,0.0005250988760963082,0.0002062370185740292,0.0003137473249807954,0.0005256051663309336,0.5094258573948363
qwen2_5_vl_7b,REAL,9,7801,0.0010701206047087908,0.0005189943476580083,0.0007993842591531575,0.0012860214337706566,0.44535306189050894
qwen2_5_vl_7b,REAL,10,7801,0.002687304513528943,0.000363145605660975,0.0012799709802493453,0.0035872862208634615,0.39957913244802895
qwen2_5_vl_7b,REAL,11,7801,0.002005284419283271,0.0006756019429303706,0.0010940093779936433,0.001984564820304513,0.48421067951762986
qwen2_5_vl_7b,REAL,12,7801,0.0008206710917875171,0.00038708478678017855,0.0006020660512149334,0.0009854143718257546,0.6001635105565348
qwen2_5_vl_7b,REAL,13,7801,0.0008930055191740394,0.0004535763000603765,0.0006700076046399772,0.0010329211363568902,0.6007242661197283
qwen2_5_vl_7b,REAL,14,7801,0.0007906079408712685,0.00039233468123711646,0.0005992320366203785,0.0009657839545980096,0.5869707108426923
qwen2_5_vl_7b,REAL,15,7801,0.00108048296533525,0.0005445505958050489,0.000883891130797565,0.0014280377654358745,0.5999058736731211
qwen2_5_vl_7b,REAL,16,7801,0.0010783813195303082,0.0005739142652601004,0.0008374628960154951,0.0012777176452800632,0.49019832302319316
qwen2_5_vl_7b,REAL,17,7801,0.0009121938492171466,0.0005314904265105724,0.0007868458633311093,0.0011552567593753338,0.5763021508271529
qwen2_5_vl_7b,REAL,18,7801,0.0009349455358460546,0.0005780865321867168,0.0008126823231577873,0.0011316465679556131,0.5119374321621515
qwen2_5_vl_7b,REAL,19,7801,0.0008937495877034962,0.000469075923319906,0.0006815700326114893,0.0010497086914256215,0.5006037883397549
qwen2_5_vl_7b,REAL,20,7801,0.002150357235223055,0.0013245252193883061,0.0018813337665051222,0.0026948838494718075,0.614959088774309
qwen2_5_vl_7b,REAL,21,7801,0.0018362586852163076,0.0008416605996899307,0.0013345923507586122,0.002262379275634885,0.6795503767572066
qwen2_5_vl_7b,REAL,22,7801,0.0021446559112519026,0.001237301854416728,0.0017876505153253675,0.0026182783767580986,0.48459139713920896
qwen2_5_vl_7b,REAL,23,7801,0.0024171865079551935,0.0011279495665803552,0.001869969884864986,0.0030834113713353872,0.5087394321296844
qwen2_5_vl_7b,REAL,24,7801,0.008118213154375553,0.003921362105756998,0.006763610988855362,0.011042322032153606,0.5648010640221357
qwen2_5_vl_7b,REAL,25,7801,0.003244781633839011,0.0017720659961923957,0.0027378425002098083,0.004093977622687817,0.5237412178149817
qwen2_5_vl_7b,REAL,26,7801,0.0015294462209567428,0.00038212951039895415,0.0008222260512411594,0.0020216028206050396,0.6899908980429673
qwen2_5_vl_7b,REAL,27,7801,0.001784259220585227,0.0006852687802165747,0.0012188253458589315,0.0022338416893035173,0.555888591150278
qwen2_5_vl_7b,REAL,28,7801,0.007606255356222391,0.003643064061179757,0.006023329216986895,0.010014117695391178,0.513999087005417
