model,label,layer,n_mentions,mean,q25,median,q75,raw_endpoint_cosine_js_real_auroc
qwen2_5_vl_7b,HALL,1,916,0.2683633863925934,0.23531271517276764,0.2693353593349457,0.3003281354904175,0.37798108684979925
qwen2_5_vl_7b,HALL,2,916,0.22613131999969482,0.19814245402812958,0.22432902455329895,0.2535179853439331,0.43819611638637757
qwen2_5_vl_7b,HALL,3,916,0.1740010529756546,0.15142041444778442,0.17168959975242615,0.19375459849834442,0.495470502885925
qwen2_5_vl_7b,HALL,4,916,0.16922757029533386,0.14401818811893463,0.16521212458610535,0.18837636709213257,0.5124708986475254
qwen2_5_vl_7b,HALL,5,916,0.14972223341464996,0.12756051123142242,0.14498040080070496,0.16644321382045746,0.6058305423837163
qwen2_5_vl_7b,HALL,6,916,0.12782657146453857,0.10095291584730148,0.11882226914167404,0.1433560699224472,0.5831682227505263
qwen2_5_vl_7b,HALL,7,916,0.12004407495260239,0.10139907896518707,0.11708448827266693,0.13568635284900665,0.5937232881911344
qwen2_5_vl_7b,HALL,8,916,0.1029154360294342,0.08446860313415527,0.09909644722938538,0.11577977985143661,0.564726683792079
qwen2_5_vl_7b,HALL,9,916,0.1513378620147705,0.1120159924030304,0.13985902070999146,0.17908376455307007,0.5716704246292464
qwen2_5_vl_7b,HALL,10,916,0.16798502206802368,0.13652892410755157,0.1625230461359024,0.1925116628408432,0.4971091070509939
qwen2_5_vl_7b,HALL,11,916,0.1325879693031311,0.10981535911560059,0.1279832273721695,0.14914405345916748,0.576490375492113
qwen2_5_vl_7b,HALL,12,916,0.17110103368759155,0.1332336664199829,0.1641918122768402,0.20131784677505493,0.5091953696452531
qwen2_5_vl_7b,HALL,13,916,0.18077154457569122,0.1453436017036438,0.17574939131736755,0.21261988580226898,0.46456394292748265
qwen2_5_vl_7b,HALL,14,916,0.17589187622070312,0.14055752754211426,0.17180781066417694,0.20404446125030518,0.4596410632608405
qwen2_5_vl_7b,HALL,15,916,0.2543010413646698,0.20214834809303284,0.24761784076690674,0.3019186854362488,0.361684959211925
qwen2_5_vl_7b,HALL,16,916,0.22105714678764343,0.17306141555309296,0.21463452279567719,0.26075148582458496,0.4321061738249883
qwen2_5_vl_7b,HALL,17,916,0.30256766080856323,0.25461751222610474,0.3002135157585144,0.34361350536346436,0.37545306866379796
qwen2_5_vl_7b,HALL,18,916,0.23616644740104675,0.19670386612415314,0.23039934039115906,0.27008646726608276,0.48041945691656374
qwen2_5_vl_7b,HALL,19,916,0.24569071829319,0.2042086124420166,0.2437792867422104,0.2818329632282257,0.3834064354082922
