model,label,layer,n_mentions,mean,q25,median,q75,raw_endpoint_js_residual_real_auroc
qwen2_5_vl_7b,HALL,1,916,-0.010233111679553986,-0.013585548847913742,-0.009453333914279938,-0.006018746644258499,0.5364407149682411
qwen2_5_vl_7b,HALL,2,916,-0.00822582095861435,-0.01653899997472763,-0.007726319134235382,-0.0003379024565219879,0.6111833299840072
qwen2_5_vl_7b,HALL,3,916,0.0036274476442486048,-0.0006368681788444519,0.00398331880569458,0.008345179259777069,0.40938808651225433
qwen2_5_vl_7b,HALL,4,916,-0.0021664160303771496,-0.007073599845170975,-0.0011229217052459717,0.003869336098432541,0.34012924667031263
qwen2_5_vl_7b,HALL,5,916,-0.01058552972972393,-0.016268569976091385,-0.007877007126808167,-0.002434059977531433,0.41104474345188086
qwen2_5_vl_7b,HALL,6,916,-0.011592956259846687,-0.01821608655154705,-0.008618362247943878,-0.0016575679183006287,0.4619883437852834
qwen2_5_vl_7b,HALL,7,916,-0.01466076448559761,-0.020465131849050522,-0.01314806193113327,-0.007126426324248314,0.34977866458728557
qwen2_5_vl_7b,HALL,8,916,-0.013909260742366314,-0.019747760146856308,-0.012478698045015335,-0.006810075603425503,0.41022558131333514
qwen2_5_vl_7b,HALL,9,916,-0.02362225390970707,-0.031654130667448044,-0.022176824510097504,-0.014859432354569435,0.41139964140752305
qwen2_5_vl_7b,HALL,10,916,-0.024874353781342506,-0.03325152024626732,-0.023289628326892853,-0.015562769025564194,0.45712207146211803
qwen2_5_vl_7b,HALL,11,916,-0.010906812734901905,-0.015493173152208328,-0.010365903377532959,-0.005253436043858528,0.381939052713542
qwen2_5_vl_7b,HALL,12,916,-0.028658373281359673,-0.037621382623910904,-0.02902769297361374,-0.019518762826919556,0.46854961770101133
qwen2_5_vl_7b,HALL,13,916,-0.022683829069137573,-0.030156370252370834,-0.023258991539478302,-0.015850352123379707,0.4937340778726722
qwen2_5_vl_7b,HALL,14,916,-0.02632783353328705,-0.03373023495078087,-0.025748588144779205,-0.018108390271663666,0.5355324784808129
qwen2_5_vl_7b,HALL,15,916,-0.0334833487868309,-0.04033264145255089,-0.03305228799581528,-0.026738762855529785,0.513851935901175
qwen2_5_vl_7b,HALL,16,916,-0.023282185196876526,-0.02923368662595749,-0.022842727601528168,-0.016713593155145645,0.4893635571298943
qwen2_5_vl_7b,HALL,17,916,-0.03585324063897133,-0.0414348840713501,-0.03602592647075653,-0.02990611270070076,0.42999553858563644
qwen2_5_vl_7b,HALL,18,916,-0.023808253929018974,-0.028717052191495895,-0.023906148970127106,-0.01916421204805374,0.49447095294579296
qwen2_5_vl_7b,HALL,19,916,-0.03348778560757637,-0.03955996781587601,-0.03317283093929291,-0.027019154280424118,0.5750232027133461
qwen2_5_vl_7b,HALL,20,916,-0.034445058554410934,-0.03951108455657959,-0.03396618366241455,-0.02916140854358673,0.4702921302777776
qwen2_5_vl_7b,HALL,21,916,-0.030160071328282356,-0.03535659611225128,-0.02973911166191101,-0.02451704442501068,0.34018130583415296
qwen2_5_vl_7b,HALL,22,916,-0.047463275492191315,-0.05517548322677612,-0.04674769937992096,-0.03873796761035919,0.5593147698565126
qwen2_5_vl_7b,HALL,23,916,-0.031945258378982544,-0.03746463358402252,-0.03127752244472504,-0.025755517184734344,0.4670130327037906
qwen2_5_vl_7b,HALL,24,916,-0.050886791199445724,-0.061962295323610306,-0.05068358778953552,-0.03985218331217766,0.5733068596624886
qwen2_5_vl_7b,HALL,25,916,-0.03182784095406532,-0.039610035717487335,-0.030509382486343384,-0.02397111803293228,0.45317698044534654
qwen2_5_vl_7b,HALL,26,916,-0.023894967511296272,-0.030654504895210266,-0.023807212710380554,-0.017164811491966248,0.3688940338518911
qwen2_5_vl_7b,HALL,27,916,-0.028827013447880745,-0.035321250557899475,-0.027955874800682068,-0.02111024409532547,0.4854228743487707
qwen2_5_vl_7b,HALL,28,916,-0.010573863051831722,-0.017837554216384888,-0.009948760271072388,-0.0027470067143440247,0.5270003033985677
qwen2_5_vl_7b,REAL,1,7801,-0.009590016677975655,-0.012600362300872803,-0.008555561304092407,-0.00559312105178833,0.5364407149682411
qwen2_5_vl_7b,REAL,2,7801,-0.0039530047215521336,-0.010792404413223267,-0.0026282072067260742,0.0034929215908050537,0.6111833299840072
qwen2_5_vl_7b,REAL,3,7801,0.0010993286268785596,-0.0034245848655700684,0.0017913281917572021,0.006613940000534058,0.40938808651225433
qwen2_5_vl_7b,REAL,4,7801,-0.007678912952542305,-0.013337358832359314,-0.006600715219974518,-0.0005235970020294189,0.34012924667031263
qwen2_5_vl_7b,REAL,5,7801,-0.014017113484442234,-0.02025623619556427,-0.011560559272766113,-0.005187109112739563,0.41104474345188086
qwen2_5_vl_7b,REAL,6,7801,-0.014573621563613415,-0.024365589022636414,-0.010124698281288147,-0.002040356397628784,0.4619883437852834
qwen2_5_vl_7b,REAL,7,7801,-0.021185757592320442,-0.029861658811569214,-0.020037531852722168,-0.011315770447254181,0.34977866458728557
qwen2_5_vl_7b,REAL,8,7801,-0.016701139509677887,-0.022145308554172516,-0.01567170023918152,-0.009932272136211395,0.41022558131333514
qwen2_5_vl_7b,REAL,9,7801,-0.02723752148449421,-0.03554762899875641,-0.027190089225769043,-0.01836507022380829,0.41139964140752305
qwen2_5_vl_7b,REAL,10,7801,-0.02667737379670143,-0.03520685434341431,-0.02543039619922638,-0.017242133617401123,0.45712207146211803
qwen2_5_vl_7b,REAL,11,7801,-0.01413634978234768,-0.019343361258506775,-0.013745635747909546,-0.008582912385463715,0.381939052713542
qwen2_5_vl_7b,REAL,12,7801,-0.029614988714456558,-0.03957371413707733,-0.031012147665023804,-0.02097366750240326,0.46854961770101133
qwen2_5_vl_7b,REAL,13,7801,-0.022788889706134796,-0.03103792667388916,-0.023541077971458435,-0.015162810683250427,0.4937340778726722
qwen2_5_vl_7b,REAL,14,7801,-0.02468671277165413,-0.03149805963039398,-0.024337083101272583,-0.017501845955848694,0.5355324784808129
