model,label,layer,n_mentions,mean,q25,median,q75,raw_kappa_real_auroc
qwen2_5_vl_7b,HALL,1,916,0.8254702091217041,0.7897781729698181,0.8414269089698792,0.8762676119804382,0.5151059040129778
qwen2_5_vl_7b,HALL,2,916,0.6915456056594849,0.6336320638656616,0.6971654891967773,0.7497120499610901,0.5401577672552338
qwen2_5_vl_7b,HALL,3,916,0.6148033738136292,0.5515930652618408,0.6028990149497986,0.6680907607078552,0.5349097977025675
qwen2_5_vl_7b,HALL,4,916,0.5213280320167542,0.45745202898979187,0.5207756757736206,0.5818200707435608,0.5544130917041763
qwen2_5_vl_7b,HALL,5,916,0.6098456978797913,0.5550311803817749,0.6023651361465454,0.6546748876571655,0.6210617662386807
qwen2_5_vl_7b,HALL,6,916,0.602788507938385,0.5549888014793396,0.6081261038780212,0.6543679237365723,0.5555763061392309
qwen2_5_vl_7b,HALL,7,916,0.5732237100601196,0.5299837589263916,0.5685510635375977,0.6070684194564819,0.5773797195410508
qwen2_5_vl_7b,HALL,8,916,0.4961434602737427,0.44213834404945374,0.48482149839401245,0.5393713712692261,0.5149650503882326
qwen2_5_vl_7b,HALL,9,916,0.47223901748657227,0.42782050371170044,0.46612125635147095,0.5064712166786194,0.582457587175309
qwen2_5_vl_7b,HALL,10,916,0.5535785555839539,0.4611826241016388,0.5404499769210815,0.6298829913139343,0.5601529643775376
qwen2_5_vl_7b,HALL,11,916,0.5178154110908508,0.48331791162490845,0.5156396627426147,0.5511648654937744,0.44342260453676025
qwen2_5_vl_7b,HALL,12,916,0.4947033226490021,0.4580549895763397,0.49055540561676025,0.5307417511940002,0.5266373586635685
qwen2_5_vl_7b,HALL,13,916,0.46661457419395447,0.4247277081012726,0.4673708975315094,0.5051025152206421,0.3974296627517802
qwen2_5_vl_7b,HALL,14,916,0.45349064469337463,0.40914422273635864,0.4468388557434082,0.4869896173477173,0.4302237172594041
qwen2_5_vl_7b,HALL,15,916,0.47495973110198975,0.4266687035560608,0.4757988452911377,0.5183783173561096,0.4243387226696387
qwen2_5_vl_7b,HALL,16,916,0.3976774215698242,0.3534923791885376,0.39205050468444824,0.43346965312957764,0.4163125150789647
qwen2_5_vl_7b,HALL,17,916,0.48156726360321045,0.4290195405483246,0.47730371356010437,0.526009202003479,0.4281836837624109
qwen2_5_vl_7b,HALL,18,916,0.36998793482780457,0.32750505208969116,0.36310333013534546,0.40297526121139526,0.42080520692398077
qwen2_5_vl_7b,HALL,19,916,0.4708726108074188,0.41385677456855774,0.464735209941864,0.5209202766418457,0.34444700852930626
qwen2_5_vl_7b,HALL,20,916,0.5311065912246704,0.4779217839241028,0.5269911289215088,0.5837315917015076,0.4387054425336803
qwen2_5_vl_7b,HALL,21,916,0.47634294629096985,0.42746031284332275,0.4687134027481079,0.5189957022666931,0.5120251070711458
qwen2_5_vl_7b,HALL,22,916,0.5906609296798706,0.5269565582275391,0.5843126177787781,0.656443178653717,0.4201625841273289
qwen2_5_vl_7b,HALL,23,916,0.4961519241333008,0.4409519135951996,0.4868807792663574,0.5422375202178955,0.38959433876185395
qwen2_5_vl_7b,HALL,24,916,0.559207558631897,0.4765295684337616,0.5488748550415039,0.6361691951751709,0.5040343053096429
qwen2_5_vl_7b,HALL,25,916,0.47236523032188416,0.40421101450920105,0.46373647451400757,0.5264385342597961,0.46769141118958546
qwen2_5_vl_7b,HALL,26,916,0.383373886346817,0.3228130340576172,0.3740368187427521,0.43488866090774536,0.5260817810279613
qwen2_5_vl_7b,HALL,27,916,0.38837042450904846,0.328590989112854,0.3794064223766327,0.43978697061538696,0.49716809344228063
qwen2_5_vl_7b,HALL,28,916,0.5207785367965698,0.451535165309906,0.5122236609458923,0.5823558568954468,0.4516172347179765
qwen2_5_vl_7b,REAL,1,7801,0.8315514326095581,0.8004505634307861,0.8489763140678406,0.8728729486465454,0.5151059040129778
qwen2_5_vl_7b,REAL,2,7801,0.7026364803314209,0.6476905941963196,0.7081490159034729,0.7608475089073181,0.5401577672552338
qwen2_5_vl_7b,REAL,3,7801,0.6243849992752075,0.5637576580047607,0.6165532469749451,0.6772710084915161,0.5349097977025675
qwen2_5_vl_7b,REAL,4,7801,0.5383939743041992,0.47448989748954773,0.5362520217895508,0.6007871627807617,0.5544130917041763
qwen2_5_vl_7b,REAL,5,7801,0.6397618055343628,0.5858827829360962,0.6387671232223511,0.6920209527015686,0.6210617662386807
qwen2_5_vl_7b,REAL,6,7801,0.6161577105522156,0.5763331055641174,0.6227139830589294,0.6627709865570068,0.5555763061392309
qwen2_5_vl_7b,REAL,7,7801,0.5891793966293335,0.5434973239898682,0.5853005647659302,0.6308361887931824,0.5773797195410508
qwen2_5_vl_7b,REAL,8,7801,0.4999932050704956,0.44871556758880615,0.4871431291103363,0.5398266315460205,0.5149650503882326
qwen2_5_vl_7b,REAL,9,7801,0.48861977458000183,0.446517676115036,0.4828461706638336,0.524034857749939,0.582457587175309
qwen2_5_vl_7b,REAL,10,7801,0.574966311454773,0.489482045173645,0.5622560381889343,0.6480618715286255,0.5601529643775376
qwen2_5_vl_7b,REAL,11,7801,0.5085503458976746,0.47496554255485535,0.5043109655380249,0.5393602848052979,0.44342260453676025
qwen2_5_vl_7b,REAL,12,7801,0.49745678901672363,0.46574902534484863,0.4999959468841553,0.5293921828269958,0.5266373586635685
qwen2_5_vl_7b,REAL,13,7801,0.4469987750053406,0.4108956456184387,0.4464839994907379,0.47998958826065063,0.3974296627517802
qwen2_5_vl_7b,REAL,14,7801,0.43697184324264526,0.4014415740966797,0.4337955415248871,0.4681176543235779,0.4302237172594041
qwen2_5_vl_7b,REAL,15,7801,0.45853719115257263,0.4200093150138855,0.4532633125782013,0.4918575584888458,0.4243387226696387
qwen2_5_vl_7b,REAL,16,7801,0.37991487979888916,0.3421056568622589,0.3746912479400635,0.4128994941711426,0.4163125150789647
qwen2_5_vl_7b,REAL,17,7801,0.46296992897987366,0.41871094703674316,0.4570065140724182,0.5024572610855103,0.4281836837624109
qwen2_5_vl_7b,REAL,18,7801,0.3546465337276459,0.31952160596847534,0.3440350592136383,0.3800092339515686,0.42080520692398077
qwen2_5_vl_7b,REAL,19,7801,0.43008074164390564,0.3781445324420929,0.42033064365386963,0.47183018922805786,0.34444700852930626
qwen2_5_vl_7b,REAL,20,7801,0.5147810578346252,0.47187304496765137,0.5137412548065186,0.557262659072876,0.4387054425336803
qwen2_5_vl_7b,REAL,21,7801,0.47800445556640625,0.4254320561885834,0.47583261132240295,0.5255462527275085,0.5120251070711458
qwen2_5_vl_7b,REAL,22,7801,0.5641123056411743,0.49818021059036255,0.5632983446121216,0.6278017163276672,0.4201625841273289
qwen2_5_vl_7b,REAL,23,7801,0.4660404622554779,0.41717299818992615,0.4606586992740631,0.5079519748687744,0.38959433876185395
qwen2_5_vl_7b,REAL,24,7801,0.5593400597572327,0.47010815143585205,0.556357204914093,0.6451082825660706,0.5040343053096429
qwen2_5_vl_7b,REAL,25,7801,0.46120384335517883,0.4038880169391632,0.4522322416305542,0.5075777173042297,0.46769141118958546
qwen2_5_vl_7b,REAL,26,7801,0.39136600494384766,0.33103808760643005,0.3811788856983185,0.4384746253490448,0.5260817810279613
qwen2_5_vl_7b,REAL,27,7801,0.38950803875923157,0.3255388140678406,0.37739649415016174,0.4416428506374359,0.49716809344228063
qwen2_5_vl_7b,REAL,28,7801,0.5028982758522034,0.4472758173942566,0.4954395890235901,0.5522977113723755,0.4516172347179765
