model,label,layer,n_mentions,mean,q25,median,q75,raw_log1p_strength_real_auroc
qwen2_5_vl_7b,HALL,1,916,0.8689701557159424,0.6526768207550049,0.8295222520828247,1.0750656127929688,0.6814179292879818
qwen2_5_vl_7b,HALL,2,916,0.3161819577217102,0.22670245170593262,0.2946457862854004,0.38451945781707764,0.6883800727596787
qwen2_5_vl_7b,HALL,3,916,0.32382577657699585,0.21029680967330933,0.2650129199028015,0.36211657524108887,0.66580046002388
qwen2_5_vl_7b,HALL,4,916,0.546241044998169,0.35518547892570496,0.4650803506374359,0.6575844287872314,0.6936557512221309
qwen2_5_vl_7b,HALL,5,916,0.7665290832519531,0.48446640372276306,0.675622820854187,0.9783488512039185,0.6551826297042871
qwen2_5_vl_7b,HALL,6,916,1.2505478858947754,0.9378992915153503,1.2173171043395996,1.544180154800415,0.6387734273234481
qwen2_5_vl_7b,HALL,7,916,1.0253548622131348,0.7516247034072876,0.9831424355506897,1.2644450664520264,0.6965085794061785
qwen2_5_vl_7b,HALL,8,916,1.6298028230667114,1.2291810512542725,1.6736443042755127,2.047370433807373,0.5897765878184915
qwen2_5_vl_7b,HALL,9,916,2.185070753097534,1.8129072189331055,2.1998186111450195,2.5977859497070312,0.608534190275684
qwen2_5_vl_7b,HALL,10,916,2.7732489109039307,2.5718438625335693,2.8345680236816406,3.0513968467712402,0.6292265883502788
qwen2_5_vl_7b,HALL,11,916,1.8022159337997437,1.6016016006469727,1.8000949621200562,2.024254560470581,0.6940820206120702
qwen2_5_vl_7b,HALL,12,916,2.2351372241973877,2.012458324432373,2.299253225326538,2.527099847793579,0.5841214512303596
qwen2_5_vl_7b,HALL,13,916,2.3731818199157715,2.1759896278381348,2.4436964988708496,2.618673086166382,0.6347100836361255
qwen2_5_vl_7b,HALL,14,916,2.3902223110198975,2.2245702743530273,2.4610915184020996,2.6568403244018555,0.6559486830990764
qwen2_5_vl_7b,HALL,15,916,2.9411680698394775,2.745638370513916,3.000277042388916,3.2055552005767822,0.521112509929026
qwen2_5_vl_7b,HALL,16,916,2.241682767868042,1.971848726272583,2.2207701206207275,2.5418989658355713,0.557688200874482
qwen2_5_vl_7b,HALL,17,916,2.67071533203125,2.4293770790100098,2.7449498176574707,3.0072898864746094,0.6311247886146049
qwen2_5_vl_7b,HALL,18,916,2.230005979537964,1.9177799224853516,2.310214042663574,2.587644100189209,0.6621353969287332
qwen2_5_vl_7b,HALL,19,916,2.3187496662139893,2.1027534008026123,2.3918638229370117,2.5896313190460205,0.6636910143084332
qwen2_5_vl_7b,HALL,20,916,3.0866572856903076,2.900639295578003,3.154303550720215,3.324964761734009,0.6496143983332111
qwen2_5_vl_7b,HALL,21,916,2.755113124847412,2.5260024070739746,2.831782341003418,3.050563335418701,0.6899151883450167
qwen2_5_vl_7b,HALL,22,916,3.531952142715454,3.381572961807251,3.582218647003174,3.7422430515289307,0.514548507105516
qwen2_5_vl_7b,HALL,23,916,3.5097320079803467,3.2436094284057617,3.592153787612915,3.806417942047119,0.6711670321070695
qwen2_5_vl_7b,HALL,24,916,3.3951425552368164,3.073655605316162,3.517014503479004,3.80595064163208,0.5904902321894685
qwen2_5_vl_7b,HALL,25,916,3.0685856342315674,2.7327463626861572,3.1238787174224854,3.4914891719818115,0.5676643180333503
qwen2_5_vl_7b,HALL,26,916,2.9635047912597656,2.5505597591400146,3.0392162799835205,3.4463202953338623,0.6073480250264633
qwen2_5_vl_7b,HALL,27,916,3.8717153072357178,3.546522855758667,3.966794013977051,4.286138534545898,0.5763570088707696
qwen2_5_vl_7b,HALL,28,916,4.403396129608154,4.0457353591918945,4.51400899887085,4.85311222076416,0.5812695326822392
qwen2_5_vl_7b,REAL,1,7801,1.108385443687439,0.8025659918785095,1.0925973653793335,1.3831614255905151,0.6814179292879818
qwen2_5_vl_7b,REAL,2,7801,0.41320082545280457,0.29092779755592346,0.39733314514160156,0.5183814764022827,0.6883800727596787
qwen2_5_vl_7b,REAL,3,7801,0.43916377425193787,0.2608306407928467,0.36563482880592346,0.5031680464744568,0.66580046002388
qwen2_5_vl_7b,REAL,4,7801,0.7895352244377136,0.46141117811203003,0.6998153924942017,1.0932899713516235,0.6936557512221309
qwen2_5_vl_7b,REAL,5,7801,0.9957440495491028,0.6265415549278259,0.9823570847511292,1.265450358390808,0.6551826297042871
qwen2_5_vl_7b,REAL,6,7801,1.4699310064315796,1.1543149948120117,1.4573882818222046,1.7552186250686646,0.6387734273234481
qwen2_5_vl_7b,REAL,7,7801,1.3397479057312012,0.9806605577468872,1.3348432779312134,1.7347252368927002,0.6965085794061785
qwen2_5_vl_7b,REAL,8,7801,1.7802410125732422,1.4232237339019775,1.9213346242904663,2.1368229389190674,0.5897765878184915
qwen2_5_vl_7b,REAL,9,7801,2.3833136558532715,2.079669713973999,2.433283805847168,2.733269691467285,0.608534190275684
qwen2_5_vl_7b,REAL,10,7801,2.925025224685669,2.733684778213501,3.010594606399536,3.195377826690674,0.6292265883502788
qwen2_5_vl_7b,REAL,11,7801,2.0044772624969482,1.816925048828125,2.0471975803375244,2.234621286392212,0.6940820206120702
qwen2_5_vl_7b,REAL,12,7801,2.3469672203063965,2.181218147277832,2.3835573196411133,2.5970351696014404,0.5841214512303596
qwen2_5_vl_7b,REAL,13,7801,2.5221500396728516,2.389460802078247,2.588991641998291,2.731389284133911,0.6347100836361255
qwen2_5_vl_7b,REAL,14,7801,2.575873613357544,2.4007058143615723,2.6553995609283447,2.8583176136016846,0.6559486830990764
qwen2_5_vl_7b,REAL,15,7801,2.985830068588257,2.830497980117798,3.0066709518432617,3.2019882202148438,0.521112509929026
qwen2_5_vl_7b,REAL,16,7801,2.3279948234558105,2.0858147144317627,2.288271903991699,2.5915908813476562,0.557688200874482
qwen2_5_vl_7b,REAL,17,7801,2.8614070415496826,2.7200510501861572,2.904118061065674,3.0882441997528076,0.6311247886146049
qwen2_5_vl_7b,REAL,18,7801,2.494091272354126,2.3072052001953125,2.535769462585449,2.7605197429656982,0.6621353969287332
qwen2_5_vl_7b,REAL,19,7801,2.5274176597595215,2.3540899753570557,2.5738093852996826,2.7482681274414062,0.6636910143084332
qwen2_5_vl_7b,REAL,20,7801,3.2414629459381104,3.1409811973571777,3.2975411415100098,3.4075071811676025,0.6496143983332111
qwen2_5_vl_7b,REAL,21,7801,3.0063788890838623,2.8196001052856445,3.0646042823791504,3.2635674476623535,0.6899151883450167
qwen2_5_vl_7b,REAL,22,7801,3.5511958599090576,3.410604476928711,3.5907981395721436,3.7417781352996826,0.514548507105516
qwen2_5_vl_7b,REAL,23,7801,3.7433242797851562,3.5629420280456543,3.8172144889831543,4.000903129577637,0.6711670321070695
qwen2_5_vl_7b,REAL,24,7801,3.564789295196533,3.2891311645507812,3.645504951477051,3.914013147354126,0.5904902321894685
qwen2_5_vl_7b,REAL,25,7801,3.2071454524993896,2.955326557159424,3.2680933475494385,3.512422561645508,0.5676643180333503
qwen2_5_vl_7b,REAL,26,7801,3.205153226852417,2.922954797744751,3.2621676921844482,3.5335144996643066,0.6073480250264633
qwen2_5_vl_7b,REAL,27,7801,4.029385566711426,3.7394869327545166,4.090020179748535,4.363317489624023,0.5763570088707696
qwen2_5_vl_7b,REAL,28,7801,4.579394817352295,4.3187575340271,4.641304969787598,4.897360324859619,0.5812695326822392
