feature_set,dimensions,formal_ae_ensemble_auroc,old_ev_ensemble_auroc,old_ev_minus_ae_auroc,auroc_ci95_low,auroc_ci95_high,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,seed43_auroc,seed44_auroc,seed45_auroc
A,56,0.8341006184141364,0.846779342921751,0.012678724507614647,-0.008035959234640433,0.0341371264258037,0.367763838241195,0.4122850057549868,0.3224043715846994,0.36165128383738704,0.8289342322033958,0.8330564051547447,0.8380005432731148
B,28,0.7877036833211626,0.7930517485280474,0.0053480652068848,-0.03280462295295592,0.04363035369082535,0.2858494690138826,0.3899585921325051,0.10200364298724955,0.16120086612498216,0.7907128519369097,0.7842941153643986,0.7863031675644783
F,84,0.8693745656460893,0.8692017060186901,-0.00017285962739921334,-0.003905267422773495,0.0033625766608930863,0.4107529878909884,0.4870791507284782,0.2167577413479053,0.2997143978284526,0.8658062490519178,0.8657286386069631,0.8670003915799722
C_JS,56,0.7998426624615916,0.809265276028603,0.009422613567011351,-0.0242296453863591,0.04350551067435651,0.31567922724436576,0.3470860645006679,0.18397085610200362,0.24040424364368027,0.7944169868097521,0.8017229518779964,0.800147812620164
D_JS,56,0.8218311126162834,0.8223285250134936,0.0004974123972102396,-0.029674433155630196,0.031338050748650044,0.3203970417399227,0.3958307731380211,0.14025500910746813,0.20431113338264886,0.8170474870090698,0.8108439430339334,0.8206687198157105
E_JS,56,0.8054447254883284,0.8139219027258906,0.00847717723756225,-0.02183147501303793,0.03918121077927934,0.31916435643300134,0.37156775370885703,0.22586520947176683,0.2771246823512685,0.7933128018428952,0.8082775067291785,0.8010544437271359
G_JS,168,0.8717663784496961,0.8771109159090829,0.005344537459386789,-0.0002819232781311853,0.010729280394755115,0.4127496495971236,0.4717317826971632,0.17122040072859745,0.24655752578613166,0.8691734840387064,0.8759749812147446,0.8740064981108912
H_JS,196,0.8824095926509965,0.884625018079706,0.00221542542870945,-0.002921335041409201,0.007230151003536666,0.433932947331188,0.4894566271615452,0.23315118397085607,0.3097725814179973,0.8803529158596946,0.8854752052267107,0.873697820204821
C_OT,56,0.8054165035083448,0.8106993053865176,0.00528280187817276,-0.02480396278674015,0.03494879097125281,0.32533676253716554,0.3829923273657289,0.23132969034608375,0.2817340293218283,0.7958122109451893,0.8075543184920997,0.793009415558072
D_OT,56,0.8252494999417921,0.8354376347158576,0.01018813477406555,-0.017474885873894452,0.0389896444896734,0.34676283795919116,0.4126676602086438,0.2805100182149362,0.3338522142612388,0.8214889211089829,0.8276871734628722,0.8256304966715703
E_OT,56,0.8117170605396749,0.8035150476069526,-0.008202012932722269,-0.03677003683358046,0.020862767641138723,0.31782859107806544,0.359962319639739,0.20765027322404372,0.2609135497397881,0.7900672741447858,0.7995251651867766,0.7848744298278106
G_OT,168,0.8722673185944043,0.8725742326267254,0.0003069140323210817,-0.003551861205272719,0.004315746707977116,0.4037546696553019,0.4663345410628019,0.12750455373406192,0.19721495494827476,0.8685067397615949,0.8681469095168044,0.8730469507914502
H_OT,196,0.8912360168908551,0.8899113477053766,-0.0013246691854784665,-0.007014567447482808,0.004109105727659101,0.45004014593615843,0.520878721859114,0.33515482695810567,0.40282131661442006,0.887129718803247,0.8858315077240032,0.8852564848818383
