model,label,layer,n_mentions,mean,q25,median,q75,raw_relative_strength_real_auroc
qwen2_5_vl_7b,HALL,1,916,0.5144819021224976,0.4803175628185272,0.5168685913085938,0.5454675555229187,0.565042187514869
qwen2_5_vl_7b,HALL,2,916,0.2869105339050293,0.2576662302017212,0.27810704708099365,0.30807915329933167,0.5954814045226539
qwen2_5_vl_7b,HALL,3,916,0.30635324120521545,0.2765796482563019,0.29695096611976624,0.3291674852371216,0.483210639773537
qwen2_5_vl_7b,HALL,4,916,0.3244379758834839,0.30642464756965637,0.32593420147895813,0.3435622751712799,0.5428821268575466
qwen2_5_vl_7b,HALL,5,916,0.38461971282958984,0.35948148369789124,0.3833993673324585,0.4058423638343811,0.5705443653232231
qwen2_5_vl_7b,HALL,6,916,0.38578128814697266,0.36854419112205505,0.38601362705230713,0.40600764751434326,0.5400731011419989
qwen2_5_vl_7b,HALL,7,916,0.42254364490509033,0.40417906641960144,0.4173133969306946,0.4350064694881439,0.5020665528828743
qwen2_5_vl_7b,HALL,8,916,0.46093350648880005,0.44377678632736206,0.4575534462928772,0.4730994701385498,0.4463102088020291
qwen2_5_vl_7b,HALL,9,916,0.43763306736946106,0.4182703495025635,0.436676561832428,0.45727401971817017,0.484254342042141
qwen2_5_vl_7b,HALL,10,916,0.4971444606781006,0.4705807566642761,0.48919641971588135,0.5143734216690063,0.4911157958138834
qwen2_5_vl_7b,HALL,11,916,0.3995254635810852,0.38540545105934143,0.3998466432094574,0.4115498661994934,0.5868623242233528
qwen2_5_vl_7b,HALL,12,916,0.4229871332645416,0.4138031303882599,0.42274269461631775,0.4312509000301361,0.4525118966384894
qwen2_5_vl_7b,HALL,13,916,0.4188011884689331,0.40877750515937805,0.41828280687332153,0.42704564332962036,0.5193593616091096
qwen2_5_vl_7b,HALL,14,916,0.42011862993240356,0.4096362590789795,0.4191596508026123,0.43006905913352966,0.42808012521068567
qwen2_5_vl_7b,HALL,15,916,0.4024897515773773,0.39146602153778076,0.4018591642379761,0.4124262034893036,0.47864510708234137
qwen2_5_vl_7b,HALL,16,916,0.39397233724594116,0.38296282291412354,0.392316997051239,0.40242281556129456,0.5678230145166699
qwen2_5_vl_7b,HALL,17,916,0.3972994089126587,0.386463463306427,0.39649149775505066,0.4072560667991638,0.5800362762807814
qwen2_5_vl_7b,HALL,18,916,0.36802753806114197,0.35570356249809265,0.36581605672836304,0.37859606742858887,0.5417543882236574
qwen2_5_vl_7b,HALL,19,916,0.3801230788230896,0.3654766082763672,0.37699389457702637,0.3916977047920227,0.45500031067565516
qwen2_5_vl_7b,HALL,20,916,0.3712286353111267,0.35804566740989685,0.3704140782356262,0.3831923305988312,0.5645152983969696
qwen2_5_vl_7b,HALL,21,916,0.37078267335891724,0.35836294293403625,0.36899447441101074,0.3822615146636963,0.6615678540820822
qwen2_5_vl_7b,HALL,22,916,0.37996917963027954,0.36306232213974,0.3786848187446594,0.39491432905197144,0.3489760158394204
qwen2_5_vl_7b,HALL,23,916,0.3611074686050415,0.34387874603271484,0.3569071292877197,0.37465083599090576,0.5512679904994825
qwen2_5_vl_7b,HALL,24,916,0.35707205533981323,0.3308519721031189,0.35306721925735474,0.37980517745018005,0.44357311429673385
qwen2_5_vl_7b,HALL,25,916,0.2995637357234955,0.2831818759441376,0.29827773571014404,0.31328439712524414,0.4456903968755545
qwen2_5_vl_7b,HALL,26,916,0.27646684646606445,0.2630491256713867,0.2737794518470764,0.28704267740249634,0.5141176895359402
qwen2_5_vl_7b,HALL,27,916,0.30869683623313904,0.29437312483787537,0.3063235580921173,0.3206768035888672,0.4229157022193437
qwen2_5_vl_7b,HALL,28,916,0.408009797334671,0.3753964304924011,0.3986228108406067,0.4349268972873688,0.48592086503297915
qwen2_5_vl_7b,REAL,1,7801,0.5236494541168213,0.4994809329509735,0.5316126346588135,0.5501139760017395,0.565042187514869
qwen2_5_vl_7b,REAL,2,7801,0.298277884721756,0.26848462224006653,0.2938590943813324,0.3204999566078186,0.5954814045226539
qwen2_5_vl_7b,REAL,3,7801,0.3051823079586029,0.27017682790756226,0.29553768038749695,0.3301338851451874,0.483210639773537
qwen2_5_vl_7b,REAL,4,7801,0.32884669303894043,0.30801576375961304,0.331879585981369,0.34922653436660767,0.5428821268575466
qwen2_5_vl_7b,REAL,5,7801,0.39308223128318787,0.36767342686653137,0.39303070306777954,0.4156137704849243,0.5705443653232231
qwen2_5_vl_7b,REAL,6,7801,0.391171932220459,0.3710680305957794,0.39051172137260437,0.4098881483078003,0.5400731011419989
qwen2_5_vl_7b,REAL,7,7801,0.422925740480423,0.4052169919013977,0.41667842864990234,0.43641918897628784,0.5020665528828743
