model,case_id,layer,strategy,lambda,finite_effect_norm
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,highest_p_ffn_token,0.0,4.129011631011963
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,highest_p_ffn_token,0.25,4.29580545425415
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,highest_p_ffn_token,0.5,4.46569299697876
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,highest_p_ffn_token,0.75,4.638409614562988
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,highest_p_ffn_token,1.0,4.813714504241943
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,highest_p_ffn_token,1.25,4.991405487060547
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,highest_8_region,0.0,3.260035753250122
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,highest_8_region,0.25,3.635960817337036
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,highest_8_region,0.5,4.021470069885254
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,highest_8_region,0.75,4.414523601531982
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,highest_8_region,1.0,4.813714504241943
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,highest_8_region,1.25,5.218033790588379
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,deterministic_random_region,0.0,4.759551525115967
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,deterministic_random_region,0.25,4.772510051727295
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,deterministic_random_region,0.5,4.785861492156982
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,deterministic_random_region,0.75,4.799596786499023
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,deterministic_random_region,1.0,4.813714504241943
qwen2_5_vl_7b,qwen2_5_vl_7b:103558:64:14,14,deterministic_random_region,1.25,4.828213214874268
qwen2_5_vl_7b,qwen2_5_vl_7b:108645:35:7,7,highest_p_ffn_token,0.0,0.6044443249702454
qwen2_5_vl_7b,qwen2_5_vl_7b:108645:35:7,7,highest_p_ffn_token,0.25,0.6075320839881897
qwen2_5_vl_7b,qwen2_5_vl_7b:108645:35:7,7,highest_p_ffn_token,0.5,0.6109897494316101
qwen2_5_vl_7b,qwen2_5_vl_7b:108645:35:7,7,highest_p_ffn_token,0.75,0.6148086786270142
qwen2_5_vl_7b,qwen2_5_vl_7b:108645:35:7,7,highest_p_ffn_token,1.0,0.6189836859703064
qwen2_5_vl_7b,qwen2_5_vl_7b:108645:35:7,7,highest_p_ffn_token,1.25,0.6235058307647705
