model,case_id,layer,strategy,lambda,finite_effect_norm
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,highest_p_ffn_token,0.0,2.9856884479522705
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,highest_p_ffn_token,0.25,3.099449634552002
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,highest_p_ffn_token,0.5,3.214069366455078
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,highest_p_ffn_token,0.75,3.3294613361358643
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,highest_p_ffn_token,1.0,3.4455509185791016
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,highest_p_ffn_token,1.25,3.5622754096984863
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,highest_8_region,0.0,2.356494903564453
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,highest_8_region,0.25,2.62477970123291
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,highest_8_region,0.5,2.8963205814361572
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,highest_8_region,0.75,3.170123338699341
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,highest_8_region,1.0,3.4455509185791016
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,highest_8_region,1.25,3.7221899032592773
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,deterministic_random_region,0.0,3.2474725246429443
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,deterministic_random_region,0.25,3.296438694000244
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,deterministic_random_region,0.5,3.3457858562469482
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,deterministic_random_region,0.75,3.3954954147338867
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,deterministic_random_region,1.0,3.4455509185791016
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,deterministic_random_region,1.25,3.4959373474121094
