feature_set,dimensions,ensemble_auroc,mean_real_aupr,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,ae32_ensemble_auroc,product_minus_ae32_auroc,full_ae_ensemble_auroc,product_minus_full_ae_auroc,ensemble_hall_aupr,mean_seed_auroc,std_seed_auroc,full_ae_cosine_ensemble_auroc,product_minus_full_ae_cosine_auroc
A,56,0.8455887281411947,0.9755109530389713,0.3866871007829209,0.46174986305090254,0.3296903460837887,0.3828420609015842,0.8424296302567847,0.0031590978844099338,0.8341006184141364,0.011488109727058271,0.4105035407759471,0.8352012756334953,0.0021185702487546837,0.8376918653670444,0.007896862774150248
B,28,0.8017335351204903,0.9674950961444383,0.31745422401887,0.44005602240896363,0.13114754098360656,0.19979858212416354,0.8030740791697093,-0.0013405440492190168,0.7877036833211626,0.014029851799327697,0.32388157911633614,0.7941253596832553,0.0034626075193887745,0.795133119551835,0.006600415568655316
F,84,0.8689053752288626,0.9815293223236633,0.4099616930374947,0.49346540671971706,0.16757741347905283,0.2500696801361124,0.8721720694119598,-0.0032666941830972185,0.8693745656460893,-0.00046919041722670585,0.4141261688760687,0.8657797909456834,0.0014286665992476817,0.8658715123806299,0.0030338628482327046
C_JS,56,0.8173367623039012,0.9721703948167212,0.336293151228998,0.3675741151350908,0.22950819672131148,0.2819916534832457,0.8159538852847068,0.001382877019194373,0.7998426624615916,0.01749409984230954,0.34668612286120765,0.8085273888436162,0.005386007547091411,0.8144069680068579,0.00292979429704332
D_JS,56,0.83361378925942,0.974957088545778,0.35605966981804665,0.3872734745287456,0.2258652094717669,0.28322106752104576,0.8179541181160417,0.015659671143378295,0.8218311126162834,0.011782676643136591,0.36439180005219013,0.8277024603686965,0.0023454088621168733,0.8315747512056076,0.0020390380538123365
E_JS,56,0.8256657741465497,0.9731794801222962,0.3543293299584134,0.42047619047619045,0.26229508196721313,0.3226493139628733,0.8157951366472993,0.009870637499250434,0.8054447254883284,0.020221048658221386,0.36183691324037837,0.8173355863880687,0.002331116636054534,0.8235350146577908,0.00213075948875896
G_JS,168,0.8718175307884163,0.9820328658483435,0.3995266464151035,0.4557759134743898,0.14025500910746813,0.20773963467989098,0.8804904980121144,-0.008672967223698147,0.8717663784496961,5.1152338720217294e-05,0.4073328495931041,0.8679164300136053,0.002632450368087628,0.8669333643775113,0.004884166410904944
H_JS,196,0.8851541802043977,0.9836623935586251,0.43730921438042464,0.5048209366391184,0.26958105646630237,0.3490095469475052,0.8866570006385223,-0.00150282043412453,0.8824095926509965,0.0027445875534012343,0.45030870271683704,0.8791270236041585,0.0018091584510866567,0.8799190029174472,0.005235177286950554
C_OT,56,0.8181340332384369,0.9722914699261898,0.33435452298622925,0.38228137049114225,0.23497267759562845,0.2881262840752388,0.8192770234277711,-0.0011429901893341698,0.8054165035083448,0.012717529730092103,0.3471857962955656,0.8095251534276183,0.0028984409875973654,0.8100625469631386,0.0080714862752983
D_OT,56,0.8382174997442383,0.9750533091639445,0.38083625616634603,0.4199189581086526,0.27140255009107467,0.3293025788075969,0.8377095041045343,0.0005079956397040508,0.8252494999417921,0.012967999802446228,0.3911846182453175,0.8305011400503997,0.003472945528012355,0.8398825965632684,-0.001665096819030043
E_OT,56,0.8215488928164478,0.9716632258313497,0.34413847752159277,0.40628923408571566,0.2877959927140255,0.3354738041585444,0.8158515806072665,0.005697312209181349,0.8117170605396749,0.009831832276772978,0.3525450020708302,0.8111097000121119,0.005455171201787979,0.8121262792494366,0.00942261356701124
G_OT,168,0.8752905982001433,0.9827655617841232,0.41249835265030455,0.4943635231870526,0.20947176684881605,0.28239192611361585,0.8834185284354086,-0.008127930235265257,0.8722673185944043,0.0030232796057390043,0.4178266969347166,0.8724096044101547,0.0023026984283800412,0.8735620019261501,0.0017285962739932437
H_OT,196,0.887129718803247,0.983939184372015,0.43201100024013733,0.5194922390714884,0.24225865209471767,0.32967774405552297,0.8911689896883941,-0.004039270885147106,0.8912360168908551,-0.004106298087608096,0.4470174686543225,0.8810278915476347,0.0017565144100901953,0.8872708287031648,-0.00014110989991777956
AE+I,56,0.8435055932436579,0.9773626472186282,0.34800105330836434,0.3721224450256708,0.122040072859745,0.18136179066411626,0.849354598595251,-0.005849005351593051,0.8443734191281526,-0.0008678258844946329,0.3543644708696085,0.8410514569009209,0.0031546852276460404,,
AE+S,56,0.8687430988439572,0.9814964837305521,0.3974134719787346,0.4711685942876093,0.13296903460837886,0.20567741379679005,0.872919951881524,-0.004176853037566874,0.8670427245499476,0.001700374294009599,0.4012603815179181,0.8651377409010572,0.0015757333585807204,,
AE+I+S,84,0.8584420761499574,0.9793406839329647,0.38292696656304487,0.43418803418803414,0.15300546448087432,0.22045552746991595,0.8613454123407663,-0.0029033361908089583,0.8616417431305938,-0.003199666980636451,0.3887814150267089,0.854808496227074,0.003516356826374584,,
AE+N,56,0.8668381151950668,0.9807692000420302,0.41393017115062203,0.49702380952380953,0.23132969034608378,0.31354698226342204,0.869512147798509,-0.0026740326034422335,0.8678999671919483,-0.0010618519968814688,0.4237249461523859,0.8619368980045884,0.0021932289879195467,,
AE+S+N,84,0.8797073380675704,0.982549550388725,0.44573301262436754,0.5284147241244149,0.2859744990892532,0.3684696956716689,0.881721681888897,-0.002014343821326592,0.8799613358874224,-0.0002539978198520254,0.4551867097706961,0.8736278532127785,0.0009773933414073252,,
U,112,0.8824589811159678,0.9834278588272108,0.42785044697506885,0.48804320875168417,0.2477231329690346,0.32307360140066027,0.8848331551820847,-0.002374174066116952,0.8811748810267157,0.0012841000892520604,0.43565056991484336,0.8774119503622408,0.005992230095452187,,
D_OT+strength,84,0.8696197440971966,0.9816051812248773,0.4029349602568799,0.4648124467178176,0.2040072859744991,0.28267240291053786,0.8727365090116308,-0.0031167649144342446,0.8697202849008879,-0.00010054080369137353,0.40811754577217424,0.8661008159679963,0.0017158566373586658,,
