feature_set,dimensions,ensemble_auroc,mean_real_aupr,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,full_ae_ensemble_auroc,top32_minus_full_auroc,ensemble_hall_aupr,full_ae_ensemble_hall_aupr,mean_seed_auroc,std_seed_auroc
A,56,0.8424296302567847,0.9753359417154588,0.39582457243123054,0.4542971220987586,0.35701275045537334,0.3990241457978927,0.8341006184141364,0.008329011842648337,0.41611833835189826,0.40804092040830825,0.8309256456659858,0.005922580786684142
B,28,0.8030740791697093,0.9684751769423391,0.3392269634345269,0.43466074068208216,0.17486338797814208,0.24883762381279761,0.7877036833211626,0.015370395848546714,0.3455822067247383,0.3352341096127483,0.7962855170678304,0.002169472611808319
F,84,0.8721720694119598,0.9821859320732483,0.41469380242407367,0.49269369883875885,0.21129326047358835,0.29060115252543667,0.8693745656460893,0.0027975037658705126,0.42096829829235843,0.4118804706319382,0.8693581028244323,0.0007273797504158217
C_JS,56,0.8159538852847068,0.9707926002521751,0.3432695017350446,0.39887925696594423,0.2568306010928962,0.31074110706956154,0.7998426624615916,0.016111222823115168,0.3538966356096686,0.3725319853904893,0.8048720544778286,0.004812850617600686
D_JS,56,0.8179541181160417,0.972626765544277,0.3556708402984606,0.44328703703703703,0.20218579234972678,0.2749735343332739,0.8218311126162834,-0.003876994500241704,0.3637024425669928,0.3742000082764767,0.8122409310431197,0.0015958505790108738
E_JS,56,0.8157951366472993,0.9706405166931823,0.3516206736424483,0.4163068261428917,0.24225865209471764,0.29897852834786126,0.8054447254883284,0.010350411158970951,0.36555187323246663,0.38409965260837003,0.8059427258434549,0.003593379351825594
G_JS,168,0.8804904980121144,0.9835464723400099,0.4187825798181757,0.47956857956857957,0.23132969034608378,0.3027911208151383,0.8717663784496961,0.008724119562418364,0.4248918340589579,0.4090441352672944,0.8768175249088372,0.0024964533882244865
H_JS,196,0.8866570006385223,0.9840756271478669,0.44272841749106573,0.5348239449851565,0.2641165755919854,0.34972396622645596,0.8824095926509965,0.004247407987525764,0.4557519700846503,0.42997739894538733,0.8824225277251555,0.0014448220915907342
C_OT,56,0.8192770234277711,0.9727248599781354,0.34771814380612365,0.4203944203944204,0.2367941712204007,0.2974530404412723,0.8054165035083448,0.013860519919426273,0.35678537636908575,0.3651780977795811,0.8107598650518991,0.001897688984938924
D_OT,56,0.8377095041045343,0.975558199262152,0.39593146801628204,0.4420723244252656,0.2914389799635701,0.3508098463908435,0.8252494999417921,0.012460004162742178,0.40554461081780924,0.39146984786912653,0.8310373576700875,0.004977129016597513
E_OT,56,0.8158515806072665,0.9718064092486388,0.3530554190667791,0.38173031182397277,0.2477231329690346,0.2994302580367185,0.8117170605396749,0.004134520067591629,0.36271585623010577,0.38554514902010556,0.8101460369872565,0.003324236897624094
G_OT,168,0.8834185284354086,0.9840827384588303,0.42335244835994557,0.474153028858316,0.2477231329690346,0.32153050806255573,0.8722673185944043,0.011151209841004261,0.4274696505702175,0.4103648876513041,0.8801400750939852,0.003669644649353314
H_OT,196,0.8911689896883941,0.9849457838179161,0.44510807822461046,0.5184614305480907,0.2586520947176685,0.3446099714904494,0.8912360168908551,-6.70272024609897e-05,0.45909103741042256,0.4490732323755327,0.8868110456125992,0.002204471192755463
AE+I,56,0.849354598595251,0.9784273415713901,0.3539996784015172,0.37493909282527166,0.10382513661202186,0.16221161460364739,0.8443734191281526,0.004981179467098418,0.36197349835788456,0.35452234266900734,0.8465324005968949,0.004339149499037799
AE+S,56,0.872919951881524,0.9821485174219422,0.40413503530536893,0.4619140119140119,0.12750455373406192,0.19960372353495334,0.8670427245499476,0.005877227331576473,0.408361228621225,0.39633327593228596,0.8692334557461715,0.0013578024697695325
AE+I+S,84,0.8613454123407663,0.9792027455029809,0.3910100304338388,0.43149364763006165,0.20036429872495445,0.2667510068940358,0.8616417431305938,-0.0002963307898274925,0.3970652851559539,0.3939537796236896,0.855367056247582,0.0020139212573342573
AE+N,56,0.869512147798509,0.9813050459085196,0.4197591964981589,0.5124277364843403,0.22586520947176683,0.31052005021238355,0.8678999671919483,0.0016121806065607647,0.43020787170345937,0.41300951310354017,0.8652047681035183,0.004153167252740519
AE+S+N,84,0.881721681888897,0.9829577901509592,0.4464749286808538,0.5102363242477409,0.2604735883424408,0.34408699705086193,0.8799613358874224,0.0017603460014745664,0.45487290853017026,0.45025329823318466,0.8763301077962043,0.0015350562199485825
U,112,0.8848331551820847,0.9838241132746116,0.4312910372059516,0.47557079472967323,0.26229508196721313,0.3370904940085338,0.8811748810267157,0.0036582741553690123,0.44068241019125554,0.43159072176893254,0.8801012698715077,0.005306223482196291
D_OT+strength,84,0.8727365090116308,0.9820436286041048,0.41599952710154997,0.5037308638644233,0.20947176684881605,0.292711196055131,0.8697202849008879,0.003016224110742871,0.42360954291964775,0.40624695870827654,0.8693063625277957,0.002277734701392415
