model,metric,label,layer,n_mentions,mean,q25,median,q75
qwen2_5_vl_7b,spearman,REAL,1,7801,0.9931512679760159,0.9913591780635889,0.9942758374252711,0.9962975825781818
qwen2_5_vl_7b,spearman,REAL,2,7801,0.9357151919149503,0.9108797933336059,0.9464651630361723,0.9694269917064587
qwen2_5_vl_7b,spearman,REAL,3,7801,0.9791103983896876,0.9750645251242678,0.9817108294930875,0.9861359345868131
qwen2_5_vl_7b,spearman,REAL,4,7801,0.9890780437075241,0.9871894151947087,0.9908393800823718,0.9931482870717679
qwen2_5_vl_7b,spearman,REAL,5,7801,0.9914343963739058,0.9891258175511007,0.9928669795677468,0.9950977531368544
qwen2_5_vl_7b,spearman,REAL,6,7801,0.9891040651336892,0.9870711430025909,0.990507975765557,0.9929442680082067
qwen2_5_vl_7b,spearman,REAL,7,7801,0.9981583100438159,0.9978442879846581,0.9985797530056049,0.9989912684339296
qwen2_5_vl_7b,spearman,REAL,8,7801,0.9979689356390624,0.9975122299046738,0.9985662492421717,0.9990769551967944
qwen2_5_vl_7b,spearman,REAL,9,7801,0.9976995421292426,0.9971928204468808,0.9980063940337935,0.9985698627276998
qwen2_5_vl_7b,spearman,REAL,10,7801,0.9952340483437226,0.9938885922261881,0.9965410913529291,0.9977936282739205
qwen2_5_vl_7b,spearman,REAL,11,7801,0.9936043185024709,0.9925384431053729,0.99471585547743,0.9962109212902621
qwen2_5_vl_7b,spearman,REAL,12,7801,0.9968497381036393,0.9962272831838049,0.9971799622436395,0.9978751819143525
qwen2_5_vl_7b,spearman,REAL,13,7801,0.9980486816007405,0.9976871685128901,0.9982955153417401,0.9986981069218045
qwen2_5_vl_7b,spearman,REAL,14,7801,0.99822860211769,0.9978962226105658,0.9984142821008002,0.9987822553770672
qwen2_5_vl_7b,spearman,REAL,15,7801,0.9986994988631636,0.9984634447126483,0.9988071482773712,0.9990641072482505
qwen2_5_vl_7b,spearman,REAL,16,7801,0.9973408896345248,0.9968398043215251,0.997607789733309,0.9981430699370049
qwen2_5_vl_7b,spearman,REAL,17,7801,0.9984776609909894,0.9981992797118847,0.9986377493318593,0.9989436802043599
qwen2_5_vl_7b,spearman,REAL,18,7801,0.9977894490813104,0.9973649974543167,0.9980847121808096,0.9985521967984519
qwen2_5_vl_7b,spearman,REAL,19,7801,0.9984438632555688,0.9981697516613381,0.9985654462453878,0.9988562043752958
qwen2_5_vl_7b,spearman,REAL,20,7801,0.999178964701361,0.9990566754531054,0.9993031995406858,0.9994617088552107
qwen2_5_vl_7b,spearman,REAL,21,7801,0.998348916118564,0.9980698160257281,0.9984627109158242,0.9987749639093613
qwen2_5_vl_7b,spearman,REAL,22,7801,0.9981363456349632,0.9977934959930459,0.9983113589907492,0.9986838341313161
qwen2_5_vl_7b,spearman,REAL,23,7801,0.9974410305800131,0.9968718370068708,0.9977052359405301,0.9983096917696844
qwen2_5_vl_7b,spearman,REAL,24,7801,0.9930666493087353,0.9912204772731257,0.9939282439657533,0.9959099358807068
qwen2_5_vl_7b,spearman,REAL,25,7801,0.9970204148425758,0.9964210433337215,0.9972710154295832,0.997900265130424
qwen2_5_vl_7b,spearman,REAL,26,7801,0.9978280855140791,0.9973678673500995,0.9983277591973244,0.9988856412130069
qwen2_5_vl_7b,spearman,REAL,27,7801,0.9983069166891954,0.9979423207410054,0.9985901383964957,0.9990056970172533
qwen2_5_vl_7b,spearman,REAL,28,7801,0.9704121882290518,0.9590209062695428,0.9880263826951962,0.9928361535885966
qwen2_5_vl_7b,spearman,HALL,1,916,0.9935703150395471,0.9921395715584803,0.9950588596642671,0.9968320568301214
qwen2_5_vl_7b,spearman,HALL,2,916,0.9434933513751347,0.9229809518527634,0.9590410906850244,0.9755699490690141
qwen2_5_vl_7b,spearman,HALL,3,916,0.9781722586051993,0.9738818713957155,0.9810191655422035,0.9860720088604709
qwen2_5_vl_7b,spearman,HALL,4,916,0.9887590665219714,0.9864684512584733,0.990166077908254,0.9926509019859163
qwen2_5_vl_7b,spearman,HALL,5,916,0.9917864144289827,0.9899783917831919,0.9932409897304423,0.9951829212573737
qwen2_5_vl_7b,spearman,HALL,6,916,0.9889291547964038,0.986659891878795,0.9908287729807642,0.9933607724026066
qwen2_5_vl_7b,spearman,HALL,7,916,0.9981178301302911,0.9978180354355898,0.9985077345178552,0.9989378320828837
qwen2_5_vl_7b,spearman,HALL,8,916,0.9979786217578162,0.9975553341087219,0.9984197130817047,0.9989292539758379
qwen2_5_vl_7b,spearman,HALL,9,916,0.9971943212848043,0.9965732157781841,0.9975466634375434,0.9981334841628959
qwen2_5_vl_7b,spearman,HALL,10,916,0.9943437057371055,0.9929335773176234,0.9956112870039698,0.9971234686969932
qwen2_5_vl_7b,spearman,HALL,11,916,0.9941631052227008,0.9932699508447494,0.9953530756241898,0.99660841007409
qwen2_5_vl_7b,spearman,HALL,12,916,0.9965630402125517,0.9959084000916276,0.9970316026281885,0.9977725775896986
qwen2_5_vl_7b,spearman,HALL,13,916,0.9979586513351139,0.9975887925916744,0.9981675696084087,0.998603740604875
qwen2_5_vl_7b,spearman,HALL,14,916,0.9979723288833428,0.9976036416197441,0.9982580899548847,0.9987064976053746
qwen2_5_vl_7b,spearman,HALL,15,916,0.9987740498246634,0.9985536311793215,0.9988836337210469,0.9991330253691406
qwen2_5_vl_7b,spearman,HALL,16,916,0.997252991367182,0.9967239343764062,0.9975555673481054,0.9980648903860623
qwen2_5_vl_7b,spearman,HALL,17,916,0.9980978732109964,0.9977001301854922,0.9983044375642416,0.9986451518219612
qwen2_5_vl_7b,spearman,HALL,18,916,0.9969542967124883,0.9963100792156327,0.9972830201070984,0.9979716301236213
qwen2_5_vl_7b,spearman,HALL,19,916,0.9982323623437128,0.9978752483607444,0.9983379482969499,0.9986834272746958
qwen2_5_vl_7b,spearman,HALL,20,916,0.9992064265422477,0.9990703770444952,0.9992792436117289,0.9994480444179643
qwen2_5_vl_7b,spearman,HALL,21,916,0.9981964045792004,0.9978480658725313,0.9983423145934761,0.9986886796759153
qwen2_5_vl_7b,spearman,HALL,22,916,0.9980206045249146,0.9976703219137304,0.9981836365082197,0.9986185523821061
qwen2_5_vl_7b,spearman,HALL,23,916,0.997195464957554,0.9966279732764041,0.9974751127296091,0.99810919351018
qwen2_5_vl_7b,spearman,HALL,24,916,0.990692719744935,0.9881706528765353,0.9918977426217888,0.9944852697531319
qwen2_5_vl_7b,spearman,HALL,25,916,0.9965799847537093,0.9958435127442327,0.9967963217711386,0.9976110788979233
qwen2_5_vl_7b,spearman,HALL,26,916,0.9966420468683764,0.9957341591331282,0.9975484666592633,0.9985656460820874
qwen2_5_vl_7b,spearman,HALL,27,916,0.9974034353555618,0.9968700767754033,0.9979118581702671,0.9986028536219013
qwen2_5_vl_7b,spearman,HALL,28,916,0.9710239119450544,0.9666238303418527,0.989697947841651,0.9931850610961894
qwen2_5_vl_7b,js,REAL,1,7801,0.0008351079962352552,0.0004223428823655607,0.0006465171081746046,0.0009970361476998415
qwen2_5_vl_7b,js,REAL,2,7801,0.009256652907313827,0.004497292836497375,0.0076400140696293905,0.012744001420426034
qwen2_5_vl_7b,js,REAL,3,7801,0.005025659333986057,0.0025947869314447737,0.0037515726536348115,0.006316541538161318
qwen2_5_vl_7b,js,REAL,4,7801,0.0033947627315470677,0.00201755606549134,0.002673621448074338,0.0037146807223529337
qwen2_5_vl_7b,js,REAL,5,7801,0.0021017627146732104,0.0012391376063888271,0.0016502548483240567,0.0022567471566324387
qwen2_5_vl_7b,js,REAL,6,7801,0.0019380906888768056,0.0013335104365273772,0.0016899731521234692,0.002224009359749118
qwen2_5_vl_7b,js,REAL,7,7801,0.0005370282640889707,0.0002452137678652954,0.00035492823682629513,0.0006090432084073585
qwen2_5_vl_7b,js,REAL,8,7801,0.000661294820587968,0.00029403517369404157,0.0004215233741715189,0.0006929681930468997
qwen2_5_vl_7b,js,REAL,9,7801,0.001429508404708185,0.0008008622517300417,0.001171437774751762,0.0017450049970590981
qwen2_5_vl_7b,js,REAL,10,7801,0.0034860100462983327,0.0005796823316768626,0.001681170142394804,0.0046115870668688224
qwen2_5_vl_7b,js,REAL,11,7801,0.0021506234569883998,0.001095897295850874,0.001543398176881105,0.0022970402958865043
qwen2_5_vl_7b,js,REAL,12,7801,0.0013184047158447953,0.0008597125965891793,0.0011326419811509515,0.0015460394195812414
qwen2_5_vl_7b,js,REAL,13,7801,0.001047091326614492,0.000612627416867482,0.0008270680554754472,0.001190914307422743
qwen2_5_vl_7b,js,REAL,14,7801,0.000903142801406237,0.0005422285630097059,0.0007405976055053541,0.0010763279711878543
qwen2_5_vl_7b,js,REAL,15,7801,0.0013771512871800736,0.0007523439528911667,0.001151813789180727,0.0017328097192377346
qwen2_5_vl_7b,js,REAL,16,7801,0.001472949640982689,0.0008729983697393299,0.0012077988375122388,0.001730106660121042
qwen2_5_vl_7b,js,REAL,17,7801,0.0012527045342627392,0.0008059320811181618,0.0011008178760703294,0.001536686407405551
qwen2_5_vl_7b,js,REAL,18,7801,0.0010109336944179033,0.0007114118024019907,0.0008988852897251036,0.0011589878724479283
qwen2_5_vl_7b,js,REAL,19,7801,0.0009794701803656311,0.0005405114749249432,0.0007302450420742111,0.0010822901524322388
qwen2_5_vl_7b,js,REAL,20,7801,0.002621924214959196,0.0017040612313221262,0.00230454501179548,0.0032299448090926364
qwen2_5_vl_7b,js,REAL,21,7801,0.002144548071341572,0.0009986083356834877,0.0015397952621574902,0.0026273202728606844
qwen2_5_vl_7b,js,REAL,22,7801,0.0024004361507218037,0.0014924665517568438,0.002058969179944298,0.002875736295789697
qwen2_5_vl_7b,js,REAL,23,7801,0.002616896539824635,0.0014137989140205571,0.002127877707977255,0.003240066816294841
qwen2_5_vl_7b,js,REAL,24,7801,0.008434230037895542,0.004247657607764624,0.007075846632878734,0.011468751447482078
qwen2_5_vl_7b,js,REAL,25,7801,0.0031326321856738424,0.0019177627590084914,0.0027281309200943736,0.003849750212144479
