layer,r_cos_hallucination_mean,r_cos_hallucination_sem,r_cos_non_hallucination_mean,r_cos_non_hallucination_sem,r_cos_diff_h_minus_non
0,0.41779873,0.00184961,0.40005544,0.00066729,0.01774329
1,0.31543678,0.00151365,0.30296588,0.00053799,0.01247090
2,0.26432064,0.00128294,0.25386301,0.00045744,0.01045763
3,0.29649246,0.00298513,0.30222312,0.00111290,-0.00573066
4,0.24955326,0.00213339,0.22778897,0.00069234,0.02176429
5,0.23279178,0.00181425,0.21348150,0.00063272,0.01931028
6,0.23856674,0.00225051,0.21995437,0.00078871,0.01861237
7,0.18525368,0.00148846,0.18507664,0.00052811,0.00017704
8,0.22001711,0.00200888,0.21016547,0.00059731,0.00985163
9,0.26228577,0.00234835,0.24310467,0.00092935,0.01918110
10,0.23599064,0.00218883,0.23920600,0.00068099,-0.00321536
11,0.31561315,0.00264647,0.29094133,0.00089689,0.02467182
12,0.30062008,0.00258578,0.26699910,0.00086298,0.03362098
13,0.34317389,0.00258882,0.32076836,0.00092098,0.02240553
14,0.28468189,0.00205352,0.25062662,0.00078977,0.03405526
15,0.30697256,0.00213709,0.26911786,0.00080861,0.03785470
16,0.35023659,0.00228071,0.33196953,0.00092510,0.01826707
17,0.37632972,0.00239052,0.34881842,0.00100079,0.02751130
18,0.31050438,0.00226476,0.27458841,0.00089707,0.03591597
19,0.30826536,0.00289451,0.26588678,0.00113522,0.04237857
20,0.23167771,0.00268589,0.18751028,0.00096581,0.04416743
21,0.17656985,0.00195600,0.14538217,0.00062991,0.03118768
22,0.19747375,0.00195636,0.16645643,0.00058925,0.03101732
23,0.20475782,0.00198955,0.17454864,0.00054844,0.03020918
24,0.19520995,0.00187608,0.16778041,0.00057078,0.02742954
25,0.19160107,0.00168196,0.17385687,0.00057571,0.01774420
26,0.21213657,0.00182947,0.19408187,0.00059507,0.01805469
27,0.50002331,0.00274111,0.51254898,0.00094149,-0.01252568
