model,source_mode,category,layer,n_pairs,n_images,pair_raw_cosine_mean,pair_raw_cosine_std,pair_raw_cosine_sem,pair_centered_cosine_mean,pair_centered_cosine_std,pair_centered_cosine_sem,pair_js_normalized_mean,pair_js_normalized_std,pair_js_normalized_sem,pair_total_variation_mean,pair_total_variation_std,pair_total_variation_sem,pair_topk_overlap_fraction_mean,pair_topk_overlap_fraction_std,pair_topk_overlap_fraction_sem,image_raw_cosine_mean,image_raw_cosine_std,image_raw_cosine_sem,image_centered_cosine_mean,image_centered_cosine_std,image_centered_cosine_sem,image_js_normalized_mean,image_js_normalized_std,image_js_normalized_sem,image_total_variation_mean,image_total_variation_std,image_total_variation_sem,image_topk_overlap_fraction_mean,image_topk_overlap_fraction_std,image_topk_overlap_fraction_sem,specificity_pair_js_mean,specificity_pair_js_std,specificity_pair_js_sem,specificity_uniform_js_mean,specificity_uniform_js_std,specificity_uniform_js_sem,specificity_ratio_mean,specificity_ratio_std,specificity_ratio_sem,specificity_random_overlap_mean,specificity_random_overlap_std,specificity_random_overlap_sem
qwen3_vl_8b,hmid_cos,all,1,28952,3466,0.9373755356,0.06905414992,0.000405835934,0.9493650962,0.05058441317,0.0002972880354,0.07215326477,0.07845698972,0.0004610970629,0.2222129836,0.1390807502,0.0008173870247,0.9273841185,0.05397719012,0.0003172276162,0.9368271972,0.04805095261,0.0008161833345,0.9481601569,0.03713887601,0.0006308331057,0.07305811146,0.05232124891,0.0008887176858,0.222151195,0.0917727186,0.001558832019,0.9266316226,0.04346270683,0.0007382483606,0.07305811146,0.05232124891,0.0008887176858,0.3409471338,0.09374762611,0.001592377381,0.2286353563,0.1670054657,0.002836719576,0.1240014494,0.03268687593,0.0005552123724
qwen3_vl_8b,hmid_cos,all,2,28952,3466,0.9245863168,0.09092336063,0.0005343627723,0.7880191529,0.2885550162,0.001695857449,0.02938584487,0.03487116093,0.0002049401837,0.1412431135,0.08297976075,0.0004876776957,0.678537968,0.251607727,0.001478715718,0.9241920803,0.06550115992,0.001112588871,0.7880918193,0.2110636923,0.003585083309,0.0298266666,0.02510889835,0.0004264944454,0.1423868329,0.05901857983,0.001002477135,0.6773182745,0.188880335,0.003208281486,0.0298266666,0.02510889835,0.0004264944454,0.08181852447,0.02416458257,0.000410454497,0.4207593961,0.3857215107,0.006551784131,0.1240014494,0.03268687593,0.0005552123724
qwen3_vl_8b,hmid_cos,all,3,28952,3466,0.9127218862,0.1152070709,0.0006770797886,0.8322465063,0.2960279379,0.001739776318,0.04005943431,0.05539630013,0.0003255678223,0.1623636234,0.1051662046,0.0006180689349,0.7595891476,0.2375049823,0.001395832929,0.912646866,0.08496753614,0.001443240627,0.8331878494,0.2272886192,0.003860676491,0.04096412875,0.04162584769,0.0007070478591,0.1641446138,0.07764680587,0.001318892249,0.7645199619,0.1846045878,0.003135654547,0.04096412875,0.04162584769,0.0007070478591,0.1126730158,0.04385998471,0.0007449964388,0.4143493998,0.4183628926,0.007106223752,0.1240014494,0.03268687593,0.0005552123724
qwen3_vl_8b,hmid_cos,all,4,28952,3466,0.8979030563,0.1119352413,0.0006578510237,0.7217881321,0.3680854464,0.002163263195,0.04186357935,0.04688657522,0.0002755555904,0.1679055749,0.09481791315,0.0005572513222,0.6456419246,0.2938538716,0.001726999182,0.8972232453,0.08275888395,0.001405724927,0.7239738606,0.2812320996,0.004776949059,0.04287523109,0.03545029494,0.0006021512242,0.1690896055,0.06938275341,0.001178520799,0.6491713809,0.2281634835,0.003875536751,0.04287523109,0.03545029494,0.0006021512242,0.0919070571,0.03642941227,0.0006187823044,0.5639015743,0.4917013637,0.008351935535,0.1240014494,0.03268687593,0.0005552123724
qwen3_vl_8b,hmid_cos,all,5,28952,3466,0.9338877364,0.08178945635,0.0004806821958,0.8714829733,0.2180206888,0.001281322411,0.0301119162,0.03738457419,0.0002197116843,0.1389933939,0.08568240857,0.0005035613407,0.7833785231,0.1987587668,0.001168118786,0.9345740778,0.06102576735,0.001036570798,0.8743366342,0.1705996939,0.002897770378,0.03040628146,0.02824930047,0.0004798366527,0.1392379305,0.06218729915,0.001056300332,0.7876962639,0.1547361381,0.002628315367,0.03040628146,0.02824930047,0.0004798366527,0.1361836144,0.04176839163,0.0007094690804,0.2724764804,0.3068272135,0.005211702258,0.1240014494,0.03268687593,0.0005552123724
qwen3_vl_8b,hmid_cos,all,6,28952,3466,0.9497166222,0.08645566451,0.0005081058184,0.8476035464,0.2129315597,0.001251413254,0.0224818672,0.05119016957,0.000300848107,0.1174537999,0.07582462469,0.0004456264746,0.7070571549,0.1923201784,0.001130278764,0.9486837651,0.06360811948,0.001080434086,0.8495308289,0.1650117204,0.002802854238,0.02333055114,0.03846236969,0.0006533136899,0.1193266884,0.05681849182,0.0009651069043,0.7113832008,0.1511727261,0.002567788004,0.02333055114,0.03846236969,0.0006533136899,0.08168301135,0.02904229683,0.0004933063213,0.299740047,0.3240774799,0.005504711642,0.1240014494,0.03268687593,0.0005552123724
qwen3_vl_8b,hmid_cos,all,7,28952,3466,0.9781060994,0.04451215445,0.000261600958,0.7629805141,0.2472643637,0.001453189477,0.008890327124,0.01963939799,0.0001154220773,0.07785692591,0.03799498196,0.0002232990922,0.5270771449,0.1975259029,0.001160873161,0.9785604298,0.03126823254,0.0005311155952,0.7768085236,0.1777304538,0.003018891958,0.008852307702,0.01519783089,0.0002581471462,0.07760597882,0.02768182127,0.0004701975708,0.536263894,0.1511308092,0.002567076012,0.008852307702,0.01519783089,0.0002581471462,0.02222969335,0.01330798403,0.0002260466066,0.4462666149,0.3567649439,0.006059934003,0.1240014494,0.03268687593,0.0005552123724
qwen3_vl_8b,hmid_cos,all,8,28952,3466,0.9680106247,0.04059109743,0.0002385566394,0.2098401231,0.3341530934,0.001963840449,0.01111524369,0.01249738229,7.344796539e-05,0.08898271405,0.03390779131,0.0001992783949,0.1934052483,0.1685688013,0.0009906903064,0.9669770995,0.03185697371,0.0005411158286,0.2113325881,0.2393214815,0.00406506415,0.0115973202,0.01057510625,0.0001796265216,0.09048953947,0.02784834561,0.0004730261181,0.1929488465,0.1134269948,0.001926646983,0.0115973202,0.01057510625,0.0001796265216,0.007350483463,0.004736605705,8.045498432e-05,1.563061775,0.482602498,0.008197384124,0.1240014494,0.03268687593,0.0005552123724
qwen3_vl_8b,hmid_cos,all,9,28952,3466,0.9471235039,0.0554504941,0.0003258863239,0.181762973,0.4918024272,0.002890356302,0.01951707,0.02068868022,0.0001215887803,0.1153049693,0.05216568785,0.0003065812942,0.2390767477,0.2452995479,0.001441642121,0.9437102869,0.04213406359,0.000715680307,0.1832641478,0.3363226598,0.005712705681,0.02090692891,0.01581226415,0.0002685837799,0.1190886425,0.03951387214,0.0006711742884,0.2439121122,0.168781814,0.002866892253,0.02090692891,0.01581226415,0.0002685837799,0.01336943997,0.007287959747,0.0001237917453,1.610735356,0.6624417943,0.01125209644,0.1240014494,0.03268687593,0.0005552123724
qwen3_vl_8b,hmid_cos,all,10,28952,3466,0.9736300176,0.02421904985,0.0001423370026,0.2617650367,0.3118912484,0.001833006073,0.009132483142,0.007316772906,4.300117183e-05,0.08306781828,0.026820784,0.0001576275711,0.2503076212,0.1867365797,0.001097463575,0.9725196928,0.01876572654,0.0003187506684,0.2890232684,0.2165241528,0.003677833538,0.009588324411,0.005681339472,9.65020326e-05,0.08502612608,0.02107919276,0.0003580467172,0.2579149616,0.1344369288,0.002283517285,0.009588324411,0.005681339472,9.65020326e-05,0.00695479942,0.00368850664,6.265219492e-05,1.425167818,0.4272410066,0.007257025521,0.1240014494,0.03268687593,0.0005552123724
