model,label,layer,n_mentions,mean,q25,median,q75,raw_ae_real_auroc
qwen3_vl_8b,HALL,1,2593,0.525784969329834,0.4922322630882263,0.5295283794403076,0.5618993043899536,0.5641210801820487
qwen3_vl_8b,HALL,2,2593,0.4887721538543701,0.4441792368888855,0.49263516068458557,0.5327194929122925,0.5643902055270328
qwen3_vl_8b,HALL,3,2593,0.5160353183746338,0.48998212814331055,0.5131973028182983,0.5394189357757568,0.5523773445419954
qwen3_vl_8b,HALL,4,2593,0.5280799865722656,0.4924628734588623,0.52315354347229,0.5570350885391235,0.5747277027476883
qwen3_vl_8b,HALL,5,2593,0.5160200595855713,0.48130372166633606,0.5162508487701416,0.5501259565353394,0.5983189990339814
qwen3_vl_8b,HALL,6,2593,0.5245156288146973,0.49041759967803955,0.5201817750930786,0.5521568059921265,0.5975569247447714
qwen3_vl_8b,HALL,7,2593,0.5251830220222473,0.4836916923522949,0.5180056095123291,0.560600996017456,0.6084674223133945
qwen3_vl_8b,HALL,8,2593,0.5307557582855225,0.4916679263114929,0.5291917324066162,0.5668667554855347,0.6092923223512061
qwen3_vl_8b,HALL,9,2593,0.5812088251113892,0.5261712074279785,0.5792626142501831,0.6366735100746155,0.539584288569451
qwen3_vl_8b,HALL,10,2593,0.5875352621078491,0.5254802107810974,0.5844062566757202,0.6481518745422363,0.5398271750176811
qwen3_vl_8b,HALL,11,2593,0.5760857462882996,0.5269167423248291,0.5748100280761719,0.6250538229942322,0.5795652068774488
qwen3_vl_8b,HALL,12,2593,0.5978606343269348,0.5400926470756531,0.597273588180542,0.6557106971740723,0.5624882074138466
qwen3_vl_8b,HALL,13,2593,0.5805994272232056,0.5347028970718384,0.5782319903373718,0.6263332366943359,0.6011943487289131
qwen3_vl_8b,HALL,14,2593,0.6378940343856812,0.5722876191139221,0.6434590816497803,0.706142246723175,0.5389073847027389
qwen3_vl_8b,HALL,15,2593,0.639379620552063,0.5774922966957092,0.6417127847671509,0.7085800170898438,0.5781251609507432
qwen3_vl_8b,HALL,16,2593,0.6388039588928223,0.5744631290435791,0.6407743692398071,0.7076426148414612,0.5474607468616961
qwen3_vl_8b,HALL,17,2593,0.6007259488105774,0.5441619157791138,0.6006615161895752,0.6595243215560913,0.5860607391988705
qwen3_vl_8b,HALL,18,2593,0.6532615423202515,0.5824451446533203,0.660434901714325,0.7304107546806335,0.5461390507643354
qwen3_vl_8b,HALL,19,2593,0.640202522277832,0.5759998559951782,0.6436778903007507,0.7106326222419739,0.5101949812260772
qwen3_vl_8b,HALL,20,2593,0.6504648923873901,0.579531192779541,0.6601206064224243,0.7297174334526062,0.5134600044469513
qwen3_vl_8b,HALL,21,2593,0.6634215712547302,0.5905206203460693,0.6740298867225647,0.7513676881790161,0.5076226743010184
qwen3_vl_8b,HALL,22,2593,0.6914301514625549,0.6170075535774231,0.7113487720489502,0.7846357226371765,0.5171287863466034
qwen3_vl_8b,HALL,23,2593,0.6489405632019043,0.5870019197463989,0.6638509035110474,0.7247720956802368,0.5120109923861662
qwen3_vl_8b,HALL,24,2593,0.6965805292129517,0.6278877258300781,0.7181050777435303,0.7850180864334106,0.5053656424023083
qwen3_vl_8b,HALL,25,2593,0.6910899877548218,0.6333665251731873,0.7093355655670166,0.7684155702590942,0.5128955776702748
qwen3_vl_8b,HALL,26,2593,0.695080041885376,0.6274440884590149,0.7154576778411865,0.786008894443512,0.5838958339352629
qwen3_vl_8b,HALL,27,2593,0.7097141742706299,0.6524341702461243,0.7256317138671875,0.7860190868377686,0.5541036943612909
qwen3_vl_8b,HALL,28,2593,0.7221200466156006,0.663427472114563,0.7448901534080505,0.802713930606842,0.5981897045541053
qwen3_vl_8b,HALL,29,2593,0.7641029357910156,0.7058500051498413,0.7900717258453369,0.8462465405464172,0.5981708615402783
qwen3_vl_8b,HALL,30,2593,0.7435998916625977,0.6904312372207642,0.7648705244064331,0.8179222345352173,0.556301402171469
qwen3_vl_8b,HALL,31,2593,0.7356525659561157,0.6863152980804443,0.7598680853843689,0.8122308850288391,0.5960232290393455
qwen3_vl_8b,HALL,32,2593,0.7806103229522705,0.7300454378128052,0.8083773255348206,0.8627884387969971,0.597243282779621
qwen3_vl_8b,HALL,33,2593,0.7919320464134216,0.736228346824646,0.8222039341926575,0.8786406517028809,0.5390036096933488
qwen3_vl_8b,HALL,34,2593,0.7650641202926636,0.7114177942276001,0.7889672517776489,0.8444609642028809,0.5532757480362439
qwen3_vl_8b,HALL,35,2593,0.7314451336860657,0.670318603515625,0.7503013610839844,0.8100389242172241,0.5816564359569927
qwen3_vl_8b,HALL,36,2593,0.5855064988136292,0.5345724821090698,0.581203043460846,0.6324080228805542,0.635754100553859
