new,baseline,ensemble_auroc_delta,ensemble_hall_aupr_delta
AE+I,AE,0.017069467984279996,0.024070980840061873
AE+S,AE,0.03047907038488007,0.03164869664754055
AE+S,AE+I,0.013409602400600074,0.00757771580747868
AE+I+S,AE+I,0.031366252056841515,0.06791605952983992
AE+I+S,AE+S,0.01795664965624144,0.06033834372236124
AE+N,AE+S,0.001044242542117102,0.011017953192796637
AE+N,AE+S+kappa,-0.005544596025549575,-0.008784464804478365
AE+S+kappa,AE+S,0.006588838567666677,0.019802417997275
AE+S+N,AE+S,0.009645158203131166,0.03730836111347646
AE+S+kappa,AE+S+N,-0.0030563196354644884,-0.01750594311620146
U,AE+S+kappa,0.005139788033428072,0.007958610991891546
H_OT,U,0.006797223997357493,0.01999176940618208
H_JS,U,0.003899508827824305,0.014532606987195273
