feature_set,dimensions,ensemble_auroc,mean_real_aupr,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,mean_seed_auroc,std_seed_auroc,ensemble_real_aupr,ensemble_hall_aupr,seed43_auroc,seed44_auroc,seed45_auroc
AE,36,0.8484397333901377,0.9604018462696673,0.5514457869168046,0.6057853817572608,0.3546511627906977,0.4462274496941467,0.8402797715889877,0.0013970565582842127,0.9628978243578222,0.5662655839874434,0.8386170616728256,0.8420353545176418,0.840186898576496
AE+I,72,0.8655092013744177,0.9660417216249892,0.5811599308124398,0.6308721617219685,0.43604651162790703,0.5156150077427607,0.8606954979485612,0.003427368503418003,0.9672346925418694,0.5903365648275053,0.8621742627014777,0.8559585884125351,0.8639536427316705
AE+S,72,0.8789188037750177,0.970729006184618,0.588758494399738,0.6109840541026265,0.4857881136950904,0.5395834388345909,0.8746860068926696,0.0005730311581402629,0.9718290683202973,0.597914280634984,0.8752898101068477,0.8739160098666642,0.874852200704497
AE+I+S,108,0.8968754534312592,0.9749799269263653,0.6477808476468133,0.6578207940384723,0.5284237726098192,0.5859283594961435,0.8924225655179227,0.0025964157919793236,0.9761803740982189,0.6582526243573452,0.8937890336781726,0.894690879510001,0.8887877833655945
AE+N,72,0.8799630463171348,0.9711114003102866,0.5999160065427902,0.625471910815953,0.4754521963824289,0.5383505813829498,0.8755668855485476,0.0007823962539646585,0.9723301452749779,0.6089322338277806,0.8763309654574137,0.8758779200973082,0.8744917710909208
AE+S+kappa,108,0.8855076423426844,0.9719293791251084,0.6101797974249753,0.6274211672973283,0.539405684754522,0.5795269920659295,0.8812394713904815,0.0015297873384928294,0.9729978028049623,0.617716698632259,0.8833466082570025,0.8797612211694901,0.8806105847449517
AE+S+N,108,0.8885639619781489,0.9727040805366803,0.6252416267027584,0.622072476186354,0.5419896640826873,0.5782208750230137,0.8841240659959229,0.001930029895549732,0.9739426443245076,0.6352226417484604,0.8814325494953985,0.8850769791213235,0.8858626693710465
U,144,0.8906474303761125,0.9728675810088351,0.6143051541452541,0.6491482587837274,0.4883720930232558,0.5554228599683145,0.8836850416307781,0.0010863485485100904,0.9749180087703989,0.6256753096241505,0.8824899126016073,0.8851186562072616,0.8834465560834652
H_OT,252,0.89744465437347,0.9742969840322783,0.6306565412051182,0.6625947001209055,0.5174418604651163,0.5784538062503483,0.8890164928063292,0.0025220665786987143,0.9765645957475255,0.6456670790303326,0.8880128982863,0.8924823798542229,0.8865542002784647
H_JS,252,0.8945469392039368,0.974346513725361,0.6299944280541218,0.6488256147854186,0.539405684754522,0.5889629265289188,0.8897563897147126,0.00102810257729695,0.9755046756983817,0.6402079166113458,0.8902611455332969,0.8906848625736681,0.8883231610371729
