model,label,layer,n_mentions,mean,q25,median,q75,raw_d_js_real_auroc
qwen3_vl_8b,HALL,1,2593,0.002237748121842742,0.0012502126628533006,0.0017870203591883183,0.0025806548073887825,0.5403543397345145
qwen3_vl_8b,HALL,2,2593,0.008382200263440609,0.0033002784475684166,0.004841716960072517,0.009302889928221703,0.5230173223826111
qwen3_vl_8b,HALL,3,2593,0.005046182312071323,0.0026657760608941317,0.0035013502929359674,0.004959000274538994,0.5242866820090673
qwen3_vl_8b,HALL,4,2593,0.004150749649852514,0.001964240102097392,0.0028708348982036114,0.004563225898891687,0.5025310250222662
qwen3_vl_8b,HALL,5,2593,0.003352198749780655,0.0017643468454480171,0.002568313153460622,0.003999296110123396,0.5346909306062049
qwen3_vl_8b,HALL,6,2593,0.0017666296334937215,0.0011427442077547312,0.0015745763666927814,0.002196697983890772,0.48291774019503775
qwen3_vl_8b,HALL,7,2593,0.0010750680230557919,0.0005557558033615351,0.0007965153199620545,0.0012303224066272378,0.4815502241690545
qwen3_vl_8b,HALL,8,2593,0.0009368682513013482,0.0004749208455905318,0.0007058776682242751,0.0011157963890582323,0.47389884567697294
qwen3_vl_8b,HALL,9,2593,0.0008611868252046406,0.0004560533561743796,0.0006825018208473921,0.0010250634513795376,0.5411335454637958
qwen3_vl_8b,HALL,10,2593,0.0065881358459591866,0.0029635773971676826,0.0050604213029146194,0.008689595386385918,0.4700054393499914
qwen3_vl_8b,HALL,11,2593,0.0013626767322421074,0.000565843831282109,0.0008852329337969422,0.0016475957818329334,0.5181556991951521
qwen3_vl_8b,HALL,12,2593,0.002482498763129115,0.001087104668840766,0.0019374669063836336,0.0032946779392659664,0.4635381087392642
qwen3_vl_8b,HALL,13,2593,0.000959580997005105,0.0004971663001924753,0.0006855551619082689,0.0009934015106409788,0.5221431949711764
qwen3_vl_8b,HALL,14,2593,0.0008793938322924078,0.0005411756574176252,0.0007470121490769088,0.001058921916410327,0.5536398735759392
qwen3_vl_8b,HALL,15,2593,0.0010706617031246424,0.0006100402679294348,0.0008732246933504939,0.001323611126281321,0.48570760541724084
qwen3_vl_8b,HALL,16,2593,0.0014663625042885542,0.0009731206810101867,0.0013063130900263786,0.00179254449903965,0.4999259469556599
qwen3_vl_8b,HALL,17,2593,0.0009438609704375267,0.0006263002287596464,0.0008148173801600933,0.001102302223443985,0.4924486308038053
qwen3_vl_8b,HALL,18,2593,0.0013364671031013131,0.0008607669733464718,0.0011655729031190276,0.001579491887241602,0.48969703260218256
qwen3_vl_8b,HALL,19,2593,0.001377637847326696,0.0007592227193526924,0.0011050677858293056,0.0016692744102329016,0.5195266540711587
