model,label,layer,n_mentions,mean,q25,median,q75,raw_d_ot_real_auroc
qwen3_vl_8b,HALL,1,2593,0.01930747553706169,0.013838887214660645,0.017316829413175583,0.02224501222372055,0.556353455997166
qwen3_vl_8b,HALL,2,2593,0.05110190063714981,0.032004695385694504,0.043174974620342255,0.06106255576014519,0.5307424241662908
qwen3_vl_8b,HALL,3,2593,0.0333188995718956,0.023588277399539948,0.029835054650902748,0.03734206780791283,0.45246670753507
qwen3_vl_8b,HALL,4,2593,0.03263361379504204,0.021661752834916115,0.028121748939156532,0.038736045360565186,0.5116788214574193
qwen3_vl_8b,HALL,5,2593,0.027948912233114243,0.019242914393544197,0.02517096698284149,0.03311064839363098,0.505147330384611
qwen3_vl_8b,HALL,6,2593,0.018377425149083138,0.012660534121096134,0.01696898601949215,0.022648511454463005,0.4434352039002526
qwen3_vl_8b,HALL,7,2593,0.012437425553798676,0.008443017490208149,0.0110160568729043,0.014694873243570328,0.446541050761823
qwen3_vl_8b,HALL,8,2593,0.01057811826467514,0.00688080582767725,0.008987505920231342,0.012152861803770065,0.49940456076306666
qwen3_vl_8b,HALL,9,2593,0.008922113105654716,0.005938873626291752,0.007911400869488716,0.010971513576805592,0.5359772332425938
qwen3_vl_8b,HALL,10,2593,0.03251763805747032,0.020034845918416977,0.029236186295747757,0.04173584654927254,0.4706357695675277
qwen3_vl_8b,HALL,11,2593,0.012623765505850315,0.006983988452702761,0.01026932056993246,0.01589227095246315,0.5110969805954644
qwen3_vl_8b,HALL,12,2593,0.018310628831386566,0.009791186079382896,0.014916235581040382,0.023805327713489532,0.4933413970964172
qwen3_vl_8b,HALL,13,2593,0.010773482732474804,0.006996951997280121,0.0092056505382061,0.012658816762268543,0.5121617836043169
qwen3_vl_8b,HALL,14,2593,0.012648137286305428,0.00927512627094984,0.011722930707037449,0.014932903461158276,0.5074059953445194
qwen3_vl_8b,HALL,15,2593,0.011268421076238155,0.007716276217252016,0.00999179296195507,0.013462361879646778,0.5035690552489728
qwen3_vl_8b,HALL,16,2593,0.019852198660373688,0.014139431528747082,0.018052857369184494,0.023485422134399414,0.4511062419367603
qwen3_vl_8b,HALL,17,2593,0.01413699146360159,0.010400420054793358,0.013115906156599522,0.016733402386307716,0.48886955735248117
qwen3_vl_8b,HALL,18,2593,0.016611069440841675,0.012325688265264034,0.015486166812479496,0.019481219351291656,0.46471782272743833
qwen3_vl_8b,HALL,19,2593,0.017414448782801628,0.011821565218269825,0.01549463625997305,0.020348895341157913,0.5097551224733089
qwen3_vl_8b,HALL,20,2593,0.013201408088207245,0.008959746919572353,0.011562359519302845,0.01536511816084385,0.5784148565858218
qwen3_vl_8b,HALL,21,2593,0.015353316441178322,0.011179500259459019,0.014400080777704716,0.018481088802218437,0.530717127420228
qwen3_vl_8b,HALL,22,2593,0.011393704451620579,0.007742010056972504,0.010219398885965347,0.013771871104836464,0.6098673797281833
qwen3_vl_8b,HALL,23,2593,0.013598806224763393,0.008939790539443493,0.011458594352006912,0.015828430652618408,0.4132860991318395
qwen3_vl_8b,HALL,24,2593,0.014993448741734028,0.010228816419839859,0.013663586229085922,0.018071165308356285,0.5987327131050648
qwen3_vl_8b,HALL,25,2593,0.03044048696756363,0.02121027000248432,0.028543394058942795,0.03745497390627861,0.3962082360301035
qwen3_vl_8b,HALL,26,2593,0.010854481719434261,0.006945180706679821,0.009390555322170258,0.012822833843529224,0.5202390770189347
qwen3_vl_8b,HALL,27,2593,0.013859366998076439,0.008871656842529774,0.012090849690139294,0.016539456322789192,0.4834744570385566
qwen3_vl_8b,HALL,28,2593,0.021084416657686234,0.015287695452570915,0.019879022613167763,0.02566327340900898,0.4953200862758793
qwen3_vl_8b,HALL,29,2593,0.016026990488171577,0.010952676646411419,0.014658456668257713,0.019084781408309937,0.6231339449356889
qwen3_vl_8b,HALL,30,2593,0.035773035138845444,0.02373986691236496,0.033038437366485596,0.044771548360586166,0.5008039371849291
qwen3_vl_8b,HALL,31,2593,0.02492218092083931,0.0150719303637743,0.021970322355628014,0.030977964401245117,0.561615524633472
qwen3_vl_8b,HALL,32,2593,0.013390187174081802,0.007036701310425997,0.010335327126085758,0.016255363821983337,0.6532671116549065
qwen3_vl_8b,HALL,33,2593,0.011565294116735458,0.00669343676418066,0.009663529694080353,0.014442470856010914,0.5216947469446053
qwen3_vl_8b,HALL,34,2593,0.012571766972541809,0.005477416329085827,0.007823457010090351,0.013809486292302608,0.5607522633600108
qwen3_vl_8b,HALL,35,2593,0.028952136635780334,0.012943887151777744,0.021060289815068245,0.03869367763400078,0.4924882482403765
qwen3_vl_8b,HALL,36,2593,0.2089589536190033,0.18380281329154968,0.2123837023973465,0.2389124035835266,0.47876430027724354
qwen3_vl_8b,REAL,1,12280,0.02071971260011196,0.01478917058557272,0.018648067489266396,0.02411716990172863,0.556353455997166
qwen3_vl_8b,REAL,2,12280,0.05407873913645744,0.03331989794969559,0.04526832699775696,0.06593814492225647,0.5307424241662908
qwen3_vl_8b,REAL,3,12280,0.03123289719223976,0.0227469764649868,0.028065990656614304,0.03508161008358002,0.45246670753507
qwen3_vl_8b,REAL,4,12280,0.03312673792243004,0.022135842591524124,0.028724242001771927,0.039502307772636414,0.5116788214574193
qwen3_vl_8b,REAL,5,12280,0.027930954471230507,0.019491152837872505,0.02545195072889328,0.033450767397880554,0.505147330384611
qwen3_vl_8b,REAL,6,12280,0.01688396744430065,0.011963109485805035,0.015492754057049751,0.02046828158199787,0.4434352039002526
qwen3_vl_8b,REAL,7,12280,0.01190278958529234,0.007592715322971344,0.00998462364077568,0.013813800178468227,0.446541050761823
qwen3_vl_8b,REAL,8,12280,0.010610703378915787,0.0067542968317866325,0.009055489674210548,0.012507863342761993,0.49940456076306666
qwen3_vl_8b,REAL,9,12280,0.009475828148424625,0.006163075566291809,0.00848189927637577,0.011686106212437153,0.5359772332425938
qwen3_vl_8b,REAL,10,12280,0.031567271798849106,0.017345484346151352,0.027068326249718666,0.042603977024555206,0.4706357695675277
qwen3_vl_8b,REAL,11,12280,0.013288437388837337,0.006883332971483469,0.010662452317774296,0.016977844759821892,0.5110969805954644
qwen3_vl_8b,REAL,12,12280,0.018606482073664665,0.009132249280810356,0.014517822302877903,0.02512788400053978,0.4933413970964172
qwen3_vl_8b,REAL,13,12280,0.01104956679046154,0.0070557682774960995,0.009370563551783562,0.012822698801755905,0.5121617836043169
qwen3_vl_8b,REAL,14,12280,0.012650767341256142,0.009308052249252796,0.011897295713424683,0.015184137970209122,0.5074059953445194
qwen3_vl_8b,REAL,15,12280,0.01163908839225769,0.0076700132340192795,0.00994380284100771,0.01366807334125042,0.5035690552489728
qwen3_vl_8b,REAL,16,12280,0.018538180738687515,0.013616213575005531,0.016962215304374695,0.021607104688882828,0.4511062419367603
qwen3_vl_8b,REAL,17,12280,0.013853708282113075,0.010525090619921684,0.012905959039926529,0.016049625352025032,0.48886955735248117
qwen3_vl_8b,REAL,18,12280,0.01572076790034771,0.01225232146680355,0.014863567426800728,0.018114089965820312,0.46471782272743833
qwen3_vl_8b,REAL,19,12280,0.017382673919200897,0.012029346078634262,0.015631109476089478,0.020658161491155624,0.5097551224733089
qwen3_vl_8b,REAL,20,12280,0.014006329700350761,0.010236544534564018,0.013072900474071503,0.016621088609099388,0.5784148565858218
qwen3_vl_8b,REAL,21,12280,0.015593508258461952,0.011982633732259274,0.014891385100781918,0.018589437007904053,0.530717127420228
qwen3_vl_8b,REAL,22,12280,0.013666171580553055,0.009142274037003517,0.012045230716466904,0.016461357474327087,0.6098673797281833
qwen3_vl_8b,REAL,23,12280,0.01148571539670229,0.008257214911282063,0.010258467867970467,0.013215250335633755,0.4132860991318395
qwen3_vl_8b,REAL,24,12280,0.016968775540590286,0.012102536857128143,0.015740301460027695,0.020669927820563316,0.5987327131050648
qwen3_vl_8b,REAL,25,12280,0.026117507368326187,0.01900254189968109,0.024513904005289078,0.03145848587155342,0.3962082360301035
qwen3_vl_8b,REAL,26,12280,0.01072718482464552,0.0074028270319104195,0.00971740111708641,0.012821308337152004,0.5202390770189347
qwen3_vl_8b,REAL,27,12280,0.01348271407186985,0.008734600618481636,0.01170804351568222,0.016034720465540886,0.4834744570385566
qwen3_vl_8b,REAL,28,12280,0.020581446588039398,0.015838779509067535,0.019976554438471794,0.02454773522913456,0.4953200862758793
qwen3_vl_8b,REAL,29,12280,0.018446505069732666,0.013496113941073418,0.01766219362616539,0.0223173126578331,0.6231339449356889
