model,label,layer,n_mentions,mean,q25,median,q75,raw_endpoint_uniform_js_real_auroc
qwen3_vl_8b,HALL,1,2593,0.12796717882156372,0.09955158084630966,0.12437009066343307,0.15093214809894562,0.5288686748713336
qwen3_vl_8b,HALL,2,2593,0.16754671931266785,0.13264018297195435,0.16127459704875946,0.1979728639125824,0.6084963149345959
qwen3_vl_8b,HALL,3,2593,0.12094506621360779,0.09830476343631744,0.11493290960788727,0.1376945674419403,0.6097055025368978
qwen3_vl_8b,HALL,4,2593,0.15561605989933014,0.12221508473157883,0.14490647614002228,0.17384272813796997,0.6104855876068243
qwen3_vl_8b,HALL,5,2593,0.15849986672401428,0.13002817332744598,0.15360821783542633,0.18319879472255707,0.6473884839036695
qwen3_vl_8b,HALL,6,2593,0.15747375786304474,0.1247074231505394,0.14805687963962555,0.17841503024101257,0.661016159768658
qwen3_vl_8b,HALL,7,2593,0.1749151349067688,0.1356249898672104,0.16715997457504272,0.20681893825531006,0.6906649825199641
qwen3_vl_8b,HALL,8,2593,0.17614328861236572,0.14605826139450073,0.17074990272521973,0.19996826350688934,0.637373327839548
qwen3_vl_8b,HALL,9,2593,0.2252371460199356,0.17928026616573334,0.22115561366081238,0.26341965794563293,0.5387023727123011
qwen3_vl_8b,HALL,10,2593,0.25554147362709045,0.20109331607818604,0.25022223591804504,0.3027837872505188,0.47130653375223447
qwen3_vl_8b,HALL,11,2593,0.21306028962135315,0.16772352159023285,0.20540109276771545,0.25103405117988586,0.49962310831843687
qwen3_vl_8b,HALL,12,2593,0.2371736317873001,0.1923747956752777,0.23235517740249634,0.2773720920085907,0.4939711620235387
qwen3_vl_8b,HALL,13,2593,0.20299002528190613,0.16632172465324402,0.1970558613538742,0.23573389649391174,0.5708681510355492
qwen3_vl_8b,HALL,14,2593,0.29303354024887085,0.2452210932970047,0.2916284501552582,0.3397989869117737,0.4418131658650011
qwen3_vl_8b,HALL,15,2593,0.29553133249282837,0.24863861501216888,0.2927365005016327,0.34358903765678406,0.4991142527300386
qwen3_vl_8b,HALL,16,2593,0.31393465399742126,0.2646106779575348,0.31354984641075134,0.3637722432613373,0.42878205981777545
qwen3_vl_8b,HALL,17,2593,0.27006688714027405,0.2272372841835022,0.2688996195793152,0.31028082966804504,0.46086560408818034
qwen3_vl_8b,HALL,18,2593,0.36607781052589417,0.3243263065814972,0.3696171045303345,0.40977421402931213,0.4191607384451499
qwen3_vl_8b,HALL,19,2593,0.338425874710083,0.29443302750587463,0.33971112966537476,0.3840859830379486,0.3692935973951418
qwen3_vl_8b,HALL,20,2593,0.3585933446884155,0.3106805086135864,0.3610049784183502,0.4069659113883972,0.40883922638122433
qwen3_vl_8b,HALL,21,2593,0.4010182023048401,0.3556191623210907,0.4058194160461426,0.45092105865478516,0.38889155657112423
qwen3_vl_8b,HALL,22,2593,0.42123621702194214,0.37758299708366394,0.42921534180641174,0.4717697501182556,0.40524642893482954
qwen3_vl_8b,HALL,23,2593,0.33892160654067993,0.2978222370147705,0.33947697281837463,0.3822364807128906,0.44326041924449566
qwen3_vl_8b,HALL,24,2593,0.42691293358802795,0.3820914626121521,0.4304734170436859,0.47830909490585327,0.36521408490159557
qwen3_vl_8b,HALL,25,2593,0.39952465891838074,0.36126744747161865,0.40277498960494995,0.44090044498443604,0.3683649508637009
qwen3_vl_8b,HALL,26,2593,0.3862104117870331,0.3462362289428711,0.3875260055065155,0.42666301131248474,0.48662100480999326
qwen3_vl_8b,HALL,27,2593,0.3886147141456604,0.345556378364563,0.3906790614128113,0.4350508749485016,0.4080538809699379
qwen3_vl_8b,HALL,28,2593,0.3688671886920929,0.32736364006996155,0.36860209703445435,0.41116824746131897,0.5062040780050524
qwen3_vl_8b,HALL,29,2593,0.41343238949775696,0.36468902230262756,0.4172250032424927,0.46673721075057983,0.4787125290967538
qwen3_vl_8b,HALL,30,2593,0.3985472321510315,0.35058438777923584,0.39934343099594116,0.44627296924591064,0.40099249294329137
qwen3_vl_8b,HALL,31,2593,0.3816969096660614,0.33757758140563965,0.38135796785354614,0.4246083199977875,0.44255369630840236
qwen3_vl_8b,HALL,32,2593,0.41627228260040283,0.3720357418060303,0.41837647557258606,0.463360071182251,0.4277894569569035
qwen3_vl_8b,HALL,33,2593,0.4392668902873993,0.39024293422698975,0.4454977512359619,0.49245360493659973,0.3818583388501491
qwen3_vl_8b,HALL,34,2593,0.4132438898086548,0.36709171533584595,0.41802752017974854,0.46197906136512756,0.3656112799305572
qwen3_vl_8b,HALL,35,2593,0.3937928378582001,0.35762444138526917,0.39573511481285095,0.4344733953475952,0.408984490315319
qwen3_vl_8b,HALL,36,2593,0.20709456503391266,0.17374968528747559,0.20216035842895508,0.23532669246196747,0.61477755508127
qwen3_vl_8b,REAL,1,12280,0.13139288127422333,0.10433417558670044,0.12811073660850525,0.15498271584510803,0.5288686748713336
qwen3_vl_8b,REAL,2,12280,0.18556107580661774,0.14948400855064392,0.18215572834014893,0.2173723578453064,0.6084963149345959
qwen3_vl_8b,REAL,3,12280,0.13473594188690186,0.10733004659414291,0.1277201622724533,0.15440358221530914,0.6097055025368978
qwen3_vl_8b,REAL,4,12280,0.17356906831264496,0.13543301820755005,0.1614251732826233,0.19503289461135864,0.6104855876068243
qwen3_vl_8b,REAL,5,12280,0.18092776834964752,0.14804428815841675,0.17582227289676666,0.20999953150749207,0.6473884839036695
qwen3_vl_8b,REAL,6,12280,0.18503205478191376,0.1455075889825821,0.17649239301681519,0.21593475341796875,0.661016159768658
qwen3_vl_8b,REAL,7,12280,0.2136984020471573,0.16887147724628448,0.2079751193523407,0.25581714510917664,0.6906649825199641
qwen3_vl_8b,REAL,8,12280,0.19656896591186523,0.164664626121521,0.19394288957118988,0.22483685612678528,0.637373327839548
qwen3_vl_8b,REAL,9,12280,0.23091551661491394,0.19413556158542633,0.23046790063381195,0.2661617696285248,0.5387023727123011
qwen3_vl_8b,REAL,10,12280,0.2473834753036499,0.19658610224723816,0.2411164790391922,0.29448485374450684,0.47130653375223447
qwen3_vl_8b,REAL,11,12280,0.21046097576618195,0.1743151843547821,0.20652151107788086,0.24151457846164703,0.49962310831843687
qwen3_vl_8b,REAL,12,12280,0.23462240397930145,0.19144900143146515,0.2315889447927475,0.27367639541625977,0.4939711620235387
qwen3_vl_8b,REAL,13,12280,0.21361613273620605,0.179324209690094,0.21397650241851807,0.2475208193063736,0.5708681510355492
qwen3_vl_8b,REAL,14,12280,0.2794933617115021,0.23921842873096466,0.27925944328308105,0.32069307565689087,0.4418131658650011
qwen3_vl_8b,REAL,15,12280,0.29416415095329285,0.25520598888397217,0.2955620586872101,0.33372554183006287,0.4991142527300386
qwen3_vl_8b,REAL,16,12280,0.2969386875629425,0.25177788734436035,0.2956298291683197,0.34216493368148804,0.42878205981777545
qwen3_vl_8b,REAL,17,12280,0.2616417706012726,0.22356057167053223,0.260517954826355,0.29874223470687866,0.46086560408818034
qwen3_vl_8b,REAL,18,12280,0.34892410039901733,0.30898019671440125,0.35067835450172424,0.39142194390296936,0.4191607384451499
qwen3_vl_8b,REAL,19,12280,0.3081100285053253,0.26252663135528564,0.3076777458190918,0.35370934009552,0.3692935973951418
qwen3_vl_8b,REAL,20,12280,0.33604541420936584,0.28824731707572937,0.3365132212638855,0.38419198989868164,0.40883922638122433
qwen3_vl_8b,REAL,21,12280,0.3758035898208618,0.3333035111427307,0.3769950270652771,0.4204697608947754,0.38889155657112423
qwen3_vl_8b,REAL,22,12280,0.3995767831802368,0.35355299711227417,0.4024942219257355,0.4491308033466339,0.40524642893482954
qwen3_vl_8b,REAL,23,12280,0.32741615176200867,0.28922611474990845,0.3269514739513397,0.3666025996208191,0.44326041924449566
qwen3_vl_8b,REAL,24,12280,0.39415159821510315,0.3473694920539856,0.3948032855987549,0.4430423676967621,0.36521408490159557
qwen3_vl_8b,REAL,25,12280,0.37120047211647034,0.33005011081695557,0.3722999095916748,0.4155576527118683,0.3683649508637009
qwen3_vl_8b,REAL,26,12280,0.38306474685668945,0.3501305878162384,0.38577839732170105,0.4181562066078186,0.48662100480999326
qwen3_vl_8b,REAL,27,12280,0.36843141913414,0.32596486806869507,0.36809372901916504,0.4114639461040497,0.4080538809699379
qwen3_vl_8b,REAL,28,12280,0.37014493346214294,0.3385767340660095,0.371934711933136,0.40324437618255615,0.5062040780050524
qwen3_vl_8b,REAL,29,12280,0.4096536934375763,0.37295299768447876,0.4132561683654785,0.44950106739997864,0.4787125290967538
qwen3_vl_8b,REAL,30,12280,0.37713268399238586,0.33716869354248047,0.37439849972724915,0.41668492555618286,0.40099249294329137
qwen3_vl_8b,REAL,31,12280,0.3697541654109955,0.33518317341804504,0.3685089647769928,0.40349408984184265,0.44255369630840236
qwen3_vl_8b,REAL,32,12280,0.4026488959789276,0.3712712228298187,0.40305501222610474,0.435525119304657,0.4277894569569035
qwen3_vl_8b,REAL,33,12280,0.4137732982635498,0.37633422017097473,0.4132194221019745,0.45181411504745483,0.3818583388501491
qwen3_vl_8b,REAL,34,12280,0.385682076215744,0.34851399064064026,0.3836286664009094,0.4226895570755005,0.3656112799305572
qwen3_vl_8b,REAL,35,12280,0.3777836263179779,0.3478192389011383,0.37851375341415405,0.4095188081264496,0.408984490315319
qwen3_vl_8b,REAL,36,12280,0.22424915432929993,0.19326092302799225,0.2219669222831726,0.25261497497558594,0.61477755508127
