model,label,layer,n_mentions,mean,q25,median,q75,raw_relative_strength_real_auroc
qwen3_vl_8b,HALL,1,2593,0.6906813979148865,0.617533266544342,0.7149455547332764,0.76217120885849,0.536539131914915
qwen3_vl_8b,HALL,2,2593,0.3032645285129547,0.24955826997756958,0.2772434651851654,0.33694273233413696,0.5212373641889778
qwen3_vl_8b,HALL,3,2593,0.3395163118839264,0.3129660487174988,0.33149254322052,0.3566240668296814,0.597629250512844
qwen3_vl_8b,HALL,4,2593,0.2898440659046173,0.26682600378990173,0.28689587116241455,0.307890921831131,0.4779467490148244
qwen3_vl_8b,HALL,5,2593,0.3741123080253601,0.3416707515716553,0.36841586232185364,0.40068209171295166,0.5836297234724912
qwen3_vl_8b,HALL,6,2593,0.4133625626564026,0.40367844700813293,0.4158601760864258,0.4282306432723999,0.5717166362456676
qwen3_vl_8b,HALL,7,2593,0.4029923677444458,0.3854803442955017,0.4014386236667633,0.41966360807418823,0.5805685345536906
qwen3_vl_8b,HALL,8,2593,0.39813709259033203,0.38284987211227417,0.39745235443115234,0.4132814407348633,0.5605283455457
qwen3_vl_8b,HALL,9,2593,0.4535236358642578,0.43732333183288574,0.45115378499031067,0.4689255356788635,0.5257755313415848
qwen3_vl_8b,HALL,10,2593,0.4809373915195465,0.4531916677951813,0.47647055983543396,0.5037141442298889,0.5493745846685703
qwen3_vl_8b,HALL,11,2593,0.46852460503578186,0.45220690965652466,0.4667626619338989,0.48218610882759094,0.5864002274979869
qwen3_vl_8b,HALL,12,2593,0.45360875129699707,0.4357091784477234,0.4526812732219696,0.4693784713745117,0.5015339155405872
qwen3_vl_8b,HALL,13,2593,0.4265088140964508,0.41328316926956177,0.42523205280303955,0.4382113814353943,0.6355708836494145
qwen3_vl_8b,HALL,14,2593,0.4143843650817871,0.40366268157958984,0.41316550970077515,0.423825204372406,0.6419133949960493
qwen3_vl_8b,HALL,15,2593,0.4090266823768616,0.3990863859653473,0.40809449553489685,0.41828829050064087,0.6088546462475394
qwen3_vl_8b,HALL,16,2593,0.40390363335609436,0.39248451590538025,0.4035481810569763,0.414201557636261,0.6455919438578684
qwen3_vl_8b,HALL,17,2593,0.4158419966697693,0.40583306550979614,0.4147377908229828,0.4252316653728485,0.5570440053463912
qwen3_vl_8b,HALL,18,2593,0.4108940362930298,0.39956215023994446,0.41034194827079773,0.421811044216156,0.6464554877765369
qwen3_vl_8b,HALL,19,2593,0.38984954357147217,0.3793087303638458,0.38973546028137207,0.40000471472740173,0.6249883016289157
qwen3_vl_8b,HALL,20,2593,0.38129502534866333,0.3689773678779602,0.3806016743183136,0.39290741086006165,0.6160754775761854
qwen3_vl_8b,HALL,21,2593,0.38473308086395264,0.37297967076301575,0.38433781266212463,0.3964998722076416,0.6619796658756788
qwen3_vl_8b,HALL,22,2593,0.36251530051231384,0.3507378101348877,0.36111748218536377,0.3730350434780121,0.6214095893353566
qwen3_vl_8b,HALL,23,2593,0.36915209889411926,0.3590811491012573,0.3687894344329834,0.3788277208805084,0.5041850804785121
qwen3_vl_8b,HALL,24,2593,0.36037009954452515,0.34689170122146606,0.3583604395389557,0.3716537654399872,0.6120902272593087
qwen3_vl_8b,HALL,25,2593,0.3212824761867523,0.30472224950790405,0.31918609142303467,0.3351095914840698,0.6085858663578088
qwen3_vl_8b,HALL,26,2593,0.29191073775291443,0.2818252146244049,0.2908376455307007,0.3013080060482025,0.5721669685736216
qwen3_vl_8b,HALL,27,2593,0.3047211766242981,0.29181337356567383,0.3028792142868042,0.31614142656326294,0.3817711742086876
qwen3_vl_8b,HALL,28,2593,0.33740484714508057,0.3240818977355957,0.33758193254470825,0.3494105935096741,0.4754135256409451
qwen3_vl_8b,HALL,29,2593,0.3051474094390869,0.2944968640804291,0.30478018522262573,0.31530871987342834,0.6267333217344115
qwen3_vl_8b,HALL,30,2593,0.3248148262500763,0.2917608618736267,0.31649163365364075,0.3493793308734894,0.5085642282969307
qwen3_vl_8b,HALL,31,2593,0.28592994809150696,0.26562488079071045,0.2801124155521393,0.29844313859939575,0.5363327538059748
qwen3_vl_8b,HALL,32,2593,0.27197861671447754,0.253062903881073,0.26907509565353394,0.28739112615585327,0.6069310100734753
qwen3_vl_8b,HALL,33,2593,0.2752493619918823,0.2532922923564911,0.2742323577404022,0.2953987121582031,0.513850227560797
qwen3_vl_8b,HALL,34,2593,0.2809336483478546,0.26108518242836,0.27886882424354553,0.29873958230018616,0.4787623374633032
qwen3_vl_8b,HALL,35,2593,0.2566503882408142,0.2372715175151825,0.2520155906677246,0.26990312337875366,0.4041809821230047
qwen3_vl_8b,HALL,36,2593,0.428476482629776,0.3651123046875,0.4207465350627899,0.48386579751968384,0.4156398899065512
qwen3_vl_8b,REAL,1,12280,0.702624499797821,0.6264868974685669,0.7293637990951538,0.7681506872177124,0.536539131914915
qwen3_vl_8b,REAL,2,12280,0.3052947521209717,0.2525014877319336,0.28380250930786133,0.336381733417511,0.5212373641889778
qwen3_vl_8b,REAL,3,12280,0.35063284635543823,0.32328593730926514,0.3441494107246399,0.37009620666503906,0.597629250512844
qwen3_vl_8b,REAL,4,12280,0.2886907756328583,0.2634243369102478,0.28354284167289734,0.30682438611984253,0.4779467490148244
qwen3_vl_8b,REAL,5,12280,0.3849669098854065,0.35737138986587524,0.3832288980484009,0.40877765417099,0.5836297234724912
qwen3_vl_8b,REAL,6,12280,0.4185829162597656,0.4079256057739258,0.421484112739563,0.43464335799217224,0.5717166362456676
qwen3_vl_8b,REAL,7,12280,0.4103091359138489,0.3904833495616913,0.41069895029067993,0.42771458625793457,0.5805685345536906
