model,case_id,layer,strategy,lambda,finite_effect_norm
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,highest_p_ffn_token,0.0,13.918622970581055
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,highest_p_ffn_token,0.25,15.747685432434082
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,highest_p_ffn_token,0.5,17.58769989013672
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,highest_p_ffn_token,0.75,19.43419075012207
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,highest_p_ffn_token,1.0,21.285024642944336
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,highest_p_ffn_token,1.25,23.138036727905273
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,highest_8_region,0.0,10.967848777770996
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,highest_8_region,0.25,13.52733325958252
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,highest_8_region,0.5,16.106088638305664
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,highest_8_region,0.75,18.694059371948242
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,highest_8_region,1.0,21.285024642944336
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,highest_8_region,1.25,23.876083374023438
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,deterministic_random_region,0.0,20.26192855834961
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,deterministic_random_region,0.25,20.51420021057129
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,deterministic_random_region,0.5,20.769243240356445
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,deterministic_random_region,0.75,21.026071548461914
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,deterministic_random_region,1.0,21.285024642944336
qwen3_vl_8b,qwen3_vl_8b:103558:162:36,36,deterministic_random_region,1.25,21.546497344970703
qwen3_vl_8b,qwen3_vl_8b:113333:40:18,18,highest_p_ffn_token,0.0,4.626189708709717
qwen3_vl_8b,qwen3_vl_8b:113333:40:18,18,highest_p_ffn_token,0.25,5.331570625305176
qwen3_vl_8b,qwen3_vl_8b:113333:40:18,18,highest_p_ffn_token,0.5,6.103915214538574
qwen3_vl_8b,qwen3_vl_8b:113333:40:18,18,highest_p_ffn_token,0.75,6.930001258850098
qwen3_vl_8b,qwen3_vl_8b:113333:40:18,18,highest_p_ffn_token,1.0,7.801637649536133
qwen3_vl_8b,qwen3_vl_8b:113333:40:18,18,highest_p_ffn_token,1.25,8.713655471801758
