model,label,layer,n_mentions,mean,q25,median,q75,raw_strength_real_auroc
qwen3_vl_8b,HALL,1,2593,0.4867495596408844,0.24778787791728973,0.39206066727638245,0.6207531690597534,0.6751767788747203
qwen3_vl_8b,HALL,2,2593,0.08615891635417938,0.0379195436835289,0.05578749254345894,0.09230292588472366,0.6679324408863252
qwen3_vl_8b,HALL,3,2593,0.40133678913116455,0.18896886706352234,0.27570340037345886,0.45255523920059204,0.6712036351942274
qwen3_vl_8b,HALL,4,2593,0.3031439185142517,0.11446429044008255,0.18376873433589935,0.35489851236343384,0.6220256616724305
qwen3_vl_8b,HALL,5,2593,0.36120298504829407,0.10018454492092133,0.21852950751781464,0.4661614000797272,0.6698093306835868
qwen3_vl_8b,HALL,6,2593,0.6818705201148987,0.32802170515060425,0.5201965570449829,0.8334001302719116,0.7178309084468206
qwen3_vl_8b,HALL,7,2593,0.8765637278556824,0.2726784646511078,0.6016153693199158,1.2391703128814697,0.6924620093436225
qwen3_vl_8b,HALL,8,2593,0.6968902349472046,0.369573175907135,0.5871323347091675,0.882375955581665,0.6971319990804609
qwen3_vl_8b,HALL,9,2593,4.584810733795166,2.7796714305877686,4.270079135894775,6.019840240478516,0.6540279454457064
qwen3_vl_8b,HALL,10,2593,7.07016658782959,4.323034286499023,6.682957172393799,9.290977478027344,0.6427599644997619
qwen3_vl_8b,HALL,11,2593,5.407516956329346,3.442620038986206,5.086230754852295,7.014610290527344,0.6677347619687684
qwen3_vl_8b,HALL,12,2593,5.689483165740967,3.9483203887939453,5.505541801452637,7.200957298278809,0.6493593061248588
qwen3_vl_8b,HALL,13,2593,4.4011335372924805,3.09470796585083,4.102243900299072,5.332991600036621,0.7354214742522778
qwen3_vl_8b,HALL,14,2593,9.76964282989502,6.833550453186035,9.327180862426758,12.60432243347168,0.6032508909605038
qwen3_vl_8b,HALL,15,2593,7.360182285308838,5.4203596115112305,7.278724670410156,9.236101150512695,0.6995969322317288
qwen3_vl_8b,HALL,16,2593,11.18294620513916,8.35969066619873,11.089204788208008,13.89197826385498,0.5937309292997559
qwen3_vl_8b,HALL,17,2593,8.322379112243652,5.969461441040039,8.025254249572754,10.23495864868164,0.7019969197953397
qwen3_vl_8b,HALL,18,2593,11.43952751159668,8.781351089477539,11.561895370483398,14.131824493408203,0.631636038394525
qwen3_vl_8b,HALL,19,2593,14.754509925842285,11.680761337280273,15.218108177185059,17.938133239746094,0.639939840537855
qwen3_vl_8b,HALL,20,2593,9.675115585327148,5.958280563354492,9.281424522399902,12.7556791305542,0.675853431501248
qwen3_vl_8b,HALL,21,2593,12.770771026611328,8.393464088439941,12.920754432678223,16.977052688598633,0.6630523515453156
qwen3_vl_8b,HALL,22,2593,12.796404838562012,9.39069652557373,12.953786849975586,16.142200469970703,0.697935182544837
qwen3_vl_8b,HALL,23,2593,7.800600528717041,5.775717258453369,7.6338629722595215,9.531991958618164,0.6306813570989798
