feature_set,dimensions,ensemble_auroc,mean_real_aupr,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,ae32_ensemble_auroc,product_minus_ae32_auroc,full_ae_ensemble_auroc,product_minus_full_ae_auroc,ensemble_hall_aupr,mean_seed_auroc,std_seed_auroc,full_ae_cosine_ensemble_auroc,product_minus_full_ae_cosine_auroc
A,72,0.8793108771019915,0.9674719508677198,0.6161239984534241,0.589944401833466,0.5355297157622739,0.5612922411423468,0.8794567469027751,-0.00014586980078357126,0.8789157165834669,0.00039516051852461764,0.6368825167427876,0.8671585334605257,0.002089981154617705,0.881924570648835,-0.0026136935468434874
B,36,0.8549675999246725,0.9629657497501724,0.5602432157322226,0.5996362880047902,0.42958656330749356,0.4998176334737456,0.8584368314300798,-0.003469231505407233,0.8484397333901377,0.006527866534534854,0.5716439454615944,0.8480405852491929,0.0014388960378456373,0.8482305761625591,0.006737023762113381
F,108,0.8823857198867618,0.9709449370254816,0.5967673114187115,0.624117653719594,0.5090439276485789,0.5581483057462097,0.8835750604317747,-0.0011893405450128514,0.8855076423426844,-0.0031219224559225767,0.6057710532763865,0.8773745648346244,0.002155160953908974,0.8837726406910369,-0.0013869208042750492
C_JS,72,0.8771135685155856,0.9668196216366449,0.5966671341523812,0.6103139589603658,0.5116279069767442,0.556372986488549,0.8721057579209617,0.005007810594623963,0.8650187238167568,0.012094844698828822,0.6184691988359707,0.8646139158246351,0.004058690718861149,0.865466366591648,0.011647201923937645
D_JS,72,0.8702133095002145,0.9662435141899636,0.5894811593270003,0.5853061101099966,0.46640826873385016,0.5178095792313718,0.8682274735350504,0.0019858359651641067,0.8548016633788077,0.015411646121406775,0.6059899504153549,0.8605716243875784,0.008336076072125248,0.8506270086040029,0.019586300896211606
E_JS,72,0.8848315473930211,0.9698524855089173,0.6060084499172902,0.6185845955946562,0.501937984496124,0.5533931100468288,0.8779301306808184,0.006901416712202679,0.8645108808066213,0.02032066658639975,0.6280360786953384,0.8733819257283456,0.004874586508755163,0.8686114429842028,0.01622010440881827
G_JS,216,0.8848539295317656,0.9718823250431184,0.6079017419345445,0.6521725126259131,0.4825581395348837,0.5545159145308912,0.8875529067452047,-0.0026989772134391465,0.8845868874626064,0.0002670420691591735,0.6180899882834958,0.8795992722460451,0.0017583304406321835,0.8861420602064096,-0.0012881306746440613
H_JS,252,0.8909241199188686,0.972642042347441,0.6169575956970086,0.6595091528786375,0.4941860465116279,0.5649714383115771,0.8918842364912216,-0.0009601165723530647,0.8945469392039368,-0.003622819285068246,0.6319626149619749,0.8829352399828352,0.0030492448676179384,0.8926722421346077,-0.0017481222157391674
C_OT,72,0.8748846162157824,0.9667622652063467,0.5866828287559448,0.5966137476281284,0.5012919896640827,0.5440642673627991,0.8703641959872686,0.004520420228513844,0.8638818655281104,0.01100275068767198,0.6073747171096541,0.8643320809626275,0.0023384688550581374,0.8629533926691548,0.011931223546627567
D_OT,72,0.872454224667278,0.966255929617201,0.5982550771889706,0.5920874862761175,0.5239018087855297,0.55444720350686,0.8771236018881263,-0.00466937722084837,0.866949762131891,0.005504462535386945,0.6170191295738524,0.8627820535380759,0.007465337487296356,0.866678861073293,0.005775363593985006
E_OT,72,0.8713914589758551,0.966596799553658,0.5786579864057823,0.5813212407751638,0.5180878552971576,0.5478398441686744,0.8743644244394431,-0.00297296546358794,0.8572297395336488,0.014161719442206344,0.5979001251340006,0.8615281392364552,0.0019797892163010366,0.857412655633044,0.013978803342811097
G_OT,216,0.888076185713095,0.9723901340781395,0.6138234285704177,0.6255738424719958,0.5310077519379846,0.5738125361972982,0.8915863225065526,-0.0035101367934575745,0.8919012160447519,-0.003825030331656931,0.6279148193011014,0.8817299489481424,0.0015482858551128774,0.8903221175664288,-0.0022459318533337713
H_OT,252,0.8939696343839045,0.9742989893898056,0.6318657088420526,0.6585610661974952,0.539405684754522,0.5927654744782082,0.8950570976077352,-0.001087463223830687,0.89744465437347,-0.003475019989565453,0.6428450014617391,0.889175354538223,0.00119746211682006,0.8944659004257238,-0.0004962660418192932
AE+I,72,0.8628515153479728,0.9655793461375675,0.5761869779876595,0.623317455460064,0.38630490956072344,0.4750773586079898,0.8650125494336547,-0.002161034085681912,0.8655092013744177,-0.0026576860264448943,0.5838708843686262,0.8589059559128466,0.0014119606717674345,,
AE+S,72,0.8773887144625663,0.9704652725041418,0.5830640002519063,0.624444670920114,0.4483204134366925,0.5198536129644028,0.879113682741673,-0.0017249682791067311,0.8789188037750177,-0.0015300893124514658,0.5920592257894473,0.8729293949001654,0.00035949551564758733,,
AE+I+S,108,0.8939376047715633,0.9745961394675637,0.6453289013590326,0.669384894778252,0.5064599483204134,0.5760143774519474,0.8963591206443586,-0.0024215158727953767,0.8968754534312592,-0.0029378486596959297,0.6537931607676425,0.8906984976696849,0.002291316790443588,,
AE+N,72,0.8765964639307975,0.9707701587205388,0.5895442400000183,0.6189033267315365,0.4644702842377261,0.5306113854945694,0.8794694815679227,-0.002873017637125219,0.8799630463171348,-0.003366582386337358,0.5969196499218153,0.8729625822093383,0.0010414766132836551,,
AE+S+N,108,0.8892570364813426,0.9729460049341011,0.6224151138241221,0.6428588783056711,0.4928940568475452,0.5578362562455015,0.8904409744411411,-0.0011839379597985422,0.8885639619781489,0.0006930745031936691,0.6321504830399387,0.8840211596108905,0.001025235574172894,,
U,144,0.8851032202495068,0.9715321921543519,0.6122401690788354,0.6371043573623463,0.48901808785529716,0.5531911107876023,0.8883578919421213,-0.003254671692614508,0.8906474303761125,-0.005544210126605664,0.6222979477578349,0.8791879039718777,0.0032840563524058736,,
D_OT+strength,108,0.876953034554935,0.9698259181617273,0.5871317972514942,0.6069143706244594,0.4735142118863049,0.5312800695554252,0.8803558914419964,-0.003402856887061434,0.8810914148290159,-0.004138380274080866,0.597304930264407,0.8722517563547266,0.0006788044204219533,,
