feature_set,dimensions,ensemble_auroc,mean_real_aupr,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,full_ae_ensemble_auroc,top32_minus_full_auroc,ensemble_hall_aupr,full_ae_ensemble_hall_aupr,mean_seed_auroc,std_seed_auroc
A,72,0.8794567469027751,0.9679914615522893,0.5962991402509396,0.6052555691557184,0.4909560723514212,0.5420387977179485,0.8789157165834669,0.0005410303193081889,0.622407341296867,0.6114165175117916,0.8667075462281209,0.0015774963652033422
B,36,0.8584368314300798,0.9633087824196881,0.5480439699559766,0.5927703162676284,0.3733850129198966,0.45577902575121837,0.8484397333901377,0.009997098039942087,0.5586363792514548,0.5662655839874434,0.8495529232102265,0.0033607169169666065
F,108,0.8835750604317747,0.9715742661627921,0.6070494906471694,0.6456835417757719,0.47674418604651164,0.5482411221550122,0.8855076423426844,-0.0019325819109097253,0.6162472915829253,0.617716698632259,0.8792953125112555,0.0006835055292184499
C_JS,72,0.8721057579209617,0.9653304337788174,0.5832745133911191,0.5983249686654588,0.47157622739018085,0.5272220909135266,0.8650187238167568,0.007087034104204859,0.604461042348842,0.604404513024527,0.860517855801399,0.0055844446913972095
D_JS,72,0.8682274735350504,0.9638954027039897,0.5640313936656087,0.5829470656144136,0.4528423772609819,0.508138080476911,0.8548016633788077,0.013425810156242668,0.5829643328186881,0.5817121300971857,0.8546354695669803,0.008910214455385528
E_JS,72,0.8779301306808184,0.9676719529942165,0.5846333780655915,0.6032034817051062,0.4631782945736434,0.5234870997798263,0.8645108808066213,0.01341924987419707,0.6036521863839963,0.5940849101762237,0.8652263374485596,0.009159229892618036
G_JS,216,0.8875529067452047,0.9723040169966867,0.6226861470413834,0.6540217193725941,0.5193798449612403,0.5788379526652719,0.8845868874626064,0.00296601928259832,0.6348047097588493,0.6267393139337354,0.8828526576088466,0.0021046840190413066
H_JS,252,0.8918842364912216,0.9732409465020048,0.6225486671734183,0.6379369088476429,0.5258397932816538,0.5764366487889835,0.8945469392039368,-0.0026627027127151814,0.637136895698731,0.6402079166113458,0.8850660453179139,0.002574060629919446
C_OT,72,0.8703641959872686,0.9660424106589792,0.5821640477783657,0.5874091914881389,0.4786821705426356,0.5272658357983017,0.8638818655281104,0.0064823304591581365,0.6021943242526387,0.5900754233026319,0.8609657558422527,0.0037961755329283526
D_OT,72,0.8771236018881263,0.9660982725866191,0.590343649830655,0.5917826389385872,0.47351421188630494,0.5260589018573119,0.866949762131891,0.010173839756235314,0.6134136446026877,0.6058488708300429,0.8650192383486818,0.0039023528115555033
E_OT,72,0.8743644244394431,0.9661926345911184,0.5660485745167089,0.5797011579333509,0.5,0.5363169650419861,0.8572297395336488,0.017134684905794284,0.5903242441411136,0.5681371748239189,0.8598099885053568,0.003188624390156135
G_OT,216,0.8915863225065526,0.9733053471787175,0.6229942512434189,0.651815563145287,0.5200258397932817,0.5776829041459409,0.8919012160447519,-0.0003148935381993567,0.635563277586689,0.6393869426880813,0.885435736506143,0.0009312665214185764
H_OT,252,0.8950570976077352,0.9743532459886476,0.6348538234478635,0.6326992084150089,0.5729974160206718,0.6011628828986891,0.89744465437347,-0.0023875567657347663,0.6469302229517876,0.6456670790303326,0.889295369109767,0.0022758389769520966
AE+I,72,0.8650125494336547,0.9660491075512004,0.5809057178250822,0.6312996480197478,0.4056847545219638,0.49306298302048024,0.8655092013744177,-0.0004966519407629821,0.5891831922096189,0.5903365648275053,0.8600326521959708,0.0033085068751991407
AE+S,72,0.879113682741673,0.9708197528110497,0.5923067402152173,0.6207328934601662,0.4709302325581395,0.5319074190353563,0.8789188037750177,0.00019487896665526527,0.6004985869724557,0.597914280634984,0.8747423481384748,0.0009768618624928119
AE+I+S,108,0.8963591206443586,0.9747212751324098,0.6439707360637269,0.6379652720507581,0.5322997416020671,0.5767943178365508,0.8968754534312592,-0.000516332786900553,0.6581750997348961,0.6582526243573452,0.8915317821224854,0.0027448350935595544
AE+N,72,0.8794694815679227,0.9711003195200744,0.5979884475385612,0.6099282341301252,0.49612403100775193,0.5449198473211061,0.8799630463171348,-0.0004935647492121387,0.6067814651121487,0.6089322338277806,0.8749569079512677,0.0007309498733101882
AE+S+N,108,0.8904409744411411,0.9731153263879356,0.6241734488536735,0.617322596794832,0.5510335917312661,0.5800262269843804,0.8885639619781489,0.0018770124629922114,0.6355165214036712,0.6352226417484604,0.8845476544033127,0.002678285358713926
U,144,0.8883578919421213,0.9726486708556329,0.615336529335569,0.628246176582306,0.5258397932816538,0.5723490592763499,0.8906474303761125,-0.002289538433991156,0.6259968280206096,0.6256753096241505,0.8828755542795163,0.0007398587110949705
D_OT+strength,108,0.8803558914419964,0.9705451244457154,0.5967560175267813,0.630130009803331,0.4373385012919897,0.5159798033456932,0.8810914148290159,-0.0007355233870194322,0.6067575674624436,0.6083949635907405,0.8757217596580215,0.002490540508075964
