feature_set,ae_variant,seed,threshold_rule,threshold,auroc,real_aupr,real_precision,real_recall,real_f1,hall_aupr,hall_precision,hall_recall,hall_f1
A,top32,43,fixed_0.5,0.5,0.8662319900962896,0.9678056165732295,0.9217245709501883,0.8769414575866189,0.8987755102040816,0.5992928344079735,0.5156739811912225,0.6375968992248062,0.5701906412478336
A,top32,43,train_f1,0.3706547021865845,0.8662319900962896,0.9678056165732295,0.8982081585970263,0.9382716049382716,0.917802882742501,0.5992928344079735,0.6163366336633663,0.48255813953488375,0.5413043478260869
A,top32,44,fixed_0.5,0.5,0.8688329489779854,0.9685503099420893,0.9173553719008265,0.8841099163679809,0.9004258771040357,0.5972179845426479,0.5205930807248764,0.6124031007751938,0.5627782724844167
A,top32,44,train_f1,0.38911572098731995,0.8688329489779854,0.9685503099420893,0.9016962220508866,0.9315013938669853,0.916356513222331,0.5972179845426479,0.6027713625866051,0.5058139534883721,0.5500526870389885
A,top32,45,fixed_0.5,0.5,0.8650576996100877,0.9676184581415491,0.8954372623574145,0.937873357228196,0.9161641703948649,0.5923866018021973,0.6070528967254408,0.46705426356589147,0.5279299014238773
A,top32,45,train_f1,0.5225580930709839,0.8650576996100877,0.9676184581415491,0.8980061349693251,0.9326961369972122,0.9150224653252589,0.5923866018021973,0.5966587112171837,0.4844961240310077,0.5347593582887701
A,full,43,fixed_0.5,0.5,0.8480418715790058,0.9634970247165967,0.855858969927411,0.9860613301473516,0.9163582531458179,0.5511704461284898,0.7388059701492538,0.19186046511627908,0.3046153846153846
A,full,43,train_f1,0.9004276990890503,0.8480418715790058,0.9634970247165967,0.8881777108433735,0.9394663480684986,0.9131023804915812,0.5511704461284898,0.5902964959568733,0.42441860465116277,0.49379932356257045
A,full,44,fixed_0.5,0.5,0.8673310302884363,0.9682941829085179,0.8838402345181385,0.9605734767025089,0.9206106870229007,0.5998706182821688,0.6677852348993288,0.3856589147286822,0.48894348894348894
A,full,44,train_f1,0.612777590751648,0.8673310302884363,0.9682941829085179,0.9015763168012303,0.9338908801274393,0.9174491392801252,0.5998706182821688,0.6103286384976526,0.5038759689922481,0.5520169851380042
A,full,45,fixed_0.5,0.5,0.8746461306684696,0.9700646668917967,0.9105882352941177,0.9247311827956989,0.917605216360403,0.6028380094228252,0.6037735849056604,0.5581395348837209,0.5800604229607251
A,full,45,train_f1,0.42926332354545593,0.8746461306684696,0.9700646668917967,0.9003436426116839,0.9390681003584229,0.9192982456140351,0.6028380094228252,0.625,0.4941860465116279,0.551948051948052
B,top32,43,fixed_0.5,0.5,0.8448076525304167,0.9615681336030135,0.8556953179594688,0.9753086419753086,0.9115950120975247,0.536389664307235,0.6242424242424243,0.1996124031007752,0.302496328928047
B,top32,43,train_f1,0.5921859741210938,0.8448076525304167,0.9615681336030135,0.8747268754552076,0.9565909996017523,0.9138291801407646,0.536389664307235,0.6120996441281139,0.3333333333333333,0.4316185696361355
B,top32,44,fixed_0.5,0.5,0.8516944050827521,0.9639876735930172,0.8843562874251497,0.9410593389088012,0.9118271271464403,0.5572258504745174,0.5830985915492958,0.4011627906976744,0.4753157290470723
