model,metric,label,layer,n_mentions,mean,q25,median,q75
qwen3_vl_8b,spearman,REAL,1,12280,0.9887645489328172,0.9872758578035774,0.9915694618829098,0.9944916139826363
qwen3_vl_8b,spearman,REAL,2,12280,0.9532321250430323,0.9453788017756121,0.9706309461687668,0.9819371827373748
qwen3_vl_8b,spearman,REAL,3,12280,0.9829233395875814,0.9841314295250003,0.9880385205895799,0.9909502040961891
qwen3_vl_8b,spearman,REAL,4,12280,0.9892109410680797,0.9873031442760247,0.9911400889712599,0.993641878718927
qwen3_vl_8b,spearman,REAL,5,12280,0.9913658197121409,0.9894786791338513,0.9925320646828439,0.9945996884068051
qwen3_vl_8b,spearman,REAL,6,12280,0.9963964744357813,0.9956467266812092,0.9967500657155828,0.9975530369392271
qwen3_vl_8b,spearman,REAL,7,12280,0.9975684485016015,0.9970667949549805,0.9979651230015488,0.998571552904753
qwen3_vl_8b,spearman,REAL,8,12280,0.9978884228515342,0.9973549782421937,0.9981753834257596,0.9987451549053009
qwen3_vl_8b,spearman,REAL,9,12280,0.9982083186364961,0.997777591312074,0.9984078053043569,0.9988800593521489
qwen3_vl_8b,spearman,REAL,10,12280,0.9926210079205281,0.9905761370494881,0.9937932643696041,0.9959804488318138
qwen3_vl_8b,spearman,REAL,11,12280,0.9973067951344687,0.9967209382308053,0.9979458401583975,0.99867401332936
qwen3_vl_8b,spearman,REAL,12,12280,0.9969144053678061,0.9960614301603233,0.9973864154046156,0.9983222677828862
qwen3_vl_8b,spearman,REAL,13,12280,0.9980228239134825,0.9976517160197014,0.9982287024427268,0.9986370152922683
qwen3_vl_8b,spearman,REAL,14,12280,0.9990223910776986,0.9988439132431567,0.9991164346270515,0.999308364825606
qwen3_vl_8b,spearman,REAL,15,12280,0.9976802255320012,0.9971440054418332,0.9978875427151288,0.9984737608195646
qwen3_vl_8b,spearman,REAL,16,12280,0.9987514949533284,0.9985205129991421,0.9988427330367797,0.999098034078686
qwen3_vl_8b,spearman,REAL,17,12280,0.9985621452333815,0.9983210153359364,0.9986630962566251,0.9989216888704326
qwen3_vl_8b,spearman,REAL,18,12280,0.998786208607904,0.9985879843109368,0.9988584264446332,0.999073563590491
qwen3_vl_8b,spearman,REAL,19,12280,0.9987556367056702,0.998525216929923,0.9988444023098788,0.9990927632192232
qwen3_vl_8b,spearman,REAL,20,12280,0.9976761721974868,0.9972043351998723,0.9979822970364489,0.9984647512486247
qwen3_vl_8b,spearman,REAL,21,12280,0.9989756013123572,0.9988038057003573,0.999055506521205,0.9992359923394405
qwen3_vl_8b,spearman,REAL,22,12280,0.9990199292411144,0.9988342812280535,0.9991232573366777,0.9993245154658633
qwen3_vl_8b,spearman,REAL,23,12280,0.9977935836800357,0.9974007353317697,0.9979702188599351,0.9984044003098429
qwen3_vl_8b,spearman,REAL,24,12280,0.9973047167855177,0.9965891899637034,0.9976238157032156,0.9983547944982343
qwen3_vl_8b,spearman,REAL,25,12280,0.99721406430566,0.9967056796805692,0.9974150732771421,0.9979817634990047
qwen3_vl_8b,spearman,REAL,26,12280,0.9987878595860427,0.9985509838998211,0.9989154587013787,0.9991806779200149
qwen3_vl_8b,spearman,REAL,27,12280,0.9990204965504494,0.9988381738984624,0.9991315380360393,0.999347992755475
qwen3_vl_8b,spearman,REAL,28,12280,0.9955011829128304,0.9945502152398703,0.9958891655399944,0.9968892131963467
qwen3_vl_8b,spearman,REAL,29,12280,0.9978665605507693,0.997429304770053,0.9981208367455643,0.998608099993731
qwen3_vl_8b,spearman,REAL,30,12280,0.9967360155104775,0.9959221023549324,0.9972892695960379,0.9982214120145153
qwen3_vl_8b,spearman,REAL,31,12280,0.998363861880466,0.9981268760233744,0.9988119988119987,0.9991638246895798
qwen3_vl_8b,spearman,REAL,32,12280,0.9992340973028139,0.9991039900443338,0.9993337703752264,0.9994872477631097
qwen3_vl_8b,spearman,REAL,33,12280,0.999416258786686,0.9993261455525605,0.9994899752144851,0.9996019513260891
qwen3_vl_8b,spearman,REAL,34,12280,0.9994824831455889,0.9993875701261266,0.9995527926562408,0.9996697741086013
qwen3_vl_8b,spearman,REAL,35,12280,0.9877098089657861,0.9841157688331775,0.989452830567916,0.9932158093954204
qwen3_vl_8b,spearman,REAL,36,12280,0.843235385245552,0.8155235360152073,0.8509703464579317,0.8803579372231578
qwen3_vl_8b,spearman,HALL,1,2593,0.9885310766537962,0.9872401571031708,0.9919994666607407,0.9948417204635607
qwen3_vl_8b,spearman,HALL,2,2593,0.9494461435306123,0.9415577458167287,0.9687179862844649,0.9813545261821123
qwen3_vl_8b,spearman,HALL,3,2593,0.9800291635579608,0.9814435296568648,0.9858279651383098,0.9892945477171968
qwen3_vl_8b,spearman,HALL,4,2593,0.9879689098514872,0.9860339752123449,0.9903101145568284,0.9929703102116894
qwen3_vl_8b,spearman,HALL,5,2593,0.9906169216182853,0.9885660316694801,0.9919928512832531,0.9942310470116335
qwen3_vl_8b,spearman,HALL,6,2593,0.9957911754597311,0.9948706096734408,0.9962123267232726,0.997187220247945
qwen3_vl_8b,spearman,HALL,7,2593,0.9969380796511516,0.9962325341635685,0.9974300939818179,0.9982227281179739
qwen3_vl_8b,spearman,HALL,8,2593,0.9975374133662512,0.9969623596742241,0.9978462924442624,0.9984533161479572
qwen3_vl_8b,spearman,HALL,9,2593,0.9979561374662803,0.9975204996038973,0.9981262014022378,0.9986198898624637
qwen3_vl_8b,spearman,HALL,10,2593,0.992452511617763,0.9904478938654874,0.9933714819053545,0.9954923943599373
qwen3_vl_8b,spearman,HALL,11,2593,0.9973907819237073,0.9969048544983833,0.9978470871898577,0.9985013166812965
qwen3_vl_8b,spearman,HALL,12,2593,0.9964680292490115,0.9956030300857885,0.9969296314123899,0.9978789707837127
qwen3_vl_8b,spearman,HALL,13,2593,0.9979373656529541,0.9975337503750041,0.9981230902565584,0.9985473028180523
qwen3_vl_8b,spearman,HALL,14,2593,0.998992417526653,0.998814047089909,0.9990926128857162,0.9992940268802336
qwen3_vl_8b,spearman,HALL,15,2593,0.9973782586836263,0.9968396495130619,0.9976321907356388,0.9982070911899021
qwen3_vl_8b,spearman,HALL,16,2593,0.998837628471631,0.998613107994466,0.9989321644494057,0.9991839909332326
qwen3_vl_8b,spearman,HALL,17,2593,0.9984407394801824,0.9981608684540939,0.998577503187478,0.9988910987899866
qwen3_vl_8b,spearman,HALL,18,2593,0.9987814250427742,0.9985674641866048,0.9988486215685701,0.9990791008788986
qwen3_vl_8b,spearman,HALL,19,2593,0.9986516131501911,0.9983763983763982,0.998771986355404,0.9990523300868127
qwen3_vl_8b,spearman,HALL,20,2593,0.9972632938072864,0.9967279636440405,0.997698039151374,0.9982986477627529
qwen3_vl_8b,spearman,HALL,21,2593,0.9988429723175065,0.9986290193186743,0.9989567550746596,0.9991795464394049
qwen3_vl_8b,spearman,HALL,22,2593,0.9989104754843772,0.9986857631751463,0.9990359438635299,0.9992751030567006
qwen3_vl_8b,spearman,HALL,23,2593,0.9974875916000504,0.9969786778070152,0.99777693570797,0.9983110923454706
qwen3_vl_8b,spearman,HALL,24,2593,0.997642029901362,0.9971119290265454,0.9979387496628874,0.9984972391884115
qwen3_vl_8b,spearman,HALL,25,2593,0.9967167423561101,0.9961369478610856,0.9969883487124865,0.997648418315759
qwen3_vl_8b,spearman,HALL,26,2593,0.9986991790235421,0.9984338357085458,0.9988777653085035,0.9991666574073045
qwen3_vl_8b,spearman,HALL,27,2593,0.9988218997754585,0.9985977621973577,0.9989413215702396,0.9991827849062745
