model,label,layer,n_mentions,spearman,pearson_log
qwen3_vl_8b,ALL,1,14873,0.8162178060228217,0.8168880383457447
qwen3_vl_8b,ALL,2,14873,0.9192593085276611,0.9161361176072179
qwen3_vl_8b,ALL,3,14873,0.9819450010511507,0.9794833943931726
qwen3_vl_8b,ALL,4,14873,0.9786011794131918,0.96975154223511
qwen3_vl_8b,ALL,5,14873,0.9863933780033737,0.984018613850161
qwen3_vl_8b,ALL,6,14873,0.9920217967173327,0.9859990637162354
qwen3_vl_8b,ALL,7,14873,0.9928549648161811,0.994032906440566
qwen3_vl_8b,ALL,8,14873,0.9902244916907643,0.9906449314522002
qwen3_vl_8b,ALL,9,14873,0.9867362442601317,0.9895313459192632
qwen3_vl_8b,ALL,10,14873,0.9568705922874617,0.9675812661885157
qwen3_vl_8b,ALL,11,14873,0.9797508872002635,0.9827559098433846
qwen3_vl_8b,ALL,12,14873,0.977023698012623,0.9808179237350516
qwen3_vl_8b,ALL,13,14873,0.9871951350114646,0.9883095347157226
qwen3_vl_8b,ALL,14,14873,0.9870013311038242,0.9912127893723981
qwen3_vl_8b,ALL,15,14873,0.9819035582400519,0.9900118663540359
qwen3_vl_8b,ALL,16,14873,0.9760149733243844,0.9869180724708644
qwen3_vl_8b,ALL,17,14873,0.987426667662983,0.9910440225968836
qwen3_vl_8b,ALL,18,14873,0.9690324608748347,0.9835652647105586
qwen3_vl_8b,ALL,19,14873,0.9655073132209772,0.9842524381791949
qwen3_vl_8b,ALL,20,14873,0.9762722932508857,0.9859476475871047
qwen3_vl_8b,ALL,21,14873,0.9787622606759868,0.9904389455706621
qwen3_vl_8b,ALL,22,14873,0.9791969284651043,0.9883916357842533
qwen3_vl_8b,ALL,23,14873,0.98367670530238,0.9881703941702653
qwen3_vl_8b,ALL,24,14873,0.9709428909859756,0.9820587398623697
qwen3_vl_8b,ALL,25,14873,0.9530100116905177,0.9670834000958212
qwen3_vl_8b,ALL,26,14873,0.9893041077955935,0.9915114527014927
qwen3_vl_8b,ALL,27,14873,0.9675146459956555,0.9800967776147255
qwen3_vl_8b,ALL,28,14873,0.983280883306175,0.9862941669254516
qwen3_vl_8b,ALL,29,14873,0.9904834990722663,0.9914026522245637
qwen3_vl_8b,ALL,30,14873,0.9068797162317657,0.9156642437556768
qwen3_vl_8b,ALL,31,14873,0.9529721958187284,0.9544834721319584
qwen3_vl_8b,ALL,32,14873,0.9658647062203072,0.9722640167793534
qwen3_vl_8b,ALL,33,14873,0.9555733032853884,0.9638420032725294
qwen3_vl_8b,ALL,34,14873,0.9512389310564582,0.9584072889151031
qwen3_vl_8b,ALL,35,14873,0.9687695739694604,0.9691742778666024
qwen3_vl_8b,ALL,36,14873,0.7915375744933559,0.8019980911071685
qwen3_vl_8b,REAL,1,12280,0.8058863759706508,0.8133343511320338
qwen3_vl_8b,REAL,2,12280,0.9219121465810739,0.9190906911036852
qwen3_vl_8b,REAL,3,12280,0.9828400854025618,0.9796403527377238
qwen3_vl_8b,REAL,4,12280,0.9778045980429801,0.9697315123890524
qwen3_vl_8b,REAL,5,12280,0.9858656454484891,0.9836368248285774
qwen3_vl_8b,REAL,6,12280,0.9923075102393958,0.9858457831568838
qwen3_vl_8b,REAL,7,12280,0.991576215005481,0.9935432028900958
qwen3_vl_8b,REAL,8,12280,0.9895035318986223,0.9900839230673542
qwen3_vl_8b,REAL,9,12280,0.9859607736395608,0.988921550706612
qwen3_vl_8b,REAL,10,12280,0.9519673397788305,0.9676757648860425
qwen3_vl_8b,REAL,11,12280,0.9773804930800539,0.9811352634167774
qwen3_vl_8b,REAL,12,12280,0.9760432259773324,0.9806688056489549
qwen3_vl_8b,REAL,13,12280,0.9863723180068785,0.9877141954814749
qwen3_vl_8b,REAL,14,12280,0.9866600290035922,0.9908808168974265
qwen3_vl_8b,REAL,15,12280,0.9782278554759756,0.9887555803100446
qwen3_vl_8b,REAL,16,12280,0.9747480927794963,0.9860926622110173
qwen3_vl_8b,REAL,17,12280,0.9859949951351001,0.9902796833801824
qwen3_vl_8b,REAL,18,12280,0.9664823094181881,0.9820640776714721
qwen3_vl_8b,REAL,19,12280,0.9631384584057908,0.9832133261418182
qwen3_vl_8b,REAL,20,12280,0.9720482637874107,0.9830180695273223
qwen3_vl_8b,REAL,21,12280,0.9760356841945921,0.9883697930166165
qwen3_vl_8b,REAL,22,12280,0.9770097643315605,0.9866999770290888
qwen3_vl_8b,REAL,23,12280,0.982889236125452,0.9878375986156102
qwen3_vl_8b,REAL,24,12280,0.970527147268737,0.9820451672408662
qwen3_vl_8b,REAL,25,12280,0.9542392982188797,0.9699958417689154
qwen3_vl_8b,REAL,26,12280,0.9893275476144168,0.9915885252823552
qwen3_vl_8b,REAL,27,12280,0.966703257000151,0.9798198529055272
qwen3_vl_8b,REAL,28,12280,0.9820968213970395,0.9855854997310188
qwen3_vl_8b,REAL,29,12280,0.9896831823692575,0.9904495565341648
qwen3_vl_8b,REAL,30,12280,0.907959444239498,0.9151886514652909
qwen3_vl_8b,REAL,31,12280,0.9495787662829633,0.949263736346699
qwen3_vl_8b,REAL,32,12280,0.9648178754783097,0.9703665357042924
qwen3_vl_8b,REAL,33,12280,0.9512552106232532,0.9586977847760533
qwen3_vl_8b,REAL,34,12280,0.9475575097080077,0.9534699182923183
qwen3_vl_8b,REAL,35,12280,0.9698571242540359,0.9690378482847414
qwen3_vl_8b,REAL,36,12280,0.8066052053829218,0.8103956842007926
qwen3_vl_8b,HALL,1,2593,0.7734388730597871,0.7768063431178671
qwen3_vl_8b,HALL,2,2593,0.8593257703131948,0.8629961127453838
