layer,r_cos_hallucination_mean,r_cos_hallucination_sem,r_cos_non_hallucination_mean,r_cos_non_hallucination_sem,r_cos_diff_h_minus_non
0,0.24078174,0.00079141,0.24945010,0.00037608,-0.00866836
1,0.36794108,0.00112216,0.37953275,0.00053856,-0.01159167
2,0.25168970,0.00094191,0.26508635,0.00043860,-0.01339665
3,0.29455054,0.00116885,0.30464086,0.00054292,-0.01009032
4,0.30274203,0.00093889,0.31442142,0.00041535,-0.01167938
5,0.23578146,0.00084929,0.24340418,0.00038302,-0.00762272
6,0.17448160,0.00083196,0.19276254,0.00035826,-0.01828094
7,0.15627971,0.00082497,0.15478364,0.00034234,0.00149608
8,0.18106842,0.00090338,0.17404151,0.00037439,0.00702691
9,0.22563922,0.00117176,0.21243387,0.00052510,0.01320535
10,0.21794233,0.00089424,0.20884566,0.00039092,0.00909667
11,0.24128717,0.00098300,0.24002987,0.00054118,0.00125730
12,0.22988407,0.00089518,0.23710306,0.00046022,-0.00721899
13,0.27010167,0.00099080,0.25913110,0.00047831,0.01097056
14,0.27525797,0.00100944,0.26992443,0.00045782,0.00533354
15,0.28349426,0.00098615,0.27346814,0.00045253,0.01002613
16,0.25141388,0.00087814,0.24251099,0.00041079,0.00890289
17,0.26916936,0.00094140,0.24928816,0.00042644,0.01988120
18,0.27528450,0.00082064,0.26173955,0.00034849,0.01354495
19,0.27682471,0.00098509,0.25348610,0.00043177,0.02333862
20,0.25923038,0.00097151,0.22611240,0.00042740,0.03311798
21,0.28225294,0.00094273,0.26031643,0.00046057,0.02193651
22,0.20998231,0.00100423,0.19993910,0.00042793,0.01004320
23,0.26826635,0.00153801,0.22774795,0.00064578,0.04051840
24,0.25937802,0.00150823,0.22446811,0.00067084,0.03490990
25,0.21257778,0.00111545,0.19607234,0.00043656,0.01650544
26,0.23632024,0.00118217,0.21931989,0.00048478,0.01700035
27,0.20855945,0.00105716,0.19505817,0.00042513,0.01350129
28,0.24519297,0.00114323,0.22719960,0.00046958,0.01799338
29,0.24916239,0.00126702,0.23200107,0.00056128,0.01716132
30,0.25905833,0.00132863,0.23833497,0.00062765,0.02072336
31,0.30057794,0.00104390,0.29779327,0.00052891,0.00278467
32,0.33227837,0.00090656,0.34210715,0.00041375,-0.00982878
33,0.37898505,0.00102771,0.39184693,0.00044170,-0.01286188
34,0.41774940,0.00111914,0.42548156,0.00048486,-0.00773215
35,0.50331593,0.00144142,0.50210720,0.00070661,0.00120872
