model,model_label,rank,feature_set,threshold_mode,threshold_mean,threshold_std,num_seeds,seeds,headline_positive_class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,accuracy_mean,accuracy_std,auc_mean,auc_std,aupr_mean,aupr_std,real_positive_precision_mean,real_positive_precision_std,real_positive_recall_mean,real_positive_recall_std,real_positive_f1_mean,real_positive_f1_std,real_positive_auc_mean,real_positive_auc_std,real_positive_aupr_mean,real_positive_aupr_std,hallucination_positive_precision_mean,hallucination_positive_precision_std,hallucination_positive_recall_mean,hallucination_positive_recall_std,hallucination_positive_f1_mean,hallucination_positive_f1_std,hallucination_positive_auc_mean,hallucination_positive_auc_std,hallucination_positive_aupr_mean,hallucination_positive_aupr_std
qwen3_vl_8b,qwen3_vl_8b,1,hpre_raw_logit_gauss_source_target_union_topk_js+hpre_raw_logit_gauss_ev_target_dist_mass_x_cosine,fixed_0.5,0.5,0.0,3,"43,44,45",real,0.908800749438015,0.007663011635446664,0.9158369839373424,0.016897262327507618,0.912141949081386,0.004832799962167861,0.8537605990529679,0.006129245699846153,0.8649389713683565,0.0024095863240763734,0.9666588296139658,0.0007813044757519243,0.908800749438015,0.007663011635446664,0.9158369839373424,0.016897262327507618,0.912141949081386,0.004832799962167861,0.8649389713683565,0.0024095863240763734,0.9666588296139658,0.0007813044757519243,0.5774007267741066,0.0266985139301217,0.5516795865633075,0.04865160305881841,0.5618294301086609,0.013117883210583946,0.8649389713683565,0.0024095863240762012,0.6145245282143327,0.0068929811548948524
qwen3_vl_8b,qwen3_vl_8b,2,hpre_softmax_prob_gauss_source_target_union_topk_js+hpre_softmax_prob_gauss_ev_target_dist_mass_x_cosine,fixed_0.5,0.5,0.0,3,"43,44,45",real,0.9035524064399448,0.012999474409622408,0.9203504579848666,0.027690867112772983,0.9114259361627387,0.0066852678089636824,0.8518885585287963,0.008021395816088255,0.8632533647815247,0.001721461821375745,0.9662767679801876,0.00018287921080975092,0.9035524064399448,0.012999474409622408,0.9203504579848666,0.027690867112772983,0.9114259361627387,0.0066852678089636824,0.8632533647815247,0.001721461821375745,0.9662767679801876,0.00018287921080975092,0.5862714012778868,0.056862855081965105,0.518733850129199,0.0878505470672104,0.5405441952669926,0.031523491217547335,0.8632533647815247,0.0017214618213757206,0.594137570069548,0.006572753348043625
qwen3_vl_8b,qwen3_vl_8b,3,hpre_softmax_prob_gauss_ev_target_dist_mass_x_cosine,fixed_0.5,0.5,0.0,3,"43,44,45",real,0.8748367559771014,0.0022596023649162824,0.9611044736492765,0.005681915454409309,0.9159279544375393,0.0015490902478501867,0.8536504790221341,0.0021409780965998813,0.841846006769182,0.0012431752029172592,0.9591921174160416,0.000535415174001427,0.8748367559771014,0.0022596023649162824,0.9611044736492765,0.005681915454409309,0.9159279544375393,0.0015490902478501867,0.841846006769182,0.0012431752029172592,0.9591921174160416,0.000535415174001427,0.6378213158325283,0.02176789448045949,0.330749354005168,0.017501572589333426,0.43490115272790214,0.01101052451925478,0.841846006769182,0.0012431752029172592,0.5376701371895659,0.007657420057430953
qwen3_vl_8b,qwen3_vl_8b,4,hpre_raw_logit_gauss_ev_target_dist_mass_x_cosine,fixed_0.5,0.5,0.0,3,"43,44,45",real,0.8671075842849204,0.005704968877720465,0.9694676755608654,0.00674543794818134,0.9153934253338601,0.0003004454096631557,0.8513379583746282,0.001401599169844524,0.826950564801694,0.0058096095761009815,0.9556588047715682,0.0017737649038402075,0.8671075842849204,0.005704968877720465,0.9694676755608654,0.00674543794818134,0.9153934253338601,0.0003004454096631557,0.826950564801694,0.0058096095761009815,0.9556588047715682,0.0017737649038402075,0.6533428967713002,0.017508155124509393,0.2764857881136951,0.04060014563945908,0.38616278548627275,0.03632319202192948,0.8269505648016943,0.005809609576101067,0.5254391856992642,0.006113192006385039
qwen3_vl_8b,qwen3_vl_8b,5,hpre_raw_logit_gauss_source_target_union_topk_js,fixed_0.5,0.5,0.0,3,"43,44,45",real,0.8705547581716763,0.007298793504171551,0.9532722686844549,0.009118239618252703,0.9099646395954176,0.0003824412672829256,0.8435194361854421,0.0012747315166600653,0.8250610749395167,0.002353956867880139,0.9576246944102985,0.0003413265216026307,0.8705547581716763,0.007298793504171551,0.9532722686844549,0.009118239618252703,0.9099646395954176,0.0003824412672829256,0.8250610749395167,0.002353956867880139,0.9576246944102985,0.0003413265216026307,0.5776392900537343,0.007346029099472627,0.3094315245478036,0.05103768014238677,0.40015356083935655,0.04106805969934623,0.8250610749395167,0.002353956867880274,0.5183775507888487,0.00783881475874971
qwen3_vl_8b,qwen3_vl_8b,6,hpre_softmax_prob_gauss_source_target_union_topk_js,fixed_0.5,0.5,0.0,3,"43,44,45",real,0.8708726027518954,0.006662116629347139,0.9512810301340767,0.014987147779003496,0.9091783848617702,0.0032460461825313874,0.8424182358771061,0.003708282841203102,0.8238397047821627,0.0015639326307321474,0.9571917388373787,0.0004706326058017393,0.8708726027518954,0.006662116629347139,0.9512810301340767,0.014987147779003496,0.9091783848617702,0.0032460461825313874,0.8238397047821627,0.0015639326307321474,0.9571917388373787,0.0004706326058017393,0.5770518129213781,0.036861284848594245,0.31266149870801035,0.05142865436045257,0.4007593923344877,0.034421430378117526,0.8238397047821627,0.0015639326307322237,0.5073673819381841,0.00612265404656015
qwen3_vl_8b,qwen3_vl_8b,1,hpre_raw_logit_gauss_source_target_union_topk_js+hpre_raw_logit_gauss_ev_target_dist_mass_x_cosine,train_f1,0.46637145678202313,0.04047076156181901,3,"43,44,45",real,0.9019475563925995,0.0019808797452286085,0.9291119076065314,0.005546948736433326,0.9153137854135406,0.0018904819676492971,0.8573945600704768,0.0026611707903523006,0.8649389713683565,0.0024095863240763734,0.9666588296139658,0.0007813044757519243,0.9019475563925995,0.0019808797452286085,0.9291119076065314,0.005546948736433326,0.9153137854135406,0.0018904819676492971,0.8649389713683565,0.0024095863240763734,0.9666588296139658,0.0007813044757519243,0.5963306932254949,0.012893329635589985,0.5083979328165374,0.013642578864304209,0.5485717272501954,0.004808548569594041,0.8649389713683565,0.0024095863240762012,0.6145245282143327,0.0068929811548948524
qwen3_vl_8b,qwen3_vl_8b,2,hpre_softmax_prob_gauss_source_target_union_topk_js+hpre_softmax_prob_gauss_ev_target_dist_mass_x_cosine,train_f1,0.5232313275337219,0.11729212023246745,3,"43,44,45",real,0.90300837031515,0.0023140069385684868,0.9206159564582505,0.003476915134397646,0.9117185636861844,0.0008797562056655671,0.8521087985904635,0.0012458659287506706,0.8632533647815247,0.001721461821375745,0.9662767679801876,0.00018287921080975092,0.90300837031515,0.0023140069385684868,0.9206159564582505,0.003476915134397646,0.9117185636861844,0.0008797562056655671,0.8632533647815247,0.001721461821375745,0.9662767679801876,0.00018287921080975092,0.5732985480590448,0.005506452209154836,0.518733850129199,0.014357952694375222,0.5444958811657736,0.006920304778310043,0.8632533647815247,0.0017214618213757206,0.594137570069548,0.006572753348043625
qwen3_vl_8b,qwen3_vl_8b,3,hpre_softmax_prob_gauss_ev_target_dist_mass_x_cosine,train_f1,0.5059362848599752,0.02404519964497364,3,"43,44,45",real,0.8761379253290258,0.004596409638900623,0.9581839904420549,0.008050778813251705,0.9152846479871012,0.001499058980046237,0.8528796388062988,0.0019136821051627584,0.841846006769182,0.0012431752029172592,0.9591921174160416,0.000535415174001427,0.8761379253290258,0.004596409638900623,0.9581839904420549,0.008050778813251705,0.9152846479871012,0.001499058980046237,0.841846006769182,0.0012431752029172592,0.9591921174160416,0.000535415174001427,0.6291380297823597,0.026593483453161877,0.34043927648578814,0.033279707680597584,0.4399590539854983,0.023118362436908124,0.841846006769182,0.0012431752029172592,0.5376701371895659,0.007657420057430953
qwen3_vl_8b,qwen3_vl_8b,4,hpre_raw_logit_gauss_ev_target_dist_mass_x_cosine,train_f1,0.5559857885042826,0.038342422713189266,3,"43,44,45",real,0.8778087256733809,0.0004326070889344799,0.9545997610513739,0.002132268472615066,0.914593536739927,0.0007657242844304478,0.8521087985904635,0.0011230083721160162,0.826950564801694,0.0058096095761009815,0.9556588047715682,0.0017737649038402075,0.8778087256733809,0.0004326070889344799,0.9545997610513739,0.002132268472615066,0.914593536739927,0.0007657242844304478,0.826950564801694,0.0058096095761009815,0.9556588047715682,0.0017737649038402075,0.6155098967307416,0.008634388933474688,0.353359173126615,0.003982179588481258,0.44890439882202826,0.0012717680747871929,0.8269505648016943,0.005809609576101067,0.5254391856992642,0.006113192006385039
qwen3_vl_8b,qwen3_vl_8b,5,hpre_raw_logit_gauss_source_target_union_topk_js,train_f1,0.5308145682017008,0.015898626084586902,3,"43,44,45",real,0.8763565368888694,0.009079973176217893,0.937740607991504,0.01713339634318566,0.9058251446570168,0.0034306024431951885,0.8383437947362625,0.003642293890219396,0.8250610749395167,0.002353956867880139,0.9576246944102985,0.0003413265216026307,0.8763565368888694,0.009079973176217893,0.937740607991504,0.01713339634318566,0.9058251446570168,0.0034306024431951885,0.8250610749395167,0.002353956867880139,0.9576246944102985,0.0003413265216026307,0.5440007499206695,0.022914272683879015,0.3546511627906977,0.06452838464687233,0.424569186509399,0.03798114180023195,0.8250610749395167,0.002353956867880274,0.5183775507888487,0.00783881475874971
qwen3_vl_8b,qwen3_vl_8b,6,hpre_softmax_prob_gauss_source_target_union_topk_js,train_f1,0.5510751605033875,0.052144311294525694,3,"43,44,45",real,0.8807065116643966,0.0030451775318429573,0.9276516660029205,0.012860928017823273,0.9035028958727246,0.004575181846697072,0.835700913996256,0.006362231835989097,0.8238397047821627,0.0015639326307321474,0.9571917388373787,0.0004706326058017393,0.8807065116643966,0.0030451775318429573,0.9276516660029205,0.012860928017823273,0.9035028958727246,0.004575181846697072,0.8238397047821627,0.0015639326307321474,0.9571917388373787,0.0004706326058017393,0.5278491125938287,0.028738875087623985,0.3882428940568476,0.02611289784419604,0.4458049370127853,0.00851553800519332,0.8238397047821627,0.0015639326307322237,0.5073673819381841,0.00612265404656015
