COMMAND: /opt/conda/private/envs/vicr/bin/python scripts/run_tc_fvpa_path_attribution.py --model qwen3_vl_8b --device cuda:1 --devices cuda:0,cuda:1 --output-dir /home/apulis-dev/userdata/CODEX/test-cocochair/gfchair/outputs/qwen3_vl_8b/COCO4000-INSLEN-OFFICIAL-TARGET/results/tc_fvpa_comprehensive_v1_formal_repaired_20260830 --seed 20260829 --layers 9,18,27,36 --target-scalars log_probability,margin,logit --integration-points 1,4,8,16,32 --config /home/apulis-dev/userdata/CODEX/test-cocochair/gfchair/configs/model_configs_inslen_official_target.yaml --num-shards 2 --shard-id 1 --resume --formal --attribution-mode local --audit-vector-cases 0 --num-images 500
`torch_dtype` is deprecated! Use `dtype` instead!
[Qwen3VLWrapper] Loading model from /home/apulis-dev/userdata/models/Qwen3-VL-8B-Instruct ...
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:04,  1.41s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.40s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:04<00:01,  1.41s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:05<00:00,  1.20s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:05<00:00,  1.28s/it]
[Qwen3VLWrapper] Loaded. image_token=151655, vision_start=151652, vision_end=151653
[TC-FVPA local] 1/250 image=269926 cases=4 failures=0
[TC-FVPA local] 2/250 image=567863 cases=12 failures=0
[TC-FVPA local] 3/250 image=210795 cases=20 failures=0
[TC-FVPA local] 4/250 image=150779 cases=28 failures=0
[TC-FVPA local] 5/250 image=85390 cases=36 failures=0
[TC-FVPA local] 6/250 image=398066 cases=44 failures=0
[TC-FVPA local] 7/250 image=89395 cases=52 failures=0
[TC-FVPA local] 8/250 image=20536 cases=60 failures=0
[TC-FVPA local] 9/250 image=40813 cases=68 failures=0
[TC-FVPA local] 10/250 image=373140 cases=76 failures=0
[TC-FVPA local] 11/250 image=36962 cases=84 failures=0
[TC-FVPA local] 12/250 image=33116 cases=92 failures=0
[TC-FVPA local] 13/250 image=329903 cases=100 failures=0
[TC-FVPA local] 14/250 image=98018 cases=108 failures=0
[TC-FVPA local] 15/250 image=16193 cases=112 failures=0
[TC-FVPA local] 16/250 image=10440 cases=120 failures=0
[TC-FVPA local] 17/250 image=271643 cases=128 failures=0
[TC-FVPA local] 18/250 image=340946 cases=136 failures=0
[TC-FVPA local] 19/250 image=102906 cases=140 failures=0
[TC-FVPA local] 20/250 image=314026 cases=148 failures=0
[TC-FVPA local] 21/250 image=551963 cases=156 failures=0
[TC-FVPA local] 22/250 image=152618 cases=164 failures=0
[TC-FVPA local] 23/250 image=17409 cases=172 failures=0
[TC-FVPA local] 24/250 image=432016 cases=176 failures=0
[TC-FVPA local] 25/250 image=251330 cases=180 failures=0
[TC-FVPA local] 26/250 image=532338 cases=188 failures=0
[TC-FVPA local] 27/250 image=430254 cases=192 failures=0
[TC-FVPA local] 28/250 image=426852 cases=196 failures=0
[TC-FVPA local] 29/250 image=51089 cases=204 failures=0
[TC-FVPA local] 30/250 image=151075 cases=212 failures=0
[TC-FVPA local] 31/250 image=148197 cases=216 failures=0
[TC-FVPA local] 32/250 image=457217 cases=224 failures=0
[TC-FVPA local] 33/250 image=448320 cases=232 failures=0
[TC-FVPA local] 34/250 image=27935 cases=236 failures=0
[TC-FVPA local] 35/250 image=160669 cases=244 failures=0
[TC-FVPA local] 36/250 image=367228 cases=252 failures=0
[TC-FVPA local] 37/250 image=304036 cases=256 failures=0
[TC-FVPA local] 38/250 image=577355 cases=264 failures=0
[TC-FVPA local] 39/250 image=519631 cases=272 failures=0
[TC-FVPA local] 40/250 image=459590 cases=276 failures=0
[TC-FVPA local] 41/250 image=226256 cases=284 failures=0
[TC-FVPA local] 42/250 image=460156 cases=292 failures=0
[TC-FVPA local] 43/250 image=466840 cases=300 failures=0
[TC-FVPA local] 44/250 image=388284 cases=308 failures=0
[TC-FVPA local] 45/250 image=113678 cases=316 failures=0
[TC-FVPA local] 46/250 image=169361 cases=324 failures=0
[TC-FVPA local] 47/250 image=52016 cases=332 failures=0
[TC-FVPA local] 48/250 image=486573 cases=336 failures=0
