model,split,label,layer,n,mean,median,q25,q75
internvl_2_5_8b,train,0,1,1393,0.0953517034649849,0.08261200040578842,0.061807919293642044,0.11859260499477386
internvl_2_5_8b,train,0,2,1393,0.04062092304229736,0.039559781551361084,0.03039076365530491,0.04879234731197357
internvl_2_5_8b,train,0,3,1393,0.004640116821974516,0.004263751208782196,0.0032158619724214077,0.005702605936676264
internvl_2_5_8b,train,0,4,1393,0.007284052670001984,0.006700165569782257,0.005109323654323816,0.008617670275270939
internvl_2_5_8b,train,0,5,1393,0.021176356822252274,0.018181325867772102,0.013557898811995983,0.025306113064289093
internvl_2_5_8b,train,0,6,1393,0.033110033720731735,0.027228092774748802,0.019204536452889442,0.03976334631443024
internvl_2_5_8b,train,0,7,1393,0.03698483854532242,0.03121551126241684,0.022175803780555725,0.04432576522231102
internvl_2_5_8b,train,0,8,1393,0.0773668959736824,0.07120216637849808,0.04752838984131813,0.09962499141693115
internvl_2_5_8b,train,0,9,1393,0.04442860931158066,0.039866138249635696,0.030996041372418404,0.05266902223229408
internvl_2_5_8b,train,0,10,1393,0.15042680501937866,0.14557543396949768,0.0959247499704361,0.19871704280376434
internvl_2_5_8b,train,0,11,1393,0.07095050811767578,0.06704940646886826,0.04486517235636711,0.09160597622394562
internvl_2_5_8b,train,0,12,1393,0.11847490072250366,0.1155194640159607,0.07281757146120071,0.15856169164180756
internvl_2_5_8b,train,0,13,1393,0.19472147524356842,0.19739562273025513,0.12726427614688873,0.2570967376232147
internvl_2_5_8b,train,0,14,1393,0.08386097103357315,0.07767133414745331,0.051365725696086884,0.10755294561386108
internvl_2_5_8b,train,0,15,1393,0.12571080029010773,0.12408339977264404,0.08174653351306915,0.1674000322818756
internvl_2_5_8b,train,0,16,1393,0.2628435492515564,0.2736132740974426,0.1688634753227234,0.35594773292541504
internvl_2_5_8b,train,0,17,1393,0.19320954382419586,0.19344238936901093,0.12442926317453384,0.2527129054069519
internvl_2_5_8b,train,0,18,1393,0.09221851080656052,0.08794016391038895,0.05453593283891678,0.12866176664829254
internvl_2_5_8b,train,0,19,1393,0.17294006049633026,0.17054599523544312,0.10619696974754333,0.23380067944526672
internvl_2_5_8b,train,0,20,1393,0.20938104391098022,0.21355965733528137,0.13765759766101837,0.281491219997406
internvl_2_5_8b,train,0,21,1393,0.17794862389564514,0.17519758641719818,0.11324511468410492,0.23923297226428986
internvl_2_5_8b,train,0,22,1393,0.10698720067739487,0.1005563735961914,0.060462962836027145,0.14758530259132385
internvl_2_5_8b,train,0,23,1393,0.06284484267234802,0.054666221141815186,0.03157256543636322,0.08705216646194458
internvl_2_5_8b,train,0,24,1393,0.038793157786130905,0.03549432381987572,0.021707408130168915,0.05297992751002312
internvl_2_5_8b,train,0,25,1393,0.1125880554318428,0.10464305430650711,0.05122959986329079,0.16529116034507751
internvl_2_5_8b,train,0,26,1393,0.07913529872894287,0.07199948281049728,0.03512847051024437,0.11812810599803925
internvl_2_5_8b,train,0,27,1393,0.05645471438765526,0.0516328327357769,0.02900625951588154,0.07756505906581879
internvl_2_5_8b,train,0,28,1393,0.029467133805155754,0.027191391214728355,0.017373820766806602,0.03957665339112282
internvl_2_5_8b,train,0,29,1393,0.09064970165491104,0.08202535659074783,0.047445669770240784,0.127659410238266
internvl_2_5_8b,train,0,30,1393,0.10680671781301498,0.10513243824243546,0.06624601781368256,0.1444985568523407
internvl_2_5_8b,train,0,31,1393,0.09601039439439774,0.0915813148021698,0.05716049671173096,0.13034309446811676
internvl_2_5_8b,train,0,32,1393,0.07999962568283081,0.07514417916536331,0.0494006909430027,0.10325582325458527
internvl_2_5_8b,train,1,1,7985,0.13234350085258484,0.12864263355731964,0.0811162069439888,0.18029837310314178
internvl_2_5_8b,train,1,2,7985,0.04822084680199623,0.046524014323949814,0.03630156069993973,0.05799579992890358
internvl_2_5_8b,train,1,3,7985,0.0059970649890601635,0.005536096170544624,0.004058620892465115,0.00745112169533968
internvl_2_5_8b,train,1,4,7985,0.009710298851132393,0.008899945765733719,0.006636121775954962,0.0119958920404315
internvl_2_5_8b,train,1,5,7985,0.030564837157726288,0.02675500698387623,0.018562039360404015,0.0400674045085907
internvl_2_5_8b,train,1,6,7985,0.061899684369564056,0.04960059002041817,0.03107241541147232,0.09190933406352997
internvl_2_5_8b,train,1,7,7985,0.06288452446460724,0.05489230528473854,0.034912168979644775,0.08883441239595413
internvl_2_5_8b,train,1,8,7985,0.11627337336540222,0.11573102325201035,0.07884299755096436,0.15272673964500427
internvl_2_5_8b,train,1,9,7985,0.06858211010694504,0.0633809044957161,0.04357263073325157,0.0914989560842514
internvl_2_5_8b,train,1,10,7985,0.21075133979320526,0.21580125391483307,0.16065742075443268,0.2673534154891968
internvl_2_5_8b,train,1,11,7985,0.10643748193979263,0.10263817757368088,0.07364753633737564,0.13825353980064392
internvl_2_5_8b,train,1,12,7985,0.1711895614862442,0.1730070263147354,0.1297999769449234,0.21611501276493073
internvl_2_5_8b,train,1,13,7985,0.2508939802646637,0.2568117380142212,0.20822523534297943,0.30170533061027527
internvl_2_5_8b,train,1,14,7985,0.124733105301857,0.11976659297943115,0.08340185880661011,0.1649155169725418
internvl_2_5_8b,train,1,15,7985,0.16784270107746124,0.1711479127407074,0.13023263216018677,0.21012119948863983
internvl_2_5_8b,train,1,16,7985,0.32028794288635254,0.3374186158180237,0.2663732171058655,0.38650593161582947
internvl_2_5_8b,train,1,17,7985,0.24539901316165924,0.251649409532547,0.19720576703548431,0.30087921023368835
internvl_2_5_8b,train,1,18,7985,0.12265181541442871,0.13090835511684418,0.0932426005601883,0.15511591732501984
internvl_2_5_8b,train,1,19,7985,0.22779569029808044,0.23980382084846497,0.16747738420963287,0.2891165614128113
internvl_2_5_8b,train,1,20,7985,0.26727989315986633,0.2832353413105011,0.21061134338378906,0.33254510164260864
internvl_2_5_8b,train,1,21,7985,0.23301474750041962,0.24436895549297333,0.1754898726940155,0.29176148772239685
internvl_2_5_8b,train,1,22,7985,0.14435139298439026,0.14865124225616455,0.09628041833639145,0.18897786736488342
internvl_2_5_8b,train,1,23,7985,0.07905776053667068,0.07768632471561432,0.05323564633727074,0.10140209645032883
internvl_2_5_8b,train,1,24,7985,0.04716482013463974,0.04488714411854744,0.03257085382938385,0.05990438535809517
internvl_2_5_8b,train,1,25,7985,0.14148207008838654,0.14357413351535797,0.09059690684080124,0.18810880184173584
