model,split,label,layer,n,mean,median,q25,q75
llava_1_5_7b,train,0,1,2778,0.5753554105758667,0.5595893859863281,0.5186554193496704,0.6121846288442612
llava_1_5_7b,train,0,2,2778,0.25601282715797424,0.24693313241004944,0.22875508293509483,0.2712587043642998
llava_1_5_7b,train,0,3,2778,0.15940628945827484,0.15725493431091309,0.13291490823030472,0.18447859585285187
llava_1_5_7b,train,0,4,2778,0.07264325022697449,0.07158486545085907,0.057120487093925476,0.08663642406463623
llava_1_5_7b,train,0,5,2778,0.054450977593660355,0.05319314822554588,0.04312416631728411,0.06409536115825176
llava_1_5_7b,train,0,6,2778,0.048203300684690475,0.04580039158463478,0.03821780811995268,0.055342997424304485
llava_1_5_7b,train,0,7,2778,0.048824358731508255,0.04491685330867767,0.03675274644047022,0.05443073436617851
llava_1_5_7b,train,0,8,2778,0.05184319615364075,0.04791884124279022,0.039588743820786476,0.05891737714409828
llava_1_5_7b,train,0,9,2778,0.0534786731004715,0.04813133180141449,0.03917037323117256,0.06055636703968048
llava_1_5_7b,train,0,10,2778,0.057813990861177444,0.05301816016435623,0.042988624423742294,0.06554738245904446
llava_1_5_7b,train,0,11,2778,0.0759812518954277,0.06978081166744232,0.0552776288241148,0.08866813592612743
llava_1_5_7b,train,0,12,2778,0.1338210254907608,0.1323784589767456,0.11258533783257008,0.15147041529417038
llava_1_5_7b,train,0,13,2778,0.07574374973773956,0.072201207280159,0.05923030059784651,0.08509429730474949
llava_1_5_7b,train,0,14,2778,0.11687204241752625,0.11775176227092743,0.09682551771402359,0.1362040899693966
llava_1_5_7b,train,0,15,2778,0.1588703840970993,0.1549696922302246,0.1210471373051405,0.19226883724331856
llava_1_5_7b,train,0,16,2778,0.1246170923113823,0.12295830249786377,0.09913088195025921,0.14788401499390602
llava_1_5_7b,train,0,17,2778,0.1142786294221878,0.11075387895107269,0.09080518037080765,0.13305652141571045
llava_1_5_7b,train,0,18,2778,0.15374509990215302,0.1552947461605072,0.12842296063899994,0.1830769032239914
llava_1_5_7b,train,0,19,2778,0.11828912049531937,0.1177683025598526,0.09970107115805149,0.13755017891526222
llava_1_5_7b,train,0,20,2778,0.19919948279857635,0.21076928079128265,0.16615303978323936,0.24397457391023636
llava_1_5_7b,train,0,21,2778,0.23676617443561554,0.25085920095443726,0.20253811404109,0.2889568656682968
llava_1_5_7b,train,0,22,2778,0.2297949194908142,0.25063517689704895,0.1930105797946453,0.28860946744680405
llava_1_5_7b,train,0,23,2778,0.22638213634490967,0.25047022104263306,0.2124471254646778,0.2702341079711914
llava_1_5_7b,train,0,24,2778,0.11713678389787674,0.12557175755500793,0.10724492184817791,0.1392330788075924
llava_1_5_7b,train,0,25,2778,0.2209690660238266,0.2382124364376068,0.1969694122672081,0.2680279612541199
